Time,NodeID,Gender,NumIndividuals,NumInfected,NodeProp=DiscoMatangaStatus
0,11,M,0,0,OPEN
0,11,F,0,0,OPEN
0,10,M,0,0,OPEN
0,10,F,0,0,OPEN
0,9,M,0,0,OPEN
0,9,F,0,0,OPEN
0,8,M,0,0,OPEN
0,8,F,0,0,OPEN
0,7,M,0,0,OPEN
0,7,F,0,0,OPEN
0,6,M,0,0,OPEN
0,6,F,0,0,OPEN
0,5,M,0,0,OPEN
0,5,F,0,0,OPEN
0,4,M,0,0,OPEN
0,4,F,0,0,OPEN
0,3,M,0,0,OPEN
0,3,F,0,0,OPEN
0,2,M,0,0,OPEN
0,2,F,0,0,OPEN
0,1,M,9990,0,OPEN
0,1,F,10010,0,OPEN
7.01923,11,M,0,0,OPEN
7.01923,11,F,0,0,OPEN
7.01923,10,M,0,0,OPEN
7.01923,10,F,0,0,OPEN
7.01923,9,M,0,0,OPEN
7.01923,9,F,0,0,OPEN
7.01923,8,M,0,0,OPEN
7.01923,8,F,0,0,OPEN
7.01923,7,M,0,0,OPEN
7.01923,7,F,0,0,OPEN
7.01923,6,M,0,0,OPEN
7.01923,6,F,0,0,OPEN
7.01923,5,M,0,0,OPEN
7.01923,5,F,0,0,OPEN
7.01923,4,M,0,0,OPEN
7.01923,4,F,0,0,OPEN
7.01923,3,M,0,0,OPEN
7.01923,3,F,0,0,OPEN
7.01923,2,M,0,0,OPEN
7.01923,2,F,0,0,OPEN
7.01923,1,M,10000,1012,OPEN
7.01923,1,F,10019,1003,OPEN
14.0385,11,M,0,0,OPEN
14.0385,11,F,0,0,OPEN
14.0385,10,M,0,0,OPEN
14.0385,10,F,0,0,OPEN
14.0385,9,M,0,0,OPEN
14.0385,9,F,0,0,OPEN
14.0385,8,M,0,0,OPEN
14.0385,8,F,0,0,OPEN
14.0385,7,M,0,0,OPEN
14.0385,7,F,0,0,OPEN
14.0385,6,M,0,0,OPEN
14.0385,6,F,0,0,OPEN
14.0385,5,M,0,0,OPEN
14.0385,5,F,0,0,OPEN
14.0385,4,M,0,0,OPEN
14.0385,4,F,0,0,OPEN
14.0385,3,M,0,0,OPEN
14.0385,3,F,0,0,OPEN
14.0385,2,M,0,0,OPEN
14.0385,2,F,0,0,OPEN
14.0385,1,M,10007,1006,OPEN
14.0385,1,F,10030,1007,OPEN
21.0577,11,M,0,0,OPEN
21.0577,11,F,0,0,OPEN
21.0577,10,M,0,0,OPEN
21.0577,10,F,0,0,OPEN
21.0577,9,M,0,0,OPEN
21.0577,9,F,0,0,OPEN
21.0577,8,M,0,0,OPEN
21.0577,8,F,0,0,OPEN
21.0577,7,M,0,0,OPEN
21.0577,7,F,0,0,OPEN
21.0577,6,M,0,0,OPEN
21.0577,6,F,0,0,OPEN
21.0577,5,M,0,0,OPEN
21.0577,5,F,0,0,OPEN
21.0577,4,M,0,0,OPEN
21.0577,4,F,0,0,OPEN
21.0577,3,M,0,0,OPEN
21.0577,3,F,0,0,OPEN
21.0577,2,M,0,0,OPEN
21.0577,2,F,0,0,OPEN
21.0577,1,M,10003,1001,OPEN
21.0577,1,F,10037,1000,OPEN
28.0769,11,M,0,0,OPEN
28.0769,11,F,0,0,OPEN
28.0769,10,M,0,0,OPEN
28.0769,10,F,0,0,OPEN
28.0769,9,M,0,0,OPEN
28.0769,9,F,0,0,OPEN
28.0769,8,M,0,0,OPEN
28.0769,8,F,0,0,OPEN
28.0769,7,M,0,0,OPEN
28.0769,7,F,0,0,OPEN
28.0769,6,M,0,0,OPEN
28.0769,6,F,0,0,OPEN
28.0769,5,M,0,0,OPEN
28.0769,5,F,0,0,OPEN
28.0769,4,M,0,0,OPEN
28.0769,4,F,0,0,OPEN
28.0769,3,M,0,0,OPEN
28.0769,3,F,0,0,OPEN
28.0769,2,M,0,0,OPEN
28.0769,2,F,0,0,OPEN
28.0769,1,M,10010,1000,OPEN
28.0769,1,F,10045,997,OPEN
35.0962,11,M,0,0,OPEN
35.0962,11,F,0,0,OPEN
35.0962,10,M,0,0,OPEN
35.0962,10,F,0,0,OPEN
35.0962,9,M,0,0,OPEN
35.0962,9,F,0,0,OPEN
35.0962,8,M,0,0,OPEN
35.0962,8,F,0,0,OPEN
35.0962,7,M,0,0,OPEN
35.0962,7,F,0,0,OPEN
35.0962,6,M,0,0,OPEN
35.0962,6,F,0,0,OPEN
35.0962,5,M,0,0,OPEN
35.0962,5,F,0,0,OPEN
35.0962,4,M,0,0,OPEN
35.0962,4,F,0,0,OPEN
35.0962,3,M,0,0,OPEN
35.0962,3,F,0,0,OPEN
35.0962,2,M,0,0,OPEN
35.0962,2,F,0,0,OPEN
35.0962,1,M,10013,1009,OPEN
35.0962,1,F,10055,1005,OPEN
42.1154,11,M,0,0,OPEN
42.1154,11,F,0,0,OPEN
42.1154,10,M,0,0,OPEN
42.1154,10,F,0,0,OPEN
42.1154,9,M,0,0,OPEN
42.1154,9,F,0,0,OPEN
42.1154,8,M,0,0,OPEN
42.1154,8,F,0,0,OPEN
42.1154,7,M,0,0,OPEN
42.1154,7,F,0,0,OPEN
42.1154,6,M,0,0,OPEN
42.1154,6,F,0,0,OPEN
42.1154,5,M,0,0,OPEN
42.1154,5,F,0,0,OPEN
42.1154,4,M,0,0,OPEN
42.1154,4,F,0,0,OPEN
42.1154,3,M,0,0,OPEN
42.1154,3,F,0,0,OPEN
42.1154,2,M,0,0,OPEN
42.1154,2,F,0,0,OPEN
42.1154,1,M,10017,1010,OPEN
42.1154,1,F,10059,1009,OPEN
49.1346,11,M,0,0,OPEN
49.1346,11,F,0,0,OPEN
49.1346,10,M,0,0,OPEN
49.1346,10,F,0,0,OPEN
49.1346,9,M,0,0,OPEN
49.1346,9,F,0,0,OPEN
49.1346,8,M,0,0,OPEN
49.1346,8,F,0,0,OPEN
49.1346,7,M,0,0,OPEN
49.1346,7,F,0,0,OPEN
49.1346,6,M,0,0,OPEN
49.1346,6,F,0,0,OPEN
49.1346,5,M,0,0,OPEN
49.1346,5,F,0,0,OPEN
49.1346,4,M,0,0,OPEN
49.1346,4,F,0,0,OPEN
49.1346,3,M,0,0,OPEN
49.1346,3,F,0,0,OPEN
49.1346,2,M,0,0,OPEN
49.1346,2,F,0,0,OPEN
49.1346,1,M,10028,1014,OPEN
49.1346,1,F,10065,1010,OPEN
56.1538,11,M,0,0,OPEN
56.1538,11,F,0,0,OPEN
56.1538,10,M,0,0,OPEN
56.1538,10,F,0,0,OPEN
56.1538,9,M,0,0,OPEN
56.1538,9,F,0,0,OPEN
56.1538,8,M,0,0,OPEN
56.1538,8,F,0,0,OPEN
56.1538,7,M,0,0,OPEN
56.1538,7,F,0,0,OPEN
56.1538,6,M,0,0,OPEN
56.1538,6,F,0,0,OPEN
56.1538,5,M,0,0,OPEN
56.1538,5,F,0,0,OPEN
56.1538,4,M,0,0,OPEN
56.1538,4,F,0,0,OPEN
56.1538,3,M,0,0,OPEN
56.1538,3,F,0,0,OPEN
56.1538,2,M,0,0,OPEN
56.1538,2,F,0,0,OPEN
56.1538,1,M,10027,1019,OPEN
56.1538,1,F,10066,1008,OPEN
63.1731,11,M,0,0,OPEN
63.1731,11,F,0,0,OPEN
63.1731,10,M,0,0,OPEN
