Time,NodeID,IndividualID,Gender,AgeYears,InfectionDuration
3855,340461476,12,F,10.5644,52.75
3855,340461476,30,F,10.5644,51.75
3855,340461476,87,M,10.5644,56.75
3855,340461476,161,M,9.98082,53.125
3855,340461476,177,F,9.83014,51.75
3855,340461476,187,M,9.69315,49.875
3855,340461476,203,M,9.52055,115.875
3855,340461476,228,F,9.26027,246.5
3855,340461476,251,M,8.99452,52.875
3855,340461476,293,F,8.50137,110.875
3855,340461476,296,M,8.43288,118.5
3855,340461476,316,F,8.16712,116.5
3855,340461476,328,F,8.02466,74
3855,340461476,509,F,6.30959,71.875
3855,340461476,564,M,5.69863,126.125
3855,340461476,664,M,4.85205,52.75
3855,340461476,674,F,4.67123,30.125
3855,340461476,679,F,4.63562,32.75
3855,340461476,681,M,4.62192,29.25
3855,340461476,689,F,4.52055,23
3855,340461476,697,F,4.47671,9.75
3855,340461476,698,M,4.47671,33.25
3855,340461476,698,M,4.47671,34.5
3855,340461476,698,M,4.47671,37.75
3855,340461476,712,F,4.33699,30
3855,340461476,718,M,4.25753,28.75
3855,340461476,754,F,3.90137,35.5
3855,340461476,754,F,3.90137,27.5
3855,340461476,788,F,3.51233,30
3855,340461476,790,M,3.49589,25.75
3855,340461476,799,M,3.42192,8.25
3855,340461476,813,M,3.24384,27.25
3855,340461476,818,F,3.20274,36.125
3855,340461476,831,F,3.09589,22.75
3855,340461476,847,F,2.95342,31.5
3855,340461476,849,F,2.91507,32.625
3855,340461476,859,M,2.81918,28.25
3855,340461476,876,F,2.6137,31.375
3855,340461476,878,M,2.58904,32.625
3855,340461476,883,F,2.56438,25.125
3855,340461476,916,F,2.08493,31
3855,340461476,917,M,2.08219,8
3855,340461476,931,F,2,22.5
3855,340461476,937,M,1.87123,13.5
3855,340461476,944,M,1.77534,25.625
3855,340461476,951,F,1.66575,31.625
3855,340461476,951,F,1.66575,33.75
3855,340461476,951,F,1.66575,30.875
3855,340461476,966,M,1.53425,26.75
3855,340461476,973,F,1.4274,18.125
3855,340461476,1034,M,0.646575,26.75
3856,340461476,54,M,10.5671,70.375
3856,340461476,65,M,10.5671,76.75
3856,340461476,98,M,10.5671,117.875
3856,340461476,111,M,10.5123,50.125
3856,340461476,115,M,10.4411,50.75
3856,340461476,218,F,9.36164,95.125
3856,340461476,294,M,8.48767,77.375
3856,340461476,308,M,8.30685,80
3856,340461476,334,M,7.9589,108.5
3856,340461476,356,F,7.74795,85.375
3856,340461476,366,M,7.70411,49.875
3856,340461476,366,M,7.70411,134
