Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
0,340461476,X-a1:X-a1,2199,0,0,2199,0,0,76850,0,0,0,0,0
0,340461476,X-a1:X-a2,2160,0,0,2160,0,0,75100,0,0,0,0,0
0,340461476,X-a2:X-a1,2199,0,0,2199,0,0,78600,0,0,0,0,0
0,340461476,X-a2:X-a2,2191,0,0,2191,0,0,77550,0,0,0,0,0
1,340461476,X-a1:X-a1,1924,0,0,1924,0,2367,68200,0,0,0,0,0
1,340461476,X-a1:X-a2,1868,0,0,1868,0,2346,68650,0,0,0,0,0
1,340461476,X-a2:X-a1,1904,0,0,1904,0,2470,69550,0,0,0,0,0
1,340461476,X-a2:X-a2,1906,0,0,1906,0,2455,67400,0,0,0,0,0
2,340461476,X-a1:X-a1,1680,0,0,1680,0,3318,59900,0,0,0,0,0
2,340461476,X-a1:X-a2,1636,0,0,1636,0,3297,61350,0,0,0,0,0
2,340461476,X-a2:X-a1,1661,0,0,1661,0,3395,57150,0,0,0,0,0
2,340461476,X-a2:X-a2,1675,0,0,1675,0,3334,59200,0,0,0,0,0
3,340461476,X-a1:X-a1,1456,0,0,1456,0,4331,49225,0,0,0,0,0
3,340461476,X-a1:X-a2,1445,0,0,1445,0,4274,50775,0,0,0,0,0
3,340461476,X-a2:X-a1,1426,0,0,1426,0,4332,52075,0,0,0,0,0
3,340461476,X-a2:X-a2,1451,0,0,1451,0,4254,51325,0,0,0,0,0
4,340461476,X-a1:X-a1,1283,0,0,1283,0,5260,44750,0,0,0,0,0
4,340461476,X-a1:X-a2,1270,0,0,1270,0,5229,46600,0,0,0,0,0
4,340461476,X-a2:X-a1,1257,0,0,1257,0,5329,46100,0,0,0,0,0
4,340461476,X-a2:X-a2,1262,0,0,1262,0,5201,46350,0,0,0,0,0
5,340461476,X-a1:X-a1,1109,0,0,1109,0,6094,39825,0,0,0,0,0
5,340461476,X-a1:X-a2,1116,0,0,1116,0,6188,41225,0,0,0,0,0
5,340461476,X-a2:X-a1,1107,0,0,1107,0,6243,36875,0,0,0,0,0
5,340461476,X-a2:X-a2,1110,0,0,1110,0,6040,38275,0,0,0,0,0
6,340461476,X-a1:X-a1,983,0,0,983,0,6991,33225,0,0,0,0,0
6,340461476,X-a1:X-a2,984,0,0,984,0,7127,33875,0,0,0,0,0
6,340461476,X-a2:X-a1,967,0,0,967,0,6951,34975,0,0,0,0,0
6,340461476,X-a2:X-a2,956,0,0,956,0,6847,34325,0,0,0,0,0
7,340461476,X-a1:X-a1,850,0,0,850,0,7738,29975,0,0,0,0,0
7,340461476,X-a1:X-a2,856,0,0,856,0,7892,31075,0,0,0,0,0
7,340461476,X-a2:X-a1,852,0,0,852,0,7754,30625,0,0,0,0,0
7,340461476,X-a2:X-a2,825,0,0,825,0,7704,31725,0,0,0,0,0
8,340461476,X-a1:X-a1,730,0,0,730,0,8468,27150,0,0,0,0,0
8,340461476,X-a1:X-a2,760,0,0,760,0,8581,28250,0,0,0,0,0
