Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,AAAAAAAAAA,TAAAAAAAAA,AAAAAAAAAT,AAAATAAAAT,OtherBarcodes
0,340461476,1000,8759,0,0,8759,8983,0,0,612400,306200,2919,0,0,0,0,0,948,293,0,194875,1,0,0,0,0,0,0,0,2919,0,0,0,0,0,0,0,0,0,0,0,0,0
1,340461476,1000,7645,0,0,7645,8170,0,195038,542200,271100,2573,0,0,0,0,0,860,254,0,92039.6,0.318215,0,0,0,7645,0,0,0,2573,0,0,0,0,0,0,0,0,0,0,0,0,0
2,340461476,1000,6714,0,0,6714,7395,0,268375,482000,241000,2292,0,0,0,0,0,680,251,0,107583,0.169752,0,0,0,6714,0,0,0,2292,0,0,0,0,0,0,0,0,0,0,0,0,0
3,340461476,1000,5849,0,0,5849,6636,0,350005,416000,208000,1954,0,0,0,0,0,660,205,0,111631,0.223202,0,0,0,5849,0,0,0,1954,0,0,0,0,0,0,0,0,0,0,0,0,0
4,340461476,1000,5109,0,0,5109,6032,0,428920,369400,184700,1766,0,0,0,0,0,573,167,0,115307,0.268344,0,0,0,5109,0,0,0,1766,0,0,0,0,0,0,0,0,0,0,0,0,0
5,340461476,1000,4470,0,0,4470,5505,0,503642,316600,158300,1509,0,0,0,0,0,482,157,0,120199,0.312146,0,0,0,4470,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0,0
6,340461476,1000,3944,0,0,3944,4960,0,575856,279200,139600,1322,0,0,0,0,0,409,117,0,124731,0.379657,0,0,0,3944,0,0,0,1322,0,0,0,0,0,0,0,0,0,0,0,0,0
7,340461476,1000,3431,0,0,3431,4473,0,645830,247200,123600,1182,0,0,0,0,0,396,117,0,128738,0.446745,0,0,0,3431,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0
8,340461476,1000,2986,0,0,2986,4036,0,713107,206000,103000,965,0,0,0,0,0,343,102,0,132775,0.520784,0,0,0,2986,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0
9,340461476,1000,2609,0,0,2609,3676,0,777338,191200,95600,914,0,0,0,0,0,293,84,0,137289,0.644541,0,0,0,2609,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0
10,340461476,1000,2278,0,0,2278,3342,0,840957,164200,82100,786,0,0,0,0,0,233,98,0,139938,0.71804,0,0,0,2278,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0
11,340461476,1000,2002,0,0,2002,3011,0,901089,138000,69000,658,0,0,0,0,0,209,67,0,143686,0.852242,0,0,0,2002,0,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0
12,340461476,1000,1752,0,0,1752,2718,0,953407,130600,65300,620,0,0,0,0,0,196,54,0,152946,1,0,0,0,1752,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0
13,340461476,1000,1559,0,0,1559,2444,0,993191,109200,54600,512,0,0,0,0,0,151,42,0,172522,1,0,0,0,1559,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0
14,340461476,1000,1356,0,0,1356,2214,0,1007818,90800,45400,428,0,0,0,0,0,165,38,0,215115,1,0,0,0,1356,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0
15,340461476,1000,1184,0,0,1184,2004,0,1002882,87200,43600,416,0,0,0,0,0,136,36,0,275209,1,0,0,0,1184,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0
