Time,NodeID,NumIndividuals,NumInfected,AvgInfectiousness,AvgParasiteDensity,AvgGametocyteDensity,AvgVariantFractionPfEMP1Major,AvgNumInfections,AvgInfectionClearedDuration,NumInfectionsCleared,NumHasFever,NumHasClinicalSymptoms,TotalUniqueGenomes,TotalUniqueBarcodes,UniqueGenomesLast_1_Years,UniqueBarcodesLast_1_Years,CurrentUniqueGenomes,CurrentUniqueBarcodes,CurrentNumInfections,NumBitesDeliveredCurrentInfections,NumBitesDeliveredMultipleCurrentInfections,NumNewInfectionsInLastYear,NumTotalRoots,FractionOfRootsPresentInLastYear,AvgIdentityByStateInLastYearOfUniqueGenomes,AvgIdentityByDescentInLastYearOfUniqueGenomes
0,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,340461476,1000,5,0,0,0,0,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
11,340461476,1000,5,0,0,0,0,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
12,340461476,1000,5,0,0,0,0,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
13,340461476,1000,5,0,0,0,0,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
14,340461476,1000,5,0,0,0,0,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
15,340461476,1000,5,0,0,0,0,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
16,340461476,1000,5,0,6.02592e-05,0,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
17,340461476,1000,5,0,6.02397e-05,0,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
18,340461476,1000,5,0,0.000956818,0,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
19,340461476,1000,5,0,0.000956507,0,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
20,340461476,1000,5,0,0.0148886,0,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
21,340461476,1000,5,0,0.0148838,0,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
22,340461476,1000,5,0,0.23167,0,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
23,340461476,1000,5,0,0.231595,0,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
24,340461476,1000,5,0,3.60477,0,1.66667e-05,1,0,0,1,1,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
25,340461476,1000,5,0,3.51112,0,1.66667e-05,1,0,0,3,3,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
26,340461476,1000,5,0,51.449,0,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
27,340461476,1000,5,0,34.5715,0,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
28,340461476,1000,5,0,279.013,0,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
29,340461476,1000,5,0,125.406,0,1.66667e-05,1,0,0,2,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
30,340461476,1000,5,0,757.44,0,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
31,340461476,1000,5,2.44867e-07,220.656,0.000302758,1.66667e-05,1,0,0,0,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
32,340461476,1000,5,1.27372e-06,889.053,0.00022932,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
33,340461476,1000,5,3.94951e-06,198.777,0.00488481,1.66667e-05,1,0,0,0,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
34,340461476,1000,5,2.05063e-05,651.193,0.00370189,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
35,340461476,1000,5,6.27639e-05,118.845,0.0761114,1.66667e-05,1,0,0,0,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
36,340461476,1000,5,0.000312149,322.25,0.0576818,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
37,340461476,1000,5,0.000887476,51.3266,1.10865,1.66667e-05,1,0,0,0,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
38,340461476,1000,5,0.00289262,125.589,0.84014,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
39,340461476,1000,5,0.00376072,18.8246,6.82739,1.66667e-05,1,0,0,0,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
40,340461476,1000,5,0.00498203,43.7004,5.17422,1.66667e-05,1,0,0,5,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
41,340461476,1000,5,0.00499137,6.43243,21.5017,1.66667e-05,1,0,0,0,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
42,340461476,1000,5,0.005,14.5381,16.2958,1.66667e-05,1,0,0,0,5,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
43,340461476,1000,5,0.005,2.10968,33.9157,1.66667e-05,1,0,0,0,4,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
44,340461476,1000,5,0.005,4.70377,25.7048,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
45,340461476,1000,5,0.005,0.675942,35.6871,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
46,340461476,1000,5,0.005,1.49691,27.0478,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
47,340461476,1000,5,0.005,0.214047,28.6911,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
48,340461476,1000,5,0.005,0.472439,21.7455,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
49,340461476,1000,5,0.005,0.067388,19.709,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
50,340461476,1000,5,0.005,0.148436,14.9379,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
51,340461476,1000,5,0.005,0.0211441,12.4512,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
52,340461476,1000,5,0.005,0.0465304,9.43716,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
53,340461476,1000,5,0.005,0.0066238,7.52948,1.66667e-05,1,0,0,0,0,5,1,5,1,5,1,5,0,0,5,5,1,0.12069,0
54,340461476,1000,5,0.005,0.0145753,5.70677,1.66667e-05,1.2,0,0,0,0,5,1,5,1,5,1,6,1,0,6,5,1,0.12069,0
55,340461476,1000,6,0.00499998,0.00207395,4.44739,1.66667e-05,1.16667,0,0,0,0,5,1,5,1,5,1,7,2,0,7,5,1,0.12069,0
56,340461476,1000,9,0.00499969,0.00456421,3.3708,1.66667e-05,1.11111,0,0,0,0,5,1,5,1,5,1,10,5,0,10,5,1,0.12069,0
57,340461476,1000,12,0.00499752,0.000649941,2.59368,1.66667e-05,1.08333,0,0,0,0,5,1,5,1,5,1,13,8,0,13,5,1,0.12069,0
58,340461476,1000,18,0.00498625,0.0014288,1.96581,1.66667e-05,1.05556,0,0,0,0,5,1,5,1,5,1,19,14,0,19,5,1,0.12069,0
59,340461476,1000,22,0.00494844,0.000203344,1.5022,1.66667e-05,1.04545,0,0,0,0,5,1,5,1,5,1,23,18,0,23,5,1,0.12069,0
60,340461476,1000,27,0.00485094,0.000447315,1.13856,1.66667e-05,1.03704,0,0,0,0,5,1,5,1,5,1,28,23,0,28,5,1,0.12069,0
61,340461476,1000,32,0.00466349,7.27189e-05,0.866792,2e-05,1.03125,0,0,0,0,5,1,5,1,5,1,33,28,0,33,5,1,0.12069,0
62,340461476,1000,39,0.00436271,0.000158909,0.656964,2.33333e-05,1.05128,0,0,0,0,5,1,5,1,5,1,41,36,0,41,5,1,0.12069,0
63,340461476,1000,43,0.00396287,0.000245091,0.499145,3.33333e-05,1.04651,0,0,0,0,5,1,5,1,5,1,45,40,0,45,5,1,0.12069,0
64,340461476,1000,49,0.00348897,0.000501531,0.378311,4.33333e-05,1.06122,0,0,0,0,5,1,5,1,5,1,52,47,0,52,5,1,0.12069,0
65,340461476,1000,55,0.00298831,0.0037779,0.287115,6.33333e-05,1.07273,0,0,0,0,5,1,5,1,5,1,59,54,0,59,5,1,0.12069,0
66,340461476,1000,63,0.00249121,0.00746496,0.217609,7.66667e-05,1.07937,0,0,0,0,5,1,5,1,5,1,68,63,0,68,5,1,0.12069,0
67,340461476,1000,71,0.00203088,0.058916,0.165049,9.33333e-05,1.09859,0,0,0,0,5,1,5,1,5,1,78,73,0,78,5,1,0.12069,0
68,340461476,1000,76,0.00158573,0.116132,0.125094,0.00011,1.09211,0,0,0,0,5,1,5,1,5,1,83,78,0,83,5,1,0.12069,0
69,340461476,1000,84,0.00120587,0.914465,0.0948503,0.000136667,1.09524,0,0,0,0,5,1,5,1,5,1,92,87,0,92,5,1,0.12069,0
70,340461476,1000,93,0.000860126,1.80444,0.0718882,0.00015,1.09677,0,0,1,1,5,1,5,1,5,1,102,97,0,102,5,1,0.12069,0
71,340461476,1000,97,0.000644658,14.1911,0.0544999,0.000173333,1.09278,0,0,5,5,5,1,5,1,5,1,106,101,0,106,5,1,0.12069,0
72,340461476,1000,105,0.000486899,25.9747,0.0413065,0.000196667,1.08571,0,0,6,6,5,1,5,1,5,1,114,109,0,114,5,1,0.12069,0
73,340461476,1000,111,0.000374481,131.704,0.0313114,0.000226667,1.0991,0,0,10,10,5,1,5,1,5,1,122,117,0,122,5,1,0.12069,0
74,340461476,1000,112,0.000284968,188.346,0.023731,0.00026,1.09821,0,0,16,17,5,1,5,1,5,1,123,118,0,123,5,1,0.12069,0
75,340461476,1000,118,0.00022943,573.862,0.0179887,0.000276666,1.09322,0,0,19,20,5,1,5,1,5,1,129,124,0,129,5,1,0.12069,0
76,340461476,1000,124,0.000167328,716.912,0.0136779,0.000306666,1.09677,0,0,20,24,5,1,5,1,5,1,136,131,0,136,5,1,0.12069,0
77,340461476,1000,132,0.000138822,1443.79,0.0104147,0.00034,1.13636,0,0,23,27,5,1,5,1,5,1,150,145,0,150,5,1,0.12069,0
78,340461476,1000,143,7.92202e-05,1538.56,0.00777347,0.000353333,1.13287,69,1,24,34,5,1,5,1,5,1,162,158,0,163,5,1,0.12069,0
79,340461476,1000,153,7.1364e-05,2464.19,0.007092,0.00038,1.12418,0,0,32,39,5,1,5,1,5,1,172,168,0,173,5,1,0.12069,0
80,340461476,1000,168,6.49757e-05,2277.56,0.0227081,0.000403333,1.13095,0,0,33,47,5,1,5,1,5,1,190,186,0,191,5,1,0.12069,0
81,340461476,1000,180,0.000128973,3162.18,0.0365313,0.000406666,1.12222,0,0,45,55,5,1,5,1,5,1,202,198,0,203,5,1,0.12069,0
82,340461476,1000,186,0.00032515,2842.34,0.296502,0.000426666,1.12903,73,2,43,60,5,1,5,1,5,1,210,208,0,213,5,1,0.12069,0
83,340461476,1000,196,0.00120627,3907.97,0.525745,0.00045,1.12755,0,0,50,64,5,1,5,1,5,1,221,219,0,224,5,1,0.12069,0
84,340461476,1000,204,0.00293495,3419.13,2.9659,0.000493333,1.12255,75,2,50,73,5,1,5,1,5,1,229,229,0,234,5,1,0.12069,0
85,340461476,1000,214,0.00578716,4693.67,4.92025,0.000536666,1.1215,0,0,64,84,5,1,5,1,5,1,240,240,0,245,5,1,0.12069,0
86,340461476,1000,223,0.00952788,4130.73,15.0307,0.00057,1.12556,0,0,60,92,5,1,5,1,5,1,251,251,0,256,5,1,0.12069,0
