Time,NodeID,Species,MicrosporidiaStrain,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MicrosporidiaModifier
0,340461476,arabiensis,NoMicrosporidia,8775,0,0,8775,9036,0,0,597600,1.65625
0,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.65625
0,340461476,funestus,NoMicrosporidia,8832,0,0,8832,9001,0,0,0,1.65625
0,340461476,gambiae,NoMicrosporidia,8767,0,0,8767,9041,0,0,0,1.65625
1,340461476,arabiensis,NoMicrosporidia,7687,0,0,7687,8229,0,53008,547600,1.52292
1,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.52292
1,340461476,funestus,NoMicrosporidia,7690,0,0,7690,8121,0,0,0,1.52292
1,340461476,gambiae,NoMicrosporidia,7651,0,0,7651,8189,0,0,0,1.52292
2,340461476,arabiensis,NoMicrosporidia,6711,0,0,6711,7424,0,71321,496800,1.56042
2,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.56042
2,340461476,funestus,NoMicrosporidia,6679,0,0,6679,7387,0,0,0,1.56042
2,340461476,gambiae,NoMicrosporidia,6641,0,0,6641,7431,0,0,0,1.56042
3,340461476,arabiensis,NoMicrosporidia,5872,0,0,5872,6695,0,91325,404400,1.40625
3,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.40625
3,340461476,funestus,NoMicrosporidia,5897,0,0,5897,6682,0,0,0,1.40625
3,340461476,gambiae,NoMicrosporidia,5787,0,0,5787,6680,0,0,0,1.40625
4,340461476,arabiensis,NoMicrosporidia,5180,0,0,5180,6035,0,109796,363600,1.44583
4,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.44583
4,340461476,funestus,NoMicrosporidia,5169,0,0,5169,6054,0,0,0,1.44583
4,340461476,gambiae,NoMicrosporidia,5051,0,0,5051,6006,0,0,0,1.44583
5,340461476,arabiensis,NoMicrosporidia,4513,0,0,4513,5485,0,126480,332600,1.50417
5,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.50417
5,340461476,funestus,NoMicrosporidia,4530,0,0,4530,5511,0,0,0,1.50417
5,340461476,gambiae,NoMicrosporidia,4377,0,0,4377,5449,0,0,0,1.50417
6,340461476,arabiensis,NoMicrosporidia,3929,0,0,3929,4982,0,142038,268800,1.3625
6,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.3625
6,340461476,funestus,NoMicrosporidia,3951,0,0,3951,4976,0,0,0,1.3625
6,340461476,gambiae,NoMicrosporidia,3880,0,0,3880,4948,0,0,0,1.3625
7,340461476,arabiensis,NoMicrosporidia,3446,0,0,3446,4500,0,156809,240200,1.425
7,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.425
7,340461476,funestus,NoMicrosporidia,3437,0,0,3437,4481,0,0,0,1.425
7,340461476,gambiae,NoMicrosporidia,3389,0,0,3389,4462,0,0,0,1.425
8,340461476,arabiensis,NoMicrosporidia,3004,0,0,3004,4033,0,169787,221200,1.33125
8,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.33125
8,340461476,funestus,NoMicrosporidia,3009,0,0,3009,4104,0,0,0,1.33125
8,340461476,gambiae,NoMicrosporidia,2938,0,0,2938,4034,0,0,0,1.33125
9,340461476,arabiensis,NoMicrosporidia,2631,0,0,2631,3630,0,182622,181000,1.5625
9,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.5625
9,340461476,funestus,NoMicrosporidia,2641,0,0,2641,3735,0,0,0,1.5625
9,340461476,gambiae,NoMicrosporidia,2569,0,0,2569,3634,0,0,0,1.5625
10,340461476,arabiensis,NoMicrosporidia,2290,0,0,2290,3278,0,192778,167200,1.51042
10,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.51042
10,340461476,funestus,NoMicrosporidia,2295,0,0,2295,3421,0,0,0,1.51042
10,340461476,gambiae,NoMicrosporidia,2271,0,0,2271,3286,0,0,0,1.51042
11,340461476,arabiensis,NoMicrosporidia,2004,0,0,2004,2945,0,203377,147000,1.47917
11,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.47917
11,340461476,funestus,NoMicrosporidia,2012,0,0,2012,3097,0,0,0,1.47917
11,340461476,gambiae,NoMicrosporidia,1979,0,0,1979,2986,0,0,0,1.47917
12,340461476,arabiensis,NoMicrosporidia,1746,0,0,1746,2689,0,212699,121400,1.45625
12,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.45625
12,340461476,funestus,NoMicrosporidia,1765,0,0,1765,2775,0,0,0,1.45625
12,340461476,gambiae,NoMicrosporidia,1730,0,0,1730,2699,0,0,0,1.45625
13,340461476,arabiensis,NoMicrosporidia,1520,0,0,1520,2451,0,221594,107000,1.46667
13,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.46667
13,340461476,funestus,NoMicrosporidia,1530,0,0,1530,2503,0,0,0,1.46667
13,340461476,gambiae,NoMicrosporidia,1488,0,0,1488,2463,0,0,0,1.46667
14,340461476,arabiensis,NoMicrosporidia,1319,0,0,1319,2213,0,229779,99000,1.51042
14,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.51042
14,340461476,funestus,NoMicrosporidia,1349,0,0,1349,2253,0,0,0,1.51042
14,340461476,gambiae,NoMicrosporidia,1295,0,0,1295,2235,0,0,0,1.51042
15,340461476,arabiensis,NoMicrosporidia,1163,0,0,1163,2002,13166,223604,80800,1.44792
15,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.44792
15,340461476,funestus,NoMicrosporidia,1200,0,0,1200,2037,0,0,0,1.44792
