Time,ID,FromNodeID,ToNodeID,State,Species,Age,Population
365,4452578,25,24,STATE_MALE,arabiensis,0,11
365,4452604,25,19,STATE_MALE,arabiensis,0,7
365,4452630,25,20,STATE_MALE,arabiensis,0,10
365,4452656,25,24,STATE_MALE,arabiensis,1,11
365,4452682,25,20,STATE_MALE,arabiensis,1,5
365,4452708,25,19,STATE_MALE,arabiensis,1,7
365,4452734,25,20,STATE_MALE,arabiensis,2,9
365,4452760,25,24,STATE_MALE,arabiensis,2,3
365,4452786,25,19,STATE_MALE,arabiensis,2,5
365,4452812,25,19,STATE_MALE,arabiensis,3,3
365,4452838,25,20,STATE_MALE,arabiensis,3,7
365,4452864,25,24,STATE_MALE,arabiensis,3,6
365,4452890,25,20,STATE_MALE,arabiensis,4,3
365,4452916,25,19,STATE_MALE,arabiensis,4,4
365,4452942,25,24,STATE_MALE,arabiensis,4,6
365,4452968,25,24,STATE_MALE,arabiensis,5,5
365,4452994,25,19,STATE_MALE,arabiensis,5,2
365,4453020,25,20,STATE_MALE,arabiensis,5,5
365,4453046,25,24,STATE_MALE,arabiensis,6,2
365,4453072,25,19,STATE_MALE,arabiensis,6,3
365,4453098,25,20,STATE_MALE,arabiensis,6,5
365,4453124,25,19,STATE_MALE,arabiensis,7,3
365,4453150,25,24,STATE_MALE,arabiensis,7,3
365,4453176,25,20,STATE_MALE,arabiensis,7,5
365,4453202,25,19,STATE_MALE,arabiensis,8,3
365,4453228,25,20,STATE_MALE,arabiensis,8,1
365,4453254,25,24,STATE_MALE,arabiensis,8,2
365,4453280,25,20,STATE_MALE,arabiensis,9,3
365,4453306,25,19,STATE_MALE,arabiensis,9,1
365,4453332,25,24,STATE_MALE,arabiensis,9,4
365,4453358,25,20,STATE_MALE,arabiensis,10,4
365,4453384,25,24,STATE_MALE,arabiensis,10,3
365,4453410,25,19,STATE_MALE,arabiensis,10,3
365,4453436,25,19,STATE_MALE,arabiensis,11,3
365,4453462,25,24,STATE_MALE,arabiensis,11,1
365,4453488,25,20,STATE_MALE,arabiensis,11,1
365,4453514,25,24,STATE_MALE,arabiensis,12,1
365,4453540,25,20,STATE_MALE,arabiensis,12,2
365,4453566,25,19,STATE_MALE,arabiensis,12,1
365,4453592,25,19,STATE_MALE,arabiensis,13,1
365,4453618,25,24,STATE_MALE,arabiensis,13,1
365,4453644,25,20,STATE_MALE,arabiensis,13,1
365,4453696,25,24,STATE_MALE,arabiensis,14,2
365,4453774,25,20,STATE_MALE,arabiensis,15,2
365,4453800,25,19,STATE_MALE,arabiensis,15,1
365,4453826,25,19,STATE_MALE,arabiensis,16,1
