Time,ID,FromNodeID,ToNodeID,State,Genome,Species,Age,Population
366,4139226,24,23,STATE_INFECTIOUS,X:X,funestus,23,1
366,5906263,24,23,STATE_INFECTED,X:X,funestus,2,1
366,7942552,24,23,STATE_INFECTED,X:X,funestus,8,1
366,8017588,24,23,STATE_INFECTED,X:X,funestus,5,1
366,5758319,23,24,STATE_INFECTED,X:X,funestus,9,1
367,4365426,24,23,STATE_INFECTED,X:X,funestus,8,1
367,5886841,24,23,STATE_INFECTED,X:X,funestus,4,1
367,5867679,24,23,STATE_INFECTED,X:X,funestus,5,1
367,7918423,24,23,STATE_INFECTED,X:X,funestus,11,1
367,5796175,24,23,STATE_INFECTED,X:X,funestus,8,1
367,5755729,24,23,STATE_INFECTED,X:X,funestus,9,1
367,7560680,23,24,STATE_INFECTIOUS,X:X,funestus,23,1
368,5831981,24,23,STATE_INFECTED,X:X,funestus,8,1
368,5698783,24,23,STATE_INFECTIOUS,X:X,funestus,15,1
368,5942741,24,23,STATE_INFECTED,X:X,funestus,2,1
368,5870015,24,23,STATE_INFECTED,X:X,funestus,5,1
368,5869651,24,23,STATE_INFECTED,X:X,funestus,5,1
368,5781844,24,23,STATE_INFECTED,X:X,funestus,9,1
368,5743364,23,24,STATE_INFECTED,X:X,funestus,11,1
368,5465185,23,24,STATE_INFECTIOUS,X:X,funestus,25,1
368,8045848,23,24,STATE_INFECTED,X:X,funestus,4,1
369,5887101,24,23,STATE_INFECTED,X:X,funestus,6,1
369,5812975,24,23,STATE_INFECTED,X:X,funestus,10,1
369,5758683,24,23,STATE_INFECTED,X:X,funestus,12,1
369,5867965,24,23,STATE_INFECTED,X:X,funestus,7,1
369,5717633,23,24,STATE_INFECTIOUS,X:X,funestus,15,1
369,5807663,23,24,STATE_INFECTED,X:X,funestus,7,1
370,4293874,24,23,STATE_INFECTIOUS,X:X,funestus,16,1
370,5962917,24,23,STATE_INFECTED,X:X,funestus,3,1
370,7869746,24,23,STATE_INFECTED,X:X,funestus,15,1
370,6000981,24,23,STATE_INFECTED,X:X,funestus,1,1
370,5981559,24,23,STATE_INFECTED,X:X,funestus,2,1
370,5776337,24,23,STATE_INFECTED,X:X,funestus,12,1
370,5944687,24,23,STATE_INFECTED,X:X,funestus,3,1
370,7942084,23,24,STATE_INFECTED,X:X,funestus,12,1
370,5771804,23,24,STATE_INFECTED,X:X,funestus,13,1
371,7991432,24,23,STATE_INFECTED,X:X,funestus,11,1
371,5963073,24,23,STATE_INFECTED,X:X,funestus,4,1
371,5972978,24,23,STATE_INFECTED,X:X,funestus,2,1
371,4480008,24,23,STATE_INFECTED,X:X,funestus,4,1
371,7942084,24,23,STATE_INFECTIOUS,X:X,funestus,13,1
371,4436562,24,23,STATE_INFECTED,X:X,funestus,7,1
371,8021799,23,24,STATE_INFECTED,X:X,funestus,11,1
371,5680739,23,24,STATE_INFECTIOUS,X:X,funestus,19,1
372,6021079,24,23,STATE_INFECTED,X:X,funestus,2,1
372,5924489,24,23,STATE_INFECTED,X:X,funestus,7,1
372,7889278,24,23,STATE_INFECTIOUS,X:X,funestus,16,1
372,5859592,24,23,STATE_INFECTED,X:X,funestus,9,1
372,7842160,24,23,STATE_INFECTED,X:X,funestus,18,1
372,5944687,23,24,STATE_INFECTED,X:X,funestus,5,1
372,7759018,23,24,STATE_INFECTED,X:X,funestus,21,1
373,5944739,24,23,STATE_INFECTED,X:X,funestus,6,1
373,4436068,24,23,STATE_INFECTED,X:X,funestus,9,1
373,4393402,24,23,STATE_INFECTED,X:X,funestus,12,1
373,5870015,23,24,STATE_INFECTED,X:X,funestus,10,1
373,8199484,23,24,STATE_INFECTED,X:X,funestus,5,1
373,5896140,23,24,STATE_INFECTED,X:X,funestus,8,1
374,7689383,24,23,STATE_INFECTIOUS,X:X,funestus,25,1
374,5887101,24,23,STATE_INFECTED,X:X,funestus,11,1
374,4171046,24,23,STATE_INFECTED,X:X,funestus,26,1
374,7890779,24,23,STATE_INFECTED,X:X,funestus,17,1
374,8121842,24,23,STATE_INFECTED,X:X,funestus,9,1
374,5831981,23,24,STATE_INFECTIOUS,X:X,funestus,14,1
374,5698783,23,24,STATE_INFECTIOUS,X:X,funestus,21,1
374,4393402,23,24,STATE_INFECTIOUS,X:X,funestus,13,1
374,7439575,23,24,STATE_INFECTIOUS,X:X,funestus,35,1
374,5914503,23,24,STATE_INFECTED,X:X,funestus,7,1
374,5822464,23,24,STATE_INFECTED,X:X,funestus,13,1
375,7944605,24,23,STATE_INFECTIOUS,X:X,funestus,18,1
375,7995799,24,23,STATE_INFECTIOUS,X:X,funestus,16,1
375,4153682,23,24,STATE_INFECTIOUS,X:X,funestus,31,1
