Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,26,0,913,0,0,913,882,0,0,65400,32700,0,0,0,0,0,0,87,0,0,55028.4,2985,6114.27,1,1,1,0,0,0
0,25,1,89,0,0,89,88,0,0,6600,3300,29,0,1,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,24,10,86,0,0,86,90,0,0,5200,2600,24,0,1,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,15,182,0,0,182,184,0,0,13000,6500,52,0,11,0,0,0,18,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,22,0,352,0,0,352,361,0,0,24200,12100,0,0,0,0,0,0,48,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,21,0,365,0,0,365,357,0,0,23800,11900,0,0,0,0,0,0,35,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,20,10,88,0,0,88,94,0,0,5600,2800,21,0,6,0,0,0,12,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,19,10,88,0,0,88,93,0,0,6000,3000,22,0,7,0,0,0,12,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,18,10,92,0,0,92,86,0,0,5400,2700,23,0,4,0,0,0,8,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,5,183,0,0,183,180,0,0,10800,5400,42,0,8,0,0,0,17,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,16,0,361,0,0,361,350,0,0,24000,12000,0,0,0,0,0,0,39,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,15,5,83,0,0,83,90,0,0,6400,3200,28,0,3,0,0,0,17,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,14,0,89,0,0,89,92,0,0,5600,2800,0,0,0,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,13,10,84,0,0,84,95,0,0,6000,3000,26,0,4,0,0,0,16,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,12,15,80,0,0,80,92,0,0,7000,3500,30,0,3,0,0,0,20,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,11,10,169,0,0,169,178,0,0,11400,5700,46,0,10,0,0,0,31,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,10,10,44,0,0,44,41,0,0,2800,1400,12,0,2,0,0,0,6,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,9,10,89,0,0,89,87,0,0,4400,2200,18,0,2,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,8,10,90,0,0,90,96,0,0,6000,3000,26,0,2,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,7,0,89,0,0,89,91,0,0,6600,3300,0,0,0,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,6,10,89,0,0,89,91,0,0,6400,3200,29,0,2,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,5,15,46,0,0,46,44,0,0,2800,1400,11,0,2,0,0,0,4,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,4,5,43,0,0,43,44,0,0,2800,1400,8,0,5,0,0,0,7,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,3,1,90,0,0,90,89,0,0,6400,3200,27,0,4,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,2,10,95,0,0,95,90,0,0,7800,3900,32,0,5,0,0,0,5,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,1,5,87,0,0,87,89,0,0,4600,2300,19,0,4,0,0,0,13,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
1,26,0,827,0,0,827,793,0,30758,51600,25800,0,0,0,0,0,0,86,0,0,59163.2,1388.15,2882.69,1,0.160484,0.24263,0,0,0
1,25,1,80,0,0,80,81,0,2205,5600,2800,26,0,2,0,0,0,9,0,0,2238.16,86.7575,179.685,1,0.074625,0.109183,0,0,0
1,24,10,77,0,0,77,86,0,2873,6000,3000,25,0,3,0,0,0,8,0,0,1638.16,71.7575,126.685,1,0.106607,0.218367,0,0,0
1,23,14,192,0,0,192,148,0,5600,11400,5700,49,0,11,0,0,0,16,0,0,16790.8,368.787,788.423,1,0.219485,0.246543,0,0,0
1,22,0,252,0,0,252,295,0,11504,19200,9600,0,0,0,0,0,0,30,0,0,33381.6,799.575,1410.85,1,0.207292,0.305713,0,0,0
1,21,0,286,0,0,286,304,0,12214,20000,10000,0,0,0,0,0,0,36,0,0,32781.6,720.575,1379.85,1,0.226136,0.318451,0,0,0
1,20,11,87,0,0,87,86,0,2059,5200,2600,18,0,3,0,0,0,13,0,0,2438.16,80.7575,131.685,1,0.0678409,0.169841,0,0,0
1,19,8,90,0,0,90,84,0,2240,5200,2600,17,0,9,0,0,0,7,0,0,2238.16,81.7575,149.685,1,0.074625,0.138961,0,0,0
1,18,10,104,0,0,104,87,0,3077,7000,3500,37,0,5,0,0,0,19,0,0,1438.16,58.7575,135.685,1,0.24875,0.138961,0,0,0
1,17,6,232,0,0,232,168,0,5219,16000,8000,81,0,14,0,0,0,25,0,0,17190.8,389.787,748.423,1,0.24875,0.318451,0,0,0
1,16,0,258,0,0,258,307,0,11370,17400,8700,0,0,0,0,0,0,39,0,0,33581.6,738.575,1405.85,1,0.207292,0.305713,0,0,0
1,15,5,75,0,0,75,77,0,2252,4200,2100,19,0,1,0,0,0,6,0,0,2238.16,66.7575,152.685,1,0.0621875,0.138961,0,0,0
1,14,0,48,0,0,48,89,0,2291,2800,1400,0,0,0,0,0,0,10,0,0,2238.16,33.7575,146.685,1,0.074625,0.169841,0,0,0
1,13,9,84,0,0,84,89,0,2252,5000,2500,23,0,1,0,0,0,9,0,0,2238.16,74.7575,144.685,1,0.0932812,0.117582,0,0,0
1,12,16,107,0,0,107,110,0,2261,7800,3900,40,0,8,0,0,0,14,0,0,2238.16,86.7575,123.685,1,0.0533036,0.127381,0,0,0
1,11,9,158,0,0,158,153,0,6238,10600,5300,58,0,6,0,0,0,14,0,0,16190.8,368.787,750.423,1,0.219485,0.382142,0,0,0
1,10,10,49,0,0,49,39,0,815,3600,1800,16,0,3,0,0,0,5,0,0,1419.08,35.3788,85.3424,1,0.124375,0.0955354,0,0,0
1,9,10,72,0,0,72,72,0,1259,5000,2500,18,0,8,0,0,0,13,0,0,3238.16,70.7575,141.685,1,0.074625,0.191071,0,0,0
1,8,10,77,0,0,77,89,0,2458,4000,2000,18,0,4,0,0,0,10,0,0,2038.16,72.7575,140.685,1,0.0829167,0.138961,0,0,0
1,7,0,57,0,0,57,79,0,2445,4400,2200,0,0,0,0,0,0,5,0,0,2038.16,77.7575,148.685,1,0.0574038,0.152857,0,0,0
1,6,10,89,0,0,89,90,0,2060,6000,3000,28,0,3,0,0,0,14,0,0,2438.16,71.7575,139.685,1,0.0829167,0.101904,0,0,0
1,5,17,41,0,0,41,42,0,1221,3000,1500,11,0,3,0,0,0,7,0,0,1019.08,36.3788,78.3424,1,0.0621875,0.254761,0,0,0
1,4,5,48,0,0,48,44,0,1425,3200,1600,13,0,2,0,0,0,4,0,0,819.081,44.3788,66.3424,1,0.186562,0.127381,0,0,0
1,3,1,80,0,0,80,75,0,2628,5600,2800,21,0,5,0,0,0,12,0,0,1838.16,86.7575,156.685,1,0.074625,0.138961,0,0,0
1,2,10,79,0,0,79,85,0,3178,5400,2700,21,0,5,0,0,0,17,0,0,1288.16,72.7575,170.685,0.98265,0.0574038,0.127381,0,0,0
1,1,5,79,0,0,79,71,0,1868,6000,3000,25,0,6,0,0,0,10,0,0,2638.16,71.7575,131.685,1,0.14925,0.138961,0,0,0
2,26,0,736,0,0,736,695,0,47645,48200,24100,0,0,0,0,0,0,91,0,0,70425.3,1670.6,3258.92,1,0.0867594,0.142708,0,0,0
2,25,1,78,0,0,78,66,0,3644,4200,2100,16,0,3,0,0,0,9,0,0,2242.02,110.53,153.446,1,0.0481986,0.0748686,0,0,0
2,24,10,85,0,0,85,79,0,4407,5600,2800,22,0,5,0,0,0,3,0,0,1497.02,83.5299,162.446,1,0.0398653,0.0487249,0,0,0
2,23,15,167,0,0,167,142,0,8916,12600,6300,60,0,5,0,0,0,22,0,0,20466.1,463.65,904.231,1,0.0921969,0.171396,0,0,0
2,22,0,182,0,0,182,245,0,18014,9000,4500,0,0,0,0,0,0,20,0,0,40959.2,894.299,1632.46,1,0.124934,0.190655,0,0,0
2,21,0,211,0,0,211,268,0,19004,12400,6200,0,0,0,0,0,0,36,0,0,39983.2,834.299,1678.46,1,0.120096,0.168274,0,0,0
2,20,11,78,0,0,78,80,0,3504,6000,3000,29,0,3,0,0,0,9,0,0,2415.02,89.5299,141.446,1,0.0807575,0.0470303,0,0,0
2,19,9,83,0,0,83,67,0,4486,7800,3900,33,0,6,0,0,0,7,0,0,1422.02,89.5299,152.446,0.860832,0.0583982,0.124737,0,0,0
2,18,9,122,0,0,122,86,0,3573,5800,2900,32,0,12,0,0,0,16,0,0,2315.02,79.5299,182.446,1,0.0209848,0.0376902,0,0,0
2,17,6,251,0,0,251,163,0,10829,17800,8900,106,0,16,0,0,0,23,0,0,18651.1,434.65,835.231,1,0.0974469,0.106918,0,0,0
2,16,0,190,0,0,190,255,0,17243,12600,6300,0,0,0,0,0,0,16,0,0,41762.2,860.299,1634.46,1,0.15387,0.180237,0,0,0
2,15,5,62,0,0,62,75,0,3073,3400,1700,12,0,6,0,0,0,9,0,0,2825.02,92.5299,159.446,1,0.0476839,0.0763424,0,0,0
2,14,0,29,0,0,29,105,0,2637,2000,1000,0,0,0,0,0,0,5,0,0,3247.02,88.5299,177.446,1,0.0421969,0.0916779,0,0,0
