Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected
0,340461476,100,8717,0,0,8717,8998,0,0,609200,304600,1434,0,1440,0,0,0,977,143,163,19487.5,1,0,0,0,0,0,0,0,2874,0,0,0,0,0,0,0,0
1,340461476,100,7615,0,0,7615,8136,0,19579,548000,274000,1283,0,1316,0,0,0,829,127,146,9128.76,0.0319886,0,0,0,7615,0,0,0,2599,0,0,0,0,0,0,0,0
2,340461476,100,6664,0,0,6664,7328,0,26975,484600,242300,1155,0,1160,0,0,0,736,107,108,10620.8,0.0166583,0,0,0,6664,0,0,0,2315,0,0,0,0,0,0,0,0
3,340461476,100,5829,0,0,5829,6669,0,34903,401200,200600,992,0,924,0,0,0,636,109,90,11260.6,0.0219167,0,0,0,5829,0,0,0,1916,0,0,0,0,0,0,0,0
4,340461476,100,5105,0,0,5105,6022,0,42542,368400,184200,859,0,886,0,0,0,541,93,90,11880.7,0.0280673,0,0,0,5105,0,0,0,1745,0,0,0,0,0,0,0,0
5,340461476,100,4434,0,0,4434,5482,0,50549,326400,163200,775,0,783,0,0,0,510,82,79,11835.1,0.0322494,0,0,0,4434,0,0,0,1558,0,0,0,0,0,0,0,0
6,340461476,100,3917,0,0,3917,4969,0,57572,266800,133400,653,0,610,0,0,0,413,59,45,12486.7,0.0362596,0,0,0,3917,0,0,0,1263,0,0,0,0,0,0,0,0
7,340461476,100,3422,0,0,3422,4545,0,64607,243800,121900,589,0,574,0,0,0,379,60,56,12849.8,0.0468018,0,0,0,3422,0,0,0,1163,0,0,0,0,0,0,0,0
8,340461476,100,2972,0,0,2972,4160,0,71136,216000,108000,516,0,510,0,0,0,347,53,50,13452.2,0.0527062,0,0,0,2972,0,0,0,1026,0,0,0,0,0,0,0,0
9,340461476,100,2584,0,0,2584,3757,0,77861,183800,91900,477,0,395,0,0,0,306,49,33,13601.7,0.0622789,0,0,0,2584,0,0,0,872,0,0,0,0,0,0,0,0
10,340461476,100,2261,0,0,2261,3411,0,84125,158600,79300,399,0,369,0,0,0,245,40,38,13964.5,0.0740029,0,0,0,2261,0,0,0,768,0,0,0,0,0,0,0,0
11,340461476,100,1969,0,0,1969,3081,0,90162,145400,72700,340,0,352,0,0,0,216,41,35,14315.5,0.0880486,0,0,0,1969,0,0,0,692,0,0,0,0,0,0,0,0
12,340461476,100,1725,0,0,1725,2804,0,95831,123400,61700,301,0,276,0,0,0,181,26,37,14804.3,0.098456,0,0,0,1725,0,0,0,577,0,0,0,0,0,0,0,0
13,340461476,100,1515,0,0,1515,2525,0,101602,103800,51900,231,0,257,0,0,0,162,26,22,14969.2,0.11997,0,0,0,1515,0,0,0,488,0,0,0,0,0,0,0,0
14,340461476,100,1327,0,0,1327,2270,0,106889,100200,50100,223,0,256,0,0,0,136,25,27,15404.3,0.144212,0,0,0,1327,0,0,0,479,0,0,0,0,0,0,0,0
