Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
4,1,0,7.04793,8,0,F,16534,10206,23.0243,20.5371,1,BROKEUP
42,1,4,7.83151,8,0,F,3230,11990,30.8943,18.2214,2,BROKEUP
89,1,7,16.2513,17,0,F,8115,539,30.345,22.2192,4,BROKEUP
29,1,3,17.6129,18,0,F,1127,10821,22.4336,22.7724,4,BROKEUP
260,1,18,22.4885,23,0,F,12644,17274,23.9969,23.3992,2,BROKEUP
9,1,1,25.6244,26,0,F,714,2466,17.9033,19.0777,6,BROKEUP
185,1,14,26.9679,27,0,F,871,3282,20.0495,16.2416,5,BROKEUP
19,1,2,30.3398,31,0,F,377,12025,52.0795,41.8505,14,BROKEUP
36,1,3,30.3273,31,1,F,6733,838,36.8305,29.5626,9,BROKEUP
379,1,27,31.1221,32,0,F,6383,14816,36.7041,23.5715,2,BROKEUP
114,1,9,35.2613,36,0,F,2204,10578,14.4806,18.3744,9,BROKEUP
316,1,22,37.7081,38,0,F,9106,5898,24.4585,17.458,4,BROKEUP
100,1,8,38.742,39,0,F,5955,2751,31.4337,24.2259,5,BROKEUP
430,1,31,38.5809,39,0,F,5608,1393,32.9296,37.8703,6,BROKEUP
532,1,39,41.6799,42,0,F,1707,4572,19.2749,23.4848,3,BROKEUP
557,1,41,41.6057,42,0,F,3650,12439,38.0931,38.0338,1,BROKEUP
134,1,10,44.0804,45,0,F,11681,7986,27.8938,24.4529,11,BROKEUP
242,1,17,44.8003,45,0,F,3948,13089,14.3266,19.8661,13,BROKEUP
226,1,16,45.3644,46,0,F,9060,12270,23.5644,26.718,13,BROKEUP
289,1,20,45.797,46,0,F,7446,13499,23.5898,17.0334,10,BROKEUP
99,1,8,46.9001,47,0,F,3994,14010,18.7212,14.728,16,BROKEUP
290,1,20,51.8975,52,0,F,9030,12053,42.4354,25.9955,11,BROKEUP
88,1,7,53.1802,54,0,F,1486,6377,25.1043,22.5397,17,BROKEUP
161,1,12,54.0121,55,0,F,3260,16294,17.5286,17.1126,17,BROKEUP
415,1,30,58.1166,59,0,F,7527,16806,28.0471,21.3518,13,BROKEUP
51,1,4,59.6735,60,0,F,16610,10552,16.9546,16.4626,20,BROKEUP
550,1,40,59.9852,60,0,F,16917,17181,21.7245,28.1521,12,BROKEUP
521,1,38,60.518,61,0,F,5191,745,33.2531,30.6519,9,BROKEUP
75,1,6,61.7143,62,0,F,7612,8577,29.6117,23.9963,18,BROKEUP
253,1,18,65.7285,66,0,F,1199,15325,29.1859,21.1468,12,BROKEUP
681,1,51,68.7554,69,0,F,2976,7350,17.6771,20.9266,2,BROKEUP
402,1,29,72.2282,73,0,F,15827,2816,20.3435,18.3701,10,BROKEUP
444,1,32,73.0074,74,0,F,8762,2147,30.5712,19.8746,13,BROKEUP
623,1,47,73.0213,74,0,F,16894,1600,22.2107,15.9388,9,BROKEUP
395,1,29,75.6947,76,0,F,7113,6281,26.3069,23.9354,17,BROKEUP
529,1,38,75.6832,76,1,F,811,16686,48.3422,47.3542,12,BROKEUP
930,1,74,78.0588,79,0,F,5919,16293,33.6453,25.5728,3,BROKEUP
117,1,9,80.7678,81,0,F,10076,6572,26.1443,25.111,29,BROKEUP
453,1,33,81.4024,82,0,F,3579,9624,36.2828,31.0151,16,BROKEUP
381,1,27,82.9894,83,0,F,10229,1406,22.7536,25.0547,17,BROKEUP
667,1,50,82.1037,83,0,F,4606,13323,26.2213,18.6991,17,BROKEUP
736,1,56,82.0898,83,0,F,15809,16989,18.4251,24.5867,10,BROKEUP
140,1,11,86.9784,87,0,F,11868,5213,23.6116,21.087,26,BROKEUP
327,1,23,86.9482,87,0,F,12664,998,32.5573,29.5593,21,BROKEUP
744,1,57,86.1351,87,0,F,11123,1661,18.7593,15.8426,7,BROKEUP
1078,1,85,87.5723,88,1,F,276,6389,24.4915,19.7444,2,BROKEUP
446,1,32,88.8298,89,0,F,13375,15496,56.6693,57.5087,21,BROKEUP
576,1,43,88.3323,89,0,F,5106,530,22.1022,16.0817,17,BROKEUP
629,1,47,88.9364,89,1,F,8907,11990,28.1144,18.4433,20,BROKEUP
817,1,63,88.176,89,0,F,11204,7101,32.226,27.4802,10,BROKEUP
305,1,21,90.9117,91,0,F,15028,3095,18.7386,21.6989,23,BROKEUP
790,1,61,90.5076,91,0,F,2567,14616,32.7714,28.1014,11,BROKEUP
888,1,69,90.9082,91,1,F,10016,14520,46.2117,38.199,6,BROKEUP
425,1,31,91.4658,92,0,F,2410,13008,20.3526,18.8219,21,BROKEUP
336,1,24,93.0827,94,0,F,2620,13502,21.4847,15.8928,22,BROKEUP
103,1,8,94.432,95,0,F,16043,7888,26.4148,25.9093,37,BROKEUP
796,1,61,95.3733,96,0,F,16540,7145,23.5909,22.4791,18,BROKEUP
750,1,57,96.2576,97,1,F,9359,14745,29.1877,20.952,7,BROKEUP
709,1,54,97.0834,98,0,F,5992,4457,33.2523,21.9404,12,BROKEUP
