SIM_TIME,YEAR,NODE_ID,REL_ID,REL_TYPE (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_IP,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMSIZED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_IP,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMSIZED,DEST_STI,DEST_SUPERSPREADER
1,1960.5,1,7,1,0,3165,1,1,6939.04,"",1,1,1,0,0,0,0,6938.04,5029,1,0,10318.6,"",1,1,1,0,0,0,0
1,1960.5,1,15,1,0,14713,1,1,6953.39,"",1,1,1,0,0,0,0,6953.39,8426,1,0,11675.6,"",1,1,1,0,0,0,0
1,1960.5,1,12,0,0,7849,1,1,7209.77,"",1,1,1,0,0,0,0,7208.77,11209,1,0,10262.3,"",1,1,1,0,0,0,0
1,1960.5,1,13,0,0,12235,1,1,5983.16,"",1,1,1,0,0,0,0,5983.16,11687,1,0,5284.25,"",1,1,1,0,0,0,0
2,1960.51,1,20,0,0,7722,1,1,6237.97,"",1,1,1,0,0,0,0,6236.97,1369,1,0,6512.37,"",1,1,1,0,0,0,0
3,1960.51,1,34,1,0,12459,1,1,5901.91,"",1,1,1,0,0,0,0,5899.91,2172,1,0,8241.72,"",1,1,1,0,0,0,0
3,1960.51,1,30,0,0,12845,1,1,6233.84,"",1,1,1,0,0,0,0,6231.84,2579,1,0,10597.6,"",1,1,1,0,0,0,0
4,1960.51,1,42,0,0,11990,1,1,6646.81,"",1,1,1,0,0,0,0,6643.81,3230,1,0,11273.4,"",1,1,1,0,0,0,0
4,1960.51,1,43,0,0,15937,1,1,5765.84,"",1,1,1,0,0,0,0,5762.84,8660,1,0,11388.7,"",1,1,1,0,0,0,0
4,1960.51,1,44,0,0,2861,1,1,5592.82,"",1,1,1,0,0,0,0,5588.82,10249,1,0,8593.61,"",1,1,1,0,0,0,0
4,1960.51,1,57,1,0,9461,1,1,7211.64,"",1,1,1,0,0,0,0,7207.64,14477,1,0,12257.9,"",1,1,1,0,0,0,0
