
time,Node_ID,Before/After,RelationshipType,# of Males,# of Females,Male_Bin_Index_1,Male_Bin_Index_2,Male_Bin_Index_3,Male_Bin_Index_4,Male_Bin_Index_5,Male_Bin_Index_6,Male_Bin_Index_7,Male_Bin_Index_8,Male_Bin_Index_9,Male_Bin_Index_10,Male_Bin_Index_11,Male_Bin_Index_12,Male_Bin_Index_13,Male_Bin_Index_14,Male_Bin_Index_15,Male_Bin_Index_16,Male_Bin_Index_17,Male_Bin_Index_18,Male_Bin_Index_19,Male_Bin_Index_20,Female_Bin_Index_1,Female_Bin_Index_2,Female_Bin_Index_3,Female_Bin_Index_4,Female_Bin_Index_5,Female_Bin_Index_6,Female_Bin_Index_7,Female_Bin_Index_8,Female_Bin_Index_9,Female_Bin_Index_10,Female_Bin_Index_11,Female_Bin_Index_12,Female_Bin_Index_13,Female_Bin_Index_14,Female_Bin_Index_15,Female_Bin_Index_16,Female_Bin_Index_17,Female_Bin_Index_18,Female_Bin_Index_19,Female_Bin_Index_20
0,1,BEFORE,TRANSITORY,5,9,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
0,1,AFTER,TRANSITORY,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1,BEFORE,INFORMAL,5,5,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,AFTER,INFORMAL,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,BEFORE,MARITAL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,AFTER,MARITAL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
0,1,AFTER,COMMERCIAL,0,0,0,0,0,0
1,1,BEFORE,TRANSITORY,6,16,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,3,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1,1,AFTER,TRANSITORY,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1,1,BEFORE,INFORMAL,5,10,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,AFTER,INFORMAL,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,BEFORE,MARITAL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,AFTER,MARITAL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
1,1,AFTER,COMMERCIAL,0,0,0,0,0,0
2,1,BEFORE,TRANSITORY,7,16,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,2,2,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
2,1,AFTER,TRANSITORY,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2,1,BEFORE,INFORMAL,3,12,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0
2,1,AFTER,INFORMAL,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0
2,1,BEFORE,MARITAL,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,AFTER,MARITAL,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
2,1,AFTER,COMMERCIAL,0,0,0,0,0,0
3,1,BEFORE,TRANSITORY,4,14,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,2,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
3,1,AFTER,TRANSITORY,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3,1,BEFORE,INFORMAL,9,19,0,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,3,1,2,1,1,2,2,0,1,2,1,0,0,0,1,0,0,0
3,1,AFTER,INFORMAL,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0
3,1,BEFORE,MARITAL,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,1,AFTER,MARITAL,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
3,1,AFTER,COMMERCIAL,0,0,0,0,0,0
4,1,BEFORE,TRANSITORY,10,15,1,0,1,1,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,6,1,2,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0
4,1,AFTER,TRANSITORY,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,BEFORE,INFORMAL,6,16,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,2,0,3,2,1,1,1,1,0,0,0,0,0,0,0
4,1,AFTER,INFORMAL,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,1,0,0,1,0,0,0,0,0,0,0
4,1,BEFORE,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,1,AFTER,MARITAL,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
4,1,AFTER,COMMERCIAL,0,0,0,0,0,0
5,1,BEFORE,TRANSITORY,7,19,2,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,3,0,2,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0
5,1,AFTER,TRANSITORY,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0
5,1,BEFORE,INFORMAL,7,19,0,0,0,0,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,5,0,3,3,1,0,0,1,0,0,0,0,0,0,0
