Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,29,206.882,0,F,1,1,1738,0,0,21.9165,0,1,1,0,0,0,1,1,0,0,0,0,10959,0,1,16.6325,0,1,1,0,0,0,1,1,0,0,0,0
2,29,31.6836,0,F,1,1,2382,0,0,21.8391,0,1,1,0,0,0,1,1,0,0,0,0,9459,0,1,15.4113,0,1,1,0,0,0,1,1,0,0,0,0
3,29,328.169,0,F,1,1,5800,0,0,24.646,0,1,1,0,0,0,1,1,0,0,0,0,8009,0,1,19.5902,0,1,1,0,0,0,1,1,0,0,0,0
4,29,78.6202,0,F,1,1,10286,0,0,18.1251,0,1,1,0,0,0,1,1,0,0,0,0,9803,1,1,16.2862,0,1,1,0,0,0,1,1,0,0,0,0
5,29,515.582,0,F,1,1,11050,0,0,22.6191,0,1,1,0,0,0,1,1,0,0,0,0,8954,0,1,22.5471,0,1,1,0,0,0,1,1,0,0,0,0
6,29,305.542,0,F,1,1,13388,0,0,23.4185,0,1,1,0,0,0,1,1,0,0,0,0,5620,0,1,14.9398,0,1,1,0,0,0,1,1,0,0,0,0
7,29,821.132,0,F,1,1,15275,0,0,25.5755,0,1,1,0,0,0,1,1,0,0,0,0,9643,0,1,21.4575,0,1,1,0,0,0,1,1,0,0,0,0
8,29,202.908,0,F,1,1,16615,0,0,18.9887,0,1,1,0,0,0,1,1,0,0,0,0,258,0,1,17.7886,0,1,1,0,0,0,1,1,0,0,0,0
9,29,131.701,0,F,1,1,17358,0,0,38.7447,0,1,1,0,0,0,1,1,0,0,0,0,10954,0,1,27.0269,0,1,1,0,0,0,1,1,0,0,0,0
10,29,259.722,0,F,1,1,6110,0,0,20.1964,0,1,1,0,0,0,1,1,0,0,0,0,10230,0,1,27.3213,0,1,1,0,0,0,1,1,0,0,0,0
11,29,433.115,0,F,1,1,6375,0,0,54.284,0,1,1,0,0,0,1,1,0,0,0,0,3741,0,1,46.7247,0,1,1,0,0,0,1,1,0,0,0,0
12,29,511.953,0,F,1,1,7014,0,0,37.4667,0,1,1,0,0,0,1,1,0,0,0,0,15468,1,1,36.6616,0,1,1,0,0,0,1,1,0,0,0,0
13,29,67.1355,0,F,1,1,8747,0,0,23.7121,0,1,1,0,0,0,1,1,0,0,0,0,11257,0,1,24.7608,0,1,1,0,0,0,1,1,0,0,0,0
14,29,208.869,0,F,1,1,13590,0,0,23.1289,0,1,1,0,0,0,1,1,0,0,0,0,8977,0,1,15.146,0,1,1,0,0,0,1,1,0,0,0,0
15,29,345.188,0,F,1,1,13999,1,0,30.0912,0,1,1,0,0,0,1,1,0,0,0,0,12545,0,1,23.4904,0,1,1,0,0,0,1,1,0,0,0,0
16,29,559.038,0,F,1,1,14895,0,0,24.5334,0,1,1,0,0,0,1,1,0,0,0,0,1137,0,1,15.3702,0,1,1,0,0,0,1,1,0,0,0,0
