Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,29,51.938,0,F,1,1,1738,0,0,21.9165,0,1,1,0,0,0,1,1,0,0,0,0,16920,0,1,17.9306,0,1,1,0,0,0,1,1,0,0,0,0
2,29,644.792,0,F,1,1,2382,0,0,21.8391,0,1,1,0,0,0,1,1,0,0,0,0,5016,0,1,19.7149,0,1,1,0,0,0,1,1,0,0,0,0
3,29,43.8126,0,F,1,1,5800,0,0,24.646,0,1,1,0,0,0,1,1,0,0,0,0,8454,0,1,14.8157,0,1,1,0,0,0,1,1,0,0,0,0
4,29,167.685,0,F,1,1,10286,1,0,18.1251,0,1,1,0,0,0,1,1,0,0,0,0,7779,1,1,17.6899,0,1,1,0,0,0,1,1,0,0,0,0
5,29,195.849,0,F,1,1,11050,0,0,22.6191,0,1,1,0,0,0,1,1,0,0,0,0,5523,0,1,26.6763,0,1,1,0,0,0,1,1,0,0,0,0
6,29,600.444,0,F,1,1,13388,0,0,23.4185,0,1,1,0,0,0,1,1,0,0,0,0,7591,0,1,23.4739,0,1,1,0,0,0,1,1,0,0,0,0
7,29,818.468,0,F,1,1,15275,0,0,25.5755,0,1,1,0,0,0,1,1,0,0,0,0,15044,0,1,21.5097,0,1,1,0,0,0,1,1,0,0,0,0
8,29,318.864,0,F,1,1,16615,0,0,18.9887,0,1,1,0,0,0,1,1,0,0,0,0,16084,0,1,20.8994,0,1,1,0,0,0,1,1,0,0,0,0
9,29,242.451,0,F,1,1,17358,0,0,38.7447,0,1,1,0,0,0,1,1,0,0,0,0,5227,0,1,27.4832,0,1,1,0,0,0,1,1,0,0,0,0
10,29,468.873,0,F,1,1,8510,0,0,30.8845,0,1,1,0,0,0,1,1,0,0,0,0,13779,0,1,31.8436,0,1,1,0,0,0,1,1,0,0,0,0
11,29,323.504,0,F,1,1,10712,0,0,44.3723,0,1,1,0,0,0,1,1,0,0,0,0,11649,0,1,24.7888,0,1,1,0,0,0,1,1,0,0,0,0
12,29,282.716,0,F,1,1,12198,0,0,19.5341,0,1,1,0,0,0,1,1,0,0,0,0,1292,0,1,17.663,0,1,1,0,0,0,1,1,0,0,0,0
13,29,395.328,0,F,1,1,17204,0,0,33.8694,0,1,1,0,0,0,1,1,0,0,0,0,15717,0,1,26.9859,0,1,1,0,0,0,1,1,0,0,0,0
14,29,188.749,0,F,1,1,1728,0,0,39.4331,0,1,1,0,0,0,1,1,0,0,0,0,1019,0,1,39.5066,0,1,1,0,0,0,1,1,0,0,0,0
15,29,205.305,0,F,1,1,1984,0,0,36.0808,0,1,1,0,0,0,1,1,0,0,0,0,8321,0,1,37.571,0,1,1,0,0,0,1,1,0,0,0,0
16,29,60.5226,0,F,1,1,5927,0,0,26.3606,0,1,1,0,0,0,1,1,0,0,0,0,2496,0,1,19.7419,0,1,1,0,0,0,1,1,0,0,0,0
17,29,941.569,0,F,1,1,9988,0,0,22.8245,0,1,1,0,0,0,1,1,0,0,0,0,5063,1,1,15.6943,0,1,1,0,0,0,1,1,0,0,0,0
18,29,555.485,0,F,1,1,10850,0,0,22.1731,0,1,1,0,0,0,1,1,0,0,0,0,424,0,1,16.066,0,1,1,0,0,0,1,1,0,0,0,0
19,29,210.533,0,F,1,1,10865,0,0,33.0712,0,1,1,0,0,0,1,1,0,0,0,0,15381,0,1,20.2825,0,1,1,0,0,0,1,1,0,0,0,0
20,29,877.604,0,F,1,1,16008,0,0,21.3088,0,1,1,0,0,0,1,1,0,0,0,0,3494,0,1,25.1375,0,1,1,0,0,0,1,1,0,0,0,0
21,29,380.182,0,F,1,1,1622,0,0,50.61,0,1,1,0,0,0,1,1,0,0,0,0,13521,0,1,32.0902,0,1,1,0,0,0,1,1,0,0,0,0
22,29,494.763,0,F,1,1,3127,0,0,23.2155,0,1,1,0,0,0,1,1,0,0,0,0,13400,0,1,19.3506,0,1,1,0,0,0,1,1,0,0,0,0
23,29,77.2417,0,F,1,1,5648,0,0,34.3821,0,1,1,0,0,0,1,1,0,0,0,0,5633,0,1,28.4327,0,1,1,0,0,0,1,1,0,0,0,0
24,29,539.108,0,F,1,1,6493,0,0,42.7776,0,1,1,0,0,0,1,1,0,0,0,0,12286,0,1,33.9138,0,1,1,0,0,0,1,1,0,0,0,0
25,29,442.032,0,F,1,1,8727,0,0,22.8295,0,1,1,0,0,0,1,1,0,0,0,0,5155,0,1,15.7725,0,1,1,0,0,0,1,1,0,0,0,0
26,29,742.764,0,F,1,1,8856,0,0,22.8999,0,1,1,0,0,0,1,1,0,0,0,0,15101,0,1,17.3107,0,1,1,0,0,0,1,1,0,0,0,0
27,29,111.797,0,F,1,1,11804,0,0,42.7408,0,1,1,0,0,0,1,1,0,0,0,0,7852,0,1,29.4984,0,1,1,0,0,0,1,1,0,0,0,0
28,29,230.306,0,F,1,1,12368,0,0,22.7532,0,1,1,0,0,0,1,1,0,0,0,0,11366,0,1,26.7837,0,1,1,0,0,0,1,1,0,0,0,0
29,29,363.675,0,F,1,1,16657,0,0,17.1628,0,1,1,0,0,0,1,1,0,0,0,0,777,0,1,22.0139,0,1,1,0,0,0,1,1,0,0,0,0
30,29,425.028,0,F,1,1,16863,0,0,27.1814,0,1,1,0,0,0,1,1,0,0,0,0,9082,0,1,29.7771,0,1,1,0,0,0,1,1,0,0,0,0
