Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,29,220.069,0,F,1,1,1738,0,0,21.9165,0,1,1,0,0,0,1,1,0,0,0,0,15606,0,1,20.7232,0,1,1,0,0,0,1,1,0,0,0,0
2,29,437.227,0,F,1,1,2018,0,0,37.47,0,1,1,0,0,0,1,1,0,0,0,0,17102,1,1,30.3156,0,1,1,0,0,0,1,1,0,0,0,0
3,29,535.441,0,F,1,1,2033,0,0,17.7377,0,1,1,0,0,0,1,1,0,0,0,0,3724,0,1,16.7199,0,1,1,0,0,0,1,1,0,0,0,0
4,29,980.27,0,F,1,1,2843,0,0,43.3693,0,1,1,0,0,0,1,1,0,0,0,0,5643,0,1,49.7751,0,1,1,0,0,0,1,1,0,0,0,0
5,29,49.3987,0,F,1,1,6469,0,0,26.0707,0,1,1,0,0,0,1,1,0,0,0,0,7157,0,1,18.3076,0,1,1,0,0,0,1,1,0,0,0,0
6,29,45.4342,0,F,1,1,7791,1,0,19.9568,0,1,1,0,0,0,1,1,0,0,0,0,12414,0,1,17.6997,0,1,1,0,0,0,1,1,0,0,0,0
7,29,32.5141,0,F,1,1,8208,0,0,27.9389,0,1,1,0,0,0,1,1,0,0,0,0,5118,0,1,29.3583,0,1,1,0,0,0,1,1,0,0,0,0
8,29,112.29,0,F,1,1,9333,0,0,21.8502,0,1,1,0,0,0,1,1,0,0,0,0,6201,1,1,18.5626,0,1,1,0,0,0,1,1,0,0,0,0
9,29,346.577,0,F,1,1,11038,1,0,31.9619,0,1,1,0,0,0,1,1,0,0,0,0,5570,1,1,21.1528,0,1,1,0,0,0,1,1,0,0,0,0
10,29,762.462,0,F,1,1,12332,0,0,17.7003,0,1,1,0,0,0,1,1,0,0,0,0,11939,0,1,19.5695,0,1,1,0,0,0,1,1,0,0,0,0
11,29,247.037,0,F,1,1,13362,0,0,20.0181,0,1,1,0,0,0,1,1,0,0,0,0,1524,0,1,21.3225,0,1,1,0,0,0,1,1,0,0,0,0
12,29,263.114,0,F,1,1,10951,0,0,21.98,0,1,1,0,0,0,1,1,0,0,0,0,11971,0,1,21.0664,0,1,1,0,0,0,1,1,0,0,0,0
13,29,67.7277,0,F,1,1,14555,0,0,24.5322,0,1,1,0,0,0,1,1,0,0,0,0,9837,0,1,16.9301,0,1,1,0,0,0,1,1,0,0,0,0
14,29,238.057,0,F,1,1,15099,0,0,22.9825,0,1,1,0,0,0,1,1,0,0,0,0,6107,0,1,20.5321,0,1,1,0,0,0,1,1,0,0,0,0
15,29,257.979,0,F,1,1,15878,0,0,32.0697,0,1,1,0,0,0,1,1,0,0,0,0,2250,0,1,21.6674,0,1,1,0,0,0,1,1,0,0,0,0
16,29,321.538,0,F,1,1,2435,0,0,22.634,0,1,1,0,0,0,1,1,0,0,0,0,13076,0,1,16.2107,0,1,1,0,0,0,1,1,0,0,0,0
17,29,77.6905,0,F,1,1,15116,0,0,47.249,0,1,1,0,0,0,1,1,0,0,0,0,5276,0,1,33.9637,0,1,1,0,0,0,1,1,0,0,0,0
18,29,112.543,0,F,1,1,15571,0,0,34.5438,0,1,1,0,0,0,1,1,0,0,0,0,17069,1,1,30.836,0,1,1,0,0,0,1,1,0,0,0,0
19,29,495.902,0,F,1,1,1955,0,0,27.6072,0,1,1,0,0,0,1,1,0,0,0,0,15385,1,1,27.3005,0,1,1,0,0,0,1,1,0,0,0,0
20,29,591.317,0,F,1,1,2626,0,0,42.0241,0,1,1,0,0,0,1,1,0,0,0,0,831,0,1,30.5005,0,1,1,0,0,0,1,1,0,0,0,0
21,29,120.878,0,F,1,1,3300,0,0,31.8254,0,1,1,0,0,0,1,1,0,0,0,0,16432,0,1,35.4515,0,1,1,0,0,0,1,1,0,0,0,0
22,29,131.124,0,F,1,1,5139,0,0,26.1427,0,1,1,0,0,0,1,1,0,0,0,0,2695,0,1,23.7854,0,1,1,0,0,0,1,1,0,0,0,0
23,29,37.5531,0,F,1,1,5176,1,0,19.9076,0,1,1,0,0,0,1,1,0,0,0,0,17245,0,1,25.5649,0,1,1,0,0,0,1,1,0,0,0,0
24,29,333.899,0,F,1,1,5803,0,0,25.8365,0,1,1,0,0,0,1,1,0,0,0,0,11449,0,1,20.9711,0,1,1,0,0,0,1,1,0,0,0,0
25,29,594.36,0,F,1,1,6689,0,0,16.0243,0,1,1,0,0,0,1,1,0,0,0,0,11731,0,1,16.5178,0,1,1,0,0,0,1,1,0,0,0,0
26,29,306.487,0,F,1,1,7423,0,0,48.436,0,1,1,0,0,0,1,1,0,0,0,0,6809,0,1,35.9852,0,1,1,0,0,0,1,1,0,0,0,0
27,29,163.056,0,F,1,1,8140,0,0,38.7936,0,1,1,0,0,0,1,1,0,0,0,0,1344,0,1,37.8416,0,1,1,0,0,0,1,1,0,0,0,0
28,29,1033.93,0,F,1,1,8152,0,0,18.7617,0,1,1,0,0,0,1,1,0,0,0,0,7119,0,1,18.1659,0,1,1,0,0,0,1,1,0,0,0,0
29,29,302.122,0,F,1,1,12516,0,0,42.9458,0,1,1,0,0,0,1,1,0,0,0,0,9792,0,1,37.7744,0,1,1,0,0,0,1,1,0,0,0,0
30,29,53.6054,0,F,1,1,15857,0,0,35.1763,0,1,1,0,0,0,1,1,0,0,0,0,7944,0,1,28.2489,0,1,1,0,0,0,1,1,0,0,0,0
31,29,97.2251,0,F,1,1,13,0,0,16.7098,0,1,1,0,0,0,1,1,0,0,0,0,5155,0,1,15.7725,0,1,1,0,0,0,1,1,0,0,0,0
32,29,764.253,0,F,1,1,2679,0,0,16.6741,0,1,1,0,0,0,1,1,0,0,0,0,3086,0,1,19.954,0,1,1,0,0,0,1,1,0,0,0,0
33,29,419.15,0,F,1,1,6774,0,0,16.6692,0,1,1,0,0,0,1,1,0,0,0,0,9710,0,1,17.7268,0,1,1,0,0,0,1,1,0,0,0,0
34,29,169.064,0,F,1,1,12433,0,0,17.2285,0,1,1,0,0,0,1,1,0,0,0,0,10549,0,1,17.4881,0,1,1,0,0,0,1,1,0,0,0,0
35,29,162.227,0,F,1,1,14260,0,0,44.4548,0,1,1,0,0,0,1,1,0,0,0,0,3463,0,1,25.0964,0,1,1,0,0,0,1,1,0,0,0,0
36,29,213.891,0,F,1,1,1030,0,0,22.4373,0,1,1,0,0,0,1,1,0,0,0,0,7699,0,1,18.2152,0,1,1,0,0,0,1,1,0,0,0,0
37,29,95.8944,0,F,1,1,2031,0,0,32.2417,0,1,1,0,0,0,1,1,0,0,0,0,4295,0,1,17.5607,0,1,1,0,0,0,1,1,0,0,0,0
38,29,367.531,0,F,1,1,4300,1,0,18.4488,0,1,1,0,0,0,1,1,0,0,0,0,697,1,1,15.2868,0,1,1,0,0,0,1,1,0,0,0,0
39,29,379.374,0,F,1,1,8414,0,0,20.6141,0,1,1,0,0,0,1,1,0,0,0,0,13632,0,1,15.0224,0,1,1,0,0,0,1,1,0,0,0,0
40,29,250.965,0,F,1,1,10531,0,0,20.0747,0,1,1,0,0,0,1,1,0,0,0,0,6719,0,1,20.2776,0,1,1,0,0,0,1,1,0,0,0,0
41,29,337.803,0,F,1,1,13166,0,0,17.8037,0,1,1,0,0,0,1,1,0,0,0,0,8621,0,1,15.6861,0,1,1,0,0,0,1,1,0,0,0,0
42,29,237.845,0,F,1,1,806,0,0,17.6069,0,1,1,0,0,0,1,1,0,0,0,0,11436,0,1,17.1407,0,1,1,0,0,0,1,1,0,0,0,0
43,29,128.86,0,F,1,1,4570,0,0,28.9945,0,1,1,0,0,0,1,1,0,0,0,0,3921,0,1,24.6195,0,1,1,0,0,0,1,1,0,0,0,0
44,29,617.945,0,F,1,1,4846,0,0,50.1796,0,1,1,0,0,0,1,1,0,0,0,0,9225,0,1,47.1941,0,1,1,0,0,0,1,1,0,0,0,0
45,29,751.001,0,F,1,1,5535,0,0,34.4139,0,1,1,0,0,0,1,1,0,0,0,0,16806,0,1,31.4003,0,1,1,0,0,0,1,1,0,0,0,0
46,29,169.349,0,F,1,1,7226,0,0,45.4154,0,1,1,0,0,0,1,1,0,0,0,0,9019,0,1,28.7651,0,1,1,0,0,0,1,1,0,0,0,0
47,29,157.476,0,F,1,1,8542,0,0,27.3974,0,1,1,0,0,0,1,1,0,0,0,0,1555,0,1,25.4535,0,1,1,0,0,0,1,1,0,0,0,0
48,29,611.494,0,F,1,1,14795,1,0,24.731,0,1,1,0,0,0,1,1,0,0,0,0,10801,1,1,17.0018,0,1,1,0,0,0,1,1,0,0,0,0
49,29,249.801,0,F,1,1,16923,1,0,26.2251,0,1,1,0,0,0,1,1,0,0,0,0,8906,1,1,26.115,0,1,1,0,0,0,1,1,0,0,0,0
50,29,338.828,0,F,1,1,179,0,0,16.1156,0,1,1,0,0,0,1,1,0,0,0,0,8585,0,1,19.9956,0,1,1,0,0,0,1,1,0,0,0,0
