
Time,NodeID,TRANSITORY_M_Before_50,TRANSITORY_M_Before_85,TRANSITORY_M_After_50,TRANSITORY_M_After_85,TRANSITORY_F_Before_50,TRANSITORY_F_Before_85,TRANSITORY_F_After_50,TRANSITORY_F_After_85,INFORMAL_M_Before_40,INFORMAL_M_Before_65,INFORMAL_M_Before_90,INFORMAL_M_After_40,INFORMAL_M_After_65,INFORMAL_M_After_90,INFORMAL_F_Before_40,INFORMAL_F_Before_65,INFORMAL_F_Before_90,INFORMAL_F_After_40,INFORMAL_F_After_65,INFORMAL_F_After_90,MARITAL_M_Before_100,MARITAL_M_After_100,MARITAL_F_Before_100,MARITAL_F_After_100,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_50,TRANSITORY_LOW_M_85,TRANSITORY_LOW_F_50,TRANSITORY_LOW_F_85,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_M_85,TRANSITORY_HIGH_F_50,TRANSITORY_HIGH_F_85,INFORMAL_LOW_M_40,INFORMAL_LOW_M_65,INFORMAL_LOW_M_90,INFORMAL_LOW_F_40,INFORMAL_LOW_F_65,INFORMAL_LOW_F_90,INFORMAL_HIGH_M_40,INFORMAL_HIGH_M_65,INFORMAL_HIGH_M_90,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_65,INFORMAL_HIGH_F_90,MARITAL_LOW_M_100,MARITAL_LOW_F_100,MARITAL_HIGH_M_100,MARITAL_HIGH_F_100,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_M_85,desired_flow_TRANSITORY_F_50,desired_flow_TRANSITORY_F_85,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_M_65,desired_flow_INFORMAL_M_90,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_65,desired_flow_INFORMAL_F_90,desired_flow_MARITAL_M_100,desired_flow_MARITAL_F_100,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175975,0.00175975,0.00169763,0.00169763,0.00175975,0.00175975,0.00169763,0.00169763,0.000777573,0.000777573,0.000777573,0.000728734,0.000728734,0.000728734,0.000777573,0.000777573,0.000777573,0.000728734,0.000728734,0.000728734,9.29293e-05,8.97732e-05,9.29293e-05,8.97732e-05,0,0,0,0,0,0,0,0,6.78032,6.78032,6.78032,6.78032,2.35527,2.35527,2.35527,2.35527,2.35527,2.35527,0.452008,0.452008,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017572,0.0017572,0.00169459,0.00169459,0.0017572,0.0017572,0.00169459,0.00169459,0.000776739,0.000776739,0.000776739,0.000727591,0.000727591,0.000727591,0.000776739,0.000776739,0.000776739,0.000727591,0.000727591,0.000727591,9.29743e-05,8.97312e-05,9.29743e-05,8.97312e-05,0,0,0,0,0,0,0,0,6.75292,6.75292,6.75292,6.75292,2.34575,2.34575,2.34575,2.34575,2.34575,2.34575,0.450182,0.450182,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175627,0.00175627,0.00169137,0.00169137,0.00175627,0.00175627,0.00169137,0.00169137,0.000776732,0.000776732,0.000776732,0.000726737,0.000726737,0.000726737,0.000776732,0.000776732,0.000776732,0.000726737,0.000726737,0.000726737,9.30383e-05,8.96717e-05,9.30383e-05,8.96717e-05,0,0,0,0,0,0,0,0,6.72826,6.72826,6.72826,6.72826,2.33719,2.33719,2.33719,2.33719,2.33719,2.33719,0.448538,0.448538,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175334,0.00175334,0.00168923,0.00168923,0.00175334,0.00175334,0.00168923,0.00168923,0.000774698,0.000774698,0.000774698,0.00072634,0.00072634,0.00072634,0.000774698,0.000774698,0.000774698,0.00072634,0.00072634,0.00072634,9.30458e-05,8.96647e-05,9.30458e-05,8.96647e-05,0,0,0,0,0,0,0,0,6.6995,6.6995,6.6995,6.6995,2.32719,2.32719,2.32719,2.32719,2.32719,2.32719,0.44662,0.44662,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174921,0.00174921,0.00168511,0.00168511,0.00174921,0.00174921,0.00168511,0.00168511,0.000772598,0.000772598,0.000772598,0.000724734,0.000724734,0.000724734,0.000772598,0.000772598,0.000772598,0.000724734,0.000724734,0.000724734,9.30152e-05,8.96932e-05,9.30152e-05,8.96932e-05,0,0,0,0,0,0,0,0,6.66799,6.66799,6.66799,6.66799,2.31625,2.31625,2.31625,2.31625,2.31625,2.31625,0.44452,0.44452,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017479,0.0017479,0.00168192,0.00168192,0.0017479,0.0017479,0.00168192,0.00168192,0.000772276,0.000772276,0.000772276,0.00072289,0.00072289,0.00072289,0.000772276,0.000772276,0.000772276,0.00072289,0.00072289,0.00072289,9.30717e-05,8.96407e-05,9.30717e-05,8.96407e-05,0,0,0,0,0,0,0,0,6.63854,6.63854,6.63854,6.63854,2.30602,2.30602,2.30602,2.30602,2.30602,2.30602,0.442556,0.442556,0,0,0,0
6,1,50,46,1,3,43,49,0,0,20,19,19,7,7,3,16,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174868,0.00174868,0.00167857,0.00167857,0.00174868,0.00174868,0.00167857,0.00167857,0.000771894,0.000771894,0.000771894,0.000721484,0.000721484,0.000721484,0.000771894,0.000771894,0.000771894,0.000721484,0.000721484,0.000721484,9.31567e-05,8.95621e-05,9.31567e-05,8.95621e-05,0,0,0,0,0,0,0,0,6.61525,6.61525,6.61525,6.61525,2.29793,2.29793,2.29793,2.29793,2.29793,2.29793,0.441004,0.441004,0,0,0,0
7,1,50,46,1,3,43,49,0,0,20,19,19,7,7,3,16,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174794,0.00174794,0.00167498,0.00167498,0.00174794,0.00174794,0.00167498,0.00167498,0.000771266,0.000771266,0.000771266,0.00072001,0.00072001,0.00072001,0.000771266,0.000771266,0.000771266,0.00072001,0.00072001,0.00072001,9.32258e-05,8.94983e-05,9.32258e-05,8.94983e-05,0,0,0,0,0,0,0,0,6.581,6.581,6.581,6.581,2.28603,2.28603,2.28603,2.28603,2.28603,2.28603,0.43872,0.43872,0,0,0,0
8,1,50,46,1,3,43,49,0,0,20,19,19,7,7,3,16,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174706,0.00174706,0.00167219,0.00167219,0.00174706,0.00174706,0.00167219,0.00167219,0.000771077,0.000771077,0.000771077,0.000718747,0.000718747,0.000718747,0.000771077,0.000771077,0.000771077,0.000718747,0.000718747,0.000718747,9.32733e-05,8.94545e-05,9.32733e-05,8.94545e-05,0,0,0,0,0,0,0,0,6.55497,6.55497,6.55497,6.55497,2.27699,2.27699,2.27699,2.27699,2.27699,2.27699,0.436985,0.436985,0,0,0,0
9,1,50,46,1,3,43,49,0,0,20,19,19,7,7,3,16,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174617,0.00174617,0.00166853,0.00166853,0.00174617,0.00174617,0.00166853,0.00166853,0.000770887,0.000770887,0.000770887,0.000716572,0.000716572,0.000716572,0.000770887,0.000770887,0.000770887,0.000716572,0.000716572,0.000716572,9.33613e-05,8.93738e-05,9.33613e-05,8.93738e-05,0,0,0,0,0,0,0,0,6.52894,6.52894,6.52894,6.52894,2.26795,2.26795,2.26795,2.26795,2.26795,2.26795,0.43525,0.43525,0,0,0,0
