Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,6,108.422,0,F,1,1,2015,0,0,17.5296,0,1,1,0,0,0,1,1,0,0,0,0,1736,0,1,15.2139,0,1,1,0,0,0,1,1,0,0,0,0
2,6,1302.2,0,F,1,1,2031,1,0,32.1787,0,1,1,0,0,0,1,1,0,0,0,0,1524,0,1,21.2595,0,1,1,0,0,0,1,1,0,0,0,0
3,6,705.122,0,F,1,1,2842,0,0,23.564,0,1,1,0,0,0,1,1,0,0,0,0,5786,0,1,41.7925,0,1,1,0,0,0,1,1,0,0,0,0
4,6,361.704,0,F,1,1,3327,1,0,19.4929,0,1,1,0,0,0,1,1,0,0,0,0,4299,0,1,16.387,0,1,1,0,0,0,1,1,0,0,0,0
5,6,235.54,0,F,1,1,4656,1,0,19.9887,0,1,1,0,0,0,1,1,0,0,0,0,6195,0,1,26.8187,0,1,1,0,0,0,1,1,0,0,0,0
6,6,475.853,0,F,1,1,7203,1,0,20.8793,0,1,1,0,0,0,1,1,0,0,0,0,6463,1,1,15.9709,0,1,1,0,0,0,1,1,0,0,0,0
7,6,137.823,0,F,1,1,8200,0,0,32.2169,0,1,1,0,0,0,1,1,0,0,0,0,7131,0,1,18.8393,0,1,1,0,0,0,1,1,0,0,0,0
8,6,12.1255,0,F,1,1,9057,1,0,31.0546,0,1,1,0,0,0,1,1,0,0,0,0,12322,0,1,25.4815,0,1,1,0,0,0,1,1,0,0,0,0
9,6,169.326,0,F,1,1,11017,0,0,38.0596,0,1,1,0,0,0,1,1,0,0,0,0,13344,0,1,80.1683,0,1,1,0,0,0,1,1,0,0,0,0
10,6,449.559,0,F,1,1,12515,0,0,21.1106,0,1,1,0,0,0,1,1,0,0,0,0,7779,0,1,17.6268,0,1,1,0,0,0,1,1,0,0,0,0
11,6,22.1437,0,F,1,1,13490,0,0,21.1267,0,1,1,0,0,0,1,1,0,0,0,0,9485,0,1,17.044,0,1,1,0,0,0,1,1,0,0,0,0
12,6,281.725,0,F,1,1,13668,1,0,33.0655,0,1,1,0,0,0,1,1,0,0,0,0,16577,0,1,38.037,0,1,1,0,0,0,1,1,0,0,0,0
13,6,279.459,0,F,1,1,13748,1,0,21.159,0,1,1,0,0,0,1,1,0,0,0,0,1374,0,1,43.8134,0,1,1,0,0,0,1,1,0,0,0,0
14,6,629.647,0,F,1,1,14445,0,0,19.7403,0,1,1,0,0,0,1,1,0,0,0,0,12787,0,1,14.8117,0,1,1,0,0,0,1,1,0,0,0,0
15,6,44.8897,0,F,1,1,15369,0,0,43.2521,0,1,1,0,0,0,1,1,0,0,0,0,6363,0,1,21.4162,0,1,1,0,0,0,1,1,0,0,0,0
16,6,291.804,0,F,1,1,3082,0,0,59.6598,0,1,1,0,0,0,1,1,0,0,0,0,6998,0,1,75.5047,0,1,1,0,0,0,1,1,0,0,0,0
