
Time,NodeID,TRANSITORY_M_Before_20,TRANSITORY_M_Before_30,TRANSITORY_M_Before_40,TRANSITORY_M_Before_50,TRANSITORY_M_After_20,TRANSITORY_M_After_30,TRANSITORY_M_After_40,TRANSITORY_M_After_50,TRANSITORY_F_Before_20,TRANSITORY_F_Before_40,TRANSITORY_F_After_20,TRANSITORY_F_After_40,INFORMAL_M_Before_20,INFORMAL_M_Before_40,INFORMAL_M_After_20,INFORMAL_M_After_40,INFORMAL_F_Before_20,INFORMAL_F_Before_30,INFORMAL_F_Before_40,INFORMAL_F_Before_50,INFORMAL_F_After_20,INFORMAL_F_After_30,INFORMAL_F_After_40,INFORMAL_F_After_50,MARITAL_M_Before_20,MARITAL_M_After_20,MARITAL_F_Before_10,MARITAL_F_Before_20,MARITAL_F_Before_30,MARITAL_F_Before_40,MARITAL_F_Before_50,MARITAL_F_After_10,MARITAL_F_After_20,MARITAL_F_After_30,MARITAL_F_After_40,MARITAL_F_After_50,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_20,TRANSITORY_LOW_M_30,TRANSITORY_LOW_M_40,TRANSITORY_LOW_M_50,TRANSITORY_LOW_F_20,TRANSITORY_LOW_F_40,TRANSITORY_HIGH_M_20,TRANSITORY_HIGH_M_30,TRANSITORY_HIGH_M_40,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_F_20,TRANSITORY_HIGH_F_40,INFORMAL_LOW_M_20,INFORMAL_LOW_M_40,INFORMAL_LOW_F_20,INFORMAL_LOW_F_30,INFORMAL_LOW_F_40,INFORMAL_LOW_F_50,INFORMAL_HIGH_M_20,INFORMAL_HIGH_M_40,INFORMAL_HIGH_F_20,INFORMAL_HIGH_F_30,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_50,MARITAL_LOW_M_20,MARITAL_LOW_F_10,MARITAL_LOW_F_20,MARITAL_LOW_F_30,MARITAL_LOW_F_40,MARITAL_LOW_F_50,MARITAL_HIGH_M_20,MARITAL_HIGH_F_10,MARITAL_HIGH_F_20,MARITAL_HIGH_F_30,MARITAL_HIGH_F_40,MARITAL_HIGH_F_50,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_20,desired_flow_TRANSITORY_M_30,desired_flow_TRANSITORY_M_40,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_F_20,desired_flow_TRANSITORY_F_40,desired_flow_INFORMAL_M_20,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_F_20,desired_flow_INFORMAL_F_30,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_50,desired_flow_MARITAL_M_20,desired_flow_MARITAL_F_10,desired_flow_MARITAL_F_20,desired_flow_MARITAL_F_30,desired_flow_MARITAL_F_40,desired_flow_MARITAL_F_50,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00530541,0.00530541,0.00530541,0.00530541,0.0088864,0.0088864,0.00530541,0.00530541,0.00530541,0.00530541,0.0088864,0.0088864,0.0055288,0.0055288,0.00231514,0.00231514,0.00231514,0.00231514,0.0055288,0.0055288,0.00231514,0.00231514,0.00231514,0.00231514,9.29293e-05,0,0,0,0,0,9.29293e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39016,3.39016,3.39016,3.39016,6.78032,6.78032,3.5329,3.5329,1.76645,1.76645,1.76645,1.76645,0.452008,0.135602,0.0904016,0.0452008,0.0452008,0.135602,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534988,0.00534988,0.00534988,0.00534988,0.0089662,0.0089662,0.00534988,0.00534988,0.00534988,0.00534988,0.0089662,0.0089662,0.00557514,0.00557514,0.00233593,0.00233593,0.00233593,0.00233593,0.00557514,0.00557514,0.00233593,0.00233593,0.00233593,0.00233593,9.29363e-05,0,0,0,0,0,9.29363e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37578,3.37578,3.37578,3.37578,6.75155,6.75155,3.51791,3.51791,1.75896,1.75896,1.75896,1.75896,0.45009,0.135027,0.0900181,0.045009,0.045009,0.135027,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539549,0.00539549,0.00539549,0.00539549,0.00898768,0.00898768,0.00539549,0.00539549,0.00539549,0.00539549,0.00898768,0.00898768,0.00562267,0.00562267,0.00234153,0.00234153,0.00234153,0.00234153,0.00562267,0.00562267,0.00234153,0.00234153,0.00234153,0.00234153,9.30012e-05,0,0,0,0,0,9.30012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36139,3.36139,3.36139,3.36139,6.72278,6.72278,3.50292,3.50292,1.75146,1.75146,1.75146,1.75146,0.448173,0.134452,0.0896345,0.0448173,0.0448173,0.134452,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00545949,0.00545949,0.00545949,0.00545949,0.0090942,0.0090942,0.00545949,0.00545949,0.00545949,0.00545949,0.0090942,0.0090942,0.00568936,0.00568936,0.00236928,0.00236928,0.00236928,0.00236928,0.00568936,0.00568936,0.00236928,0.00236928,0.00236928,0.00236928,9.30184e-05,0,0,0,0,0,9.30184e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34667,3.34667,3.34667,3.34667,6.69333,6.69333,3.48758,3.48758,1.74379,1.74379,1.74379,1.74379,0.446209,0.133863,0.0892418,0.0446209,0.0446209,0.133863,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00550677,0.00550677,0.00550677,0.00550677,0.00917795,0.00917795,0.00550677,0.00550677,0.00550677,0.00550677,0.00917795,0.00917795,0.00573864,0.00573864,0.0023911,0.0023911,0.0023911,0.0023911,0.00573864,0.00573864,0.0023911,0.0023911,0.0023911,0.0023911,9.29289e-05,0,0,0,0,0,9.29289e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3316,3.3316,3.3316,3.3316,6.66319,6.66319,3.47187,3.47187,1.73594,1.73594,1.73594,1.73594,0.4442,0.13326,0.08884,0.04442,0.04442,0.13326,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552926,0.00552926,0.00552926,0.00552926,0.00927988,0.00927988,0.00552926,0.00552926,0.00552926,0.00552926,0.00927988,0.00927988,0.00576207,0.00576207,0.00241765,0.00241765,0.00241765,0.00241765,0.00576207,0.00576207,0.00241765,0.00241765,0.00241765,0.00241765,9.2887e-05,0,0,0,0,0,9.2887e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31756,3.31756,3.31756,3.31756,6.63511,6.63511,3.45724,3.45724,1.72862,1.72862,1.72862,1.72862,0.442328,0.132698,0.0884656,0.0442328,0.0442328,0.132698,0,0,0,0
6,1,24,24,18,20,0,0,0,0,53,48,6,9,19,30,0,0,12,14,18,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555558,0.00555558,0.00555558,0.00555558,0.0093775,0.0093775,0.00555558,0.00555558,0.00555558,0.00555558,0.0093775,0.0093775,0.0057895,0.0057895,0.00244309,0.00244309,0.00244309,0.00244309,0.0057895,0.0057895,0.00244309,0.00244309,0.00244309,0.00244309,9.28047e-05,0,0,0,0,0,9.28047e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30557,3.30557,3.30557,3.30557,6.61114,6.61114,3.44475,3.44475,1.72238,1.72238,1.72238,1.72238,0.44073,0.132219,0.0881459,0.044073,0.044073,0.132219,0,0,0,0
7,1,24,24,18,20,0,0,0,0,53,48,6,9,19,30,0,0,12,14,18,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559492,0.00559492,0.00559492,0.00559492,0.0094264,0.0094264,0.00559492,0.00559492,0.00559492,0.00559492,0.0094264,0.0094264,0.0058305,0.0058305,0.00245583,0.00245583,0.00245583,0.00245583,0.0058305,0.0058305,0.00245583,0.00245583,0.00245583,0.00245583,9.28316e-05,0,0,0,0,0,9.28316e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28981,3.28981,3.28981,3.28981,6.57963,6.57963,3.42833,3.42833,1.71417,1.71417,1.71417,1.71417,0.438629,0.131589,0.0877258,0.0438629,0.0438629,0.131589,0,0,0,0
8,1,24,24,18,20,0,0,0,0,53,48,6,9,19,30,0,0,12,14,18,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00563934,0.00563934,0.00563934,0.00563934,0.00945587,0.00945587,0.00563934,0.00563934,0.00563934,0.00563934,0.00945587,0.00945587,0.00587679,0.00587679,0.0024635,0.0024635,0.0024635,0.0024635,0.00587679,0.00587679,0.0024635,0.0024635,0.0024635,0.0024635,9.28477e-05,0,0,0,0,0,9.28477e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27646,3.27646,3.27646,3.27646,6.55292,6.55292,3.41441,3.41441,1.70721,1.70721,1.70721,1.70721,0.436848,0.131055,0.0873697,0.0436848,0.0436848,0.131055,0,0,0,0
9,1,24,24,18,20,0,0,0,0,53,48,6,9,19,30,0,0,12,14,18,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570712,0.00570712,0.00570712,0.00570712,0.00951741,0.00951741,0.00570712,0.00570712,0.00570712,0.00570712,0.00951741,0.00951741,0.00594742,0.00594742,0.00247954,0.00247954,0.00247954,0.00247954,0.00594742,0.00594742,0.00247954,0.00247954,0.00247954,0.00247954,9.28435e-05,0,0,0,0,0,9.28435e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26447,3.26447,3.26447,3.26447,6.52894,6.52894,3.40192,3.40192,1.70096,1.70096,1.70096,1.70096,0.43525,0.130575,0.08705,0.043525,0.043525,0.130575,0,0,0,0
