Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
33,3,7,61.7106,62,0,F,165,304,36.9693,21.4803,27,BROKEUP
55,4,34,109.183,110,0,F,262,130,17.4085,17.2318,24,BROKEUP
23,3,4,141.613,142,0,F,345,221,19.8436,17.2575,9,BROKEUP
3,4,0,148.773,149,0,F,24,264,16.4444,17.7786,32,BROKEUP
6,1,0,177.992,178,0,F,311,119,27.0987,20.7108,2,BROKEUP
2,1,0,194.568,195,1,F,309,321,22.463,22.8686,9,BROKEUP
26,2,5,202.565,203,0,F,133,89,26.2936,15.4364,12,BROKEUP
41,1,15,253.929,254,0,F,157,313,33.008,33.7512,42,BROKEUP
42,1,15,267.292,268,0,F,17,274,27.0045,23.6536,26,BROKEUP
36,1,10,300.856,301,0,F,141,248,26.5799,19.2389,32,BROKEUP
22,2,4,312.845,313,0,F,237,61,29.191,26.5935,10,BROKEUP
25,1,4,312.055,313,1,F,6,26,45.3881,36.7669,52,BROKEUP
21,1,3,325.498,326,1,F,29,50,26.7123,22.2179,45,BROKEUP
60,2,71,326.992,327,0,F,286,263,46.0554,34.6753,37,BROKEUP
9,3,0,347.236,348,0,F,10,298,26.0073,17.6914,17,BROKEUP
37,3,10,356.246,357,2,F,229,269,47.0524,43.2242,62,BROKEUP
19,2,3,357.017,358,0,F,275,111,20.5964,19.9486,33,BROKEUP
12,4,1,364.265,365,1,F,219,71,30.9927,28.4961,8,BROKEUP
86,2,347,370.098,371,0,F,17,274,27.2867,23.9358,1,BROKEUP
11,3,1,386.449,387,0,F,104,44,31.9301,23.9194,35,BROKEUP
67,1,110,398.227,399,1,F,262,315,18.2003,20.0367,5,BROKEUP
75,2,213,400.757,401,0,F,309,130,23.0274,18.029,14,BROKEUP
10,2,0,413.694,414,0,F,138,306,20.1437,19.528,20,BROKEUP
90,3,361,440.944,441,0,F,10,248,26.2621,19.6225,14,BROKEUP
27,1,5,442.939,443,0,F,169,285,25.7136,20.3953,13,BROKEUP
17,2,2,448.923,449,0,F,175,27,17.0598,17.7933,27,BROKEUP
43,1,15,458.229,459,1,F,316,97,25.7461,21.0131,55,BROKEUP
38,2,11,476.25,477,0,F,272,168,27.4796,23.6436,12,BROKEUP
20,4,3,478.419,479,0,F,195,31,21.4485,23.6997,68,BROKEUP
44,3,15,480.681,481,0,F,270,122,30.7067,33.2902,47,BROKEUP
63,1,75,495.412,496,0,F,39,304,17.9461,22.6694,92,BROKEUP
29,1,5,501.531,502,1,F,139,151,39.5354,31.3724,66,BROKEUP
68,3,115,502.054,503,0,F,3,32,35.4266,27.6262,41,BROKEUP
