Time, Year, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
1278,1964,200,30.047,F,3,2,local,STIPreEmigrating,0,57,129,0,0,MARITAL,PAUSED,307,0,3
1278,1964,200,30.047,F,2,0,N/A,STIPostImmigrating,0,57,129,0,0,MARITAL,NORMAL,307,2,2
1282,1964.01,337,51.6006,M,4,2,local,STIPreEmigrating,0,54,147,0,0,MARITAL,PAUSED,194,4,0
1282,1964.01,60,34.028,F,3,2,local,STIPreEmigrating,0,48,128,0,0,MARITAL,PAUSED,68,0,3
1282,1964.01,103,48.5789,M,2,4,local,STIPreEmigrating,0,13,81,0,0,MARITAL,PAUSED,291,2,0
1282,1964.01,311,30.1261,M,1,2,local,STIPreEmigrating,0,166,27,0,0,INFORMAL,PAUSED,306,1,0
1282,1964.01,311,30.1261,M,2,0,N/A,STIPostImmigrating,0,166,27,0,0,INFORMAL,PAUSED,306,2,0
1282,1964.01,103,48.5789,M,4,0,N/A,STIPostImmigrating,0,13,81,0,0,MARITAL,PAUSED,291,4,0
1282,1964.01,60,34.028,F,2,0,N/A,STIPostImmigrating,0,48,128,0,0,MARITAL,PAUSED,68,0,2
1282,1964.01,337,51.6006,M,2,0,N/A,STIPostImmigrating,0,54,147,0,0,MARITAL,NORMAL,194,2,2
1284,1964.02,236,39.1835,M,3,2,local,STIPreEmigrating,0,40,102,0,0,MARITAL,PAUSED,244,3,0
1284,1964.02,200,30.0635,F,2,3,local,STIPreEmigrating,0,57,132,0,0,MARITAL,NORMAL,307,2,2
1284,1964.02,200,30.0635,F,3,0,N/A,STIPostImmigrating,0,57,132,0,0,MARITAL,PAUSED,307,0,3
1284,1964.02,236,39.1835,M,2,0,N/A,STIPostImmigrating,0,40,102,0,0,MARITAL,PAUSED,244,2,0
1286,1964.02,75,45.8942,M,4,2,local,STIPreEmigrating,0,58,155,0,0,MARITAL,NORMAL,185,4,4
1286,1964.02,75,45.8942,M,2,0,N/A,STIPostImmigrating,0,58,155,0,0,MARITAL,PAUSED,185,2,0
1289,1964.03,253,45.5144,F,4,2,local,STIPreEmigrating,0,159,21,0,0,MARITAL,NORMAL,286,4,4
1289,1964.03,253,45.5144,F,2,0,N/A,STIPostImmigrating,0,159,21,0,0,MARITAL,PAUSED,286,0,2
