Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,1010.07,0,F,1,1,4,0,0,34.8363,0,1,1,0,0,0,1,1,1,0,0,0,17,0,1,27.4206,0,1,1,0,0,0,1,1,1,0,0,0
2,0,15498.7,0,F,1,1,4,0,0,34.8363,0,2,2,0,0,0,2,2,1,0,0,0,10,0,1,27.5428,0,1,1,0,0,0,1,1,1,0,0,0
3,0,866.543,0,F,1,1,4,0,0,34.8363,0,3,3,0,0,0,3,3,1,0,0,0,23,0,1,35.6132,0,1,1,0,0,0,1,1,1,0,0,0
4,0,1369,0,F,1,1,4,0,0,34.8363,0,4,4,0,0,0,4,4,1,0,0,0,7,0,1,40.146,0,1,1,0,0,0,1,1,1,0,0,0
5,0,2073.72,0,F,1,1,4,0,0,34.8363,0,5,5,0,0,0,5,5,1,0,0,0,122,0,1,22.3827,0,1,1,0,0,0,1,1,1,0,0,0
6,0,12447.8,0,F,1,1,4,0,0,34.8363,0,6,6,0,0,0,6,6,1,0,0,0,68,0,1,23.7491,0,1,1,0,0,0,1,1,1,0,0,0
7,0,8697.47,0,F,1,1,6,0,0,37.8517,0,1,1,0,0,0,1,1,1,0,0,0,67,0,1,39.7243,0,1,1,0,0,0,1,1,1,0,0,0
8,0,8682.46,0,F,1,1,6,0,0,37.8517,0,2,2,0,0,0,2,2,1,0,0,0,28,0,1,34.5409,0,1,1,0,0,0,1,1,1,0,0,0
9,0,6132.34,0,F,1,1,6,0,0,37.8517,0,3,3,0,0,0,3,3,1,0,0,0,17,0,1,27.4206,0,2,2,0,0,0,2,2,1,0,0,0
10,0,4009.71,0,F,1,1,6,0,0,37.8517,0,4,4,0,0,0,4,4,1,0,0,0,122,0,1,22.3827,0,2,2,0,0,0,2,2,1,0,0,0
11,0,1394.93,0,F,1,1,6,0,0,37.8517,0,5,5,0,0,0,5,5,1,0,0,0,96,0,1,30.3194,0,1,1,0,0,0,1,1,1,0,0,0
12,0,3415.92,0,F,1,1,6,0,0,37.8517,0,6,6,0,0,0,6,6,1,0,0,0,10,0,1,27.5428,0,2,2,0,0,0,2,2,1,0,0,0
13,0,11311.7,0,F,1,1,6,0,0,37.8517,0,7,7,0,0,0,7,7,1,0,0,0,36,0,1,42.7854,0,1,1,0,0,0,1,1,1,0,0,0
14,0,5612.35,0,F,1,1,11,0,0,45.7134,0,1,1,0,0,0,1,1,1,0,0,0,17,0,1,27.4206,0,3,3,0,0,0,3,3,1,0,0,0
15,0,6200.2,0,F,1,1,11,0,0,45.7134,0,2,2,0,0,0,2,2,1,0,0,0,96,0,1,30.3194,0,2,2,0,0,0,2,2,1,0,0,0
16,0,6864.36,0,F,1,1,11,0,0,45.7134,0,3,3,0,0,0,3,3,1,0,0,0,23,0,1,35.6132,0,2,2,0,0,0,2,2,1,0,0,0
17,0,8493.99,0,F,1,1,11,0,0,45.7134,0,4,4,0,0,0,4,4,1,0,0,0,145,0,1,17.4608,0,1,1,0,0,0,1,1,1,0,0,0
18,0,20003,0,F,1,1,11,0,0,45.7134,0,5,5,0,0,0,5,5,1,0,0,0,214,0,1,43.3127,0,1,1,0,0,0,1,1,1,0,0,0
19,0,27031.1,0,F,1,1,11,0,0,45.7134,0,6,6,0,0,0,6,6,1,0,0,0,3,0,1,18.0839,0,1,1,0,0,0,1,1,1,0,0,0
20,0,3924.63,0,F,1,1,12,0,0,43.845,0,1,1,0,0,0,1,1,1,0,0,0,17,0,1,27.4206,0,4,4,0,0,0,4,4,1,0,0,0
21,0,9124.87,0,F,1,1,12,0,0,43.845,0,2,2,0,0,0,2,2,1,0,0,0,28,0,1,34.5409,0,2,2,0,0,0,2,2,1,0,0,0
22,0,4708.75,0,F,1,1,12,0,0,43.845,0,3,3,0,0,0,3,3,1,0,0,0,96,0,1,30.3194,0,3,3,0,0,0,3,3,1,0,0,0
23,0,5198.17,0,F,1,1,12,0,0,43.845,0,4,4,0,0,0,4,4,1,0,0,0,67,0,1,39.7243,0,2,2,0,0,0,2,2,1,0,0,0
24,0,3594.56,0,F,1,1,12,0,0,43.845,0,5,5,0,0,0,5,5,1,0,0,0,106,0,1,45.6851,0,1,1,0,0,0,1,1,1,0,0,0
25,0,26438.5,0,F,1,1,12,0,0,43.845,0,6,6,0,0,0,6,6,1,0,0,0,7,0,1,40.146,0,2,2,0,0,0,2,2,1,0,0,0
26,0,12879.1,0,F,1,1,12,0,0,43.845,0,7,7,0,0,0,7,7,1,0,0,0,214,0,1,43.3127,0,2,2,0,0,0,2,2,1,0,0,0
27,0,14744.7,0,F,1,1,12,0,0,43.845,0,8,8,0,0,0,8,8,1,0,0,0,122,0,1,22.3827,0,3,3,0,0,0,3,3,1,0,0,0
28,0,9961.23,0,F,1,1,13,0,0,22.7518,0,1,1,0,0,0,1,1,1,0,0,0,17,0,1,27.4206,0,5,5,0,0,0,5,5,1,0,0,0
29,0,3547.32,0,F,1,1,13,0,0,22.7518,0,2,2,0,0,0,2,2,1,0,0,0,145,0,1,17.4608,0,2,2,0,0,0,2,2,1,0,0,0
30,0,3217.36,0,F,1,1,13,0,0,22.7518,0,3,3,0,0,0,3,3,1,0,0,0,3,0,1,18.0839,0,2,2,0,0,0,2,2,1,0,0,0
31,0,18636.3,0,F,1,1,13,0,0,22.7518,0,4,4,0,0,0,4,4,1,0,0,0,68,0,1,23.7491,0,2,2,0,0,0,2,2,1,0,0,0
32,0,8116.5,0,F,1,1,13,0,0,22.7518,0,5,5,0,0,0,5,5,1,0,0,0,122,0,1,22.3827,0,4,4,0,0,0,4,4,1,0,0,0
33,0,2137.63,0,F,1,1,13,0,0,22.7518,0,6,6,0,0,0,6,6,1,0,0,0,10,0,1,27.5428,0,3,3,0,0,0,3,3,1,0,0,0
34,0,10086.8,0,F,1,1,13,0,0,22.7518,0,7,7,0,0,0,7,7,1,0,0,0,28,0,1,34.5409,0,3,3,0,0,0,3,3,1,0,0,0
35,0,13890.2,0,F,1,1,14,0,0,36.0261,0,1,1,0,0,0,1,1,1,0,0,0,96,0,1,30.3194,0,4,4,0,0,0,4,4,1,0,0,0
36,0,2440.48,0,F,1,1,14,0,0,36.0261,0,2,2,0,0,0,2,2,1,0,0,0,28,0,1,34.5409,0,4,4,0,0,0,4,4,1,0,0,0
37,0,4475.85,0,F,1,1,14,0,0,36.0261,0,3,3,0,0,0,3,3,1,0,0,0,10,0,1,27.5428,0,4,4,0,0,0,4,4,1,0,0,0
38,0,4276.75,0,F,1,1,14,0,0,36.0261,0,4,4,0,0,0,4,4,1,0,0,0,67,0,1,39.7243,0,3,3,0,0,0,3,3,1,0,0,0
39,0,9458.38,0,F,1,1,14,0,0,36.0261,0,5,5,0,0,0,5,5,1,0,0,0,122,0,1,22.3827,0,5,5,0,0,0,5,5,1,0,0,0
40,0,3056.65,0,F,1,1,14,0,0,36.0261,0,6,6,0,0,0,6,6,1,0,0,0,23,0,1,35.6132,0,3,3,0,0,0,3,3,1,0,0,0
