Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,337.549,0,F,1,1,1301,0,0,17.2189,0,1,1,0,0,0,1,1,3,0,0,0,7771,0,1,16.8009,0,1,1,0,0,0,1,1,0,0,0,0
2,0,409.373,0,F,1,1,3264,0,0,27.3878,0,1,1,0,0,0,1,1,0,0,0,0,14590,0,1,19.3103,0,1,1,0,0,0,1,1,1,0,0,0
3,0,416.199,0,F,1,1,3487,0,0,32.0242,0,1,1,0,0,0,1,1,1,0,0,0,8041,0,1,27.4614,0,1,1,0,0,0,1,1,3,0,0,0
4,0,460.051,0,F,1,1,8446,0,0,15.2932,0,1,1,0,0,0,1,1,0,0,0,0,2331,0,1,21.9412,0,1,1,0,0,0,1,1,3,0,0,0
5,0,58.8722,0,F,1,1,9909,0,0,22.7263,0,1,1,0,0,0,1,1,0,0,0,0,5113,0,1,29.0705,0,1,1,0,0,0,1,1,1,0,0,0
6,0,823.998,0,F,1,1,11247,0,0,30.3692,0,1,1,0,0,0,1,1,1,0,0,0,9769,0,1,23.0792,0,1,1,0,0,0,1,1,0,0,0,0
7,0,451.283,0,F,1,1,13805,0,0,24.026,0,1,1,0,0,0,1,1,0,0,0,0,11691,0,1,17.4586,0,1,1,0,0,0,1,1,1,0,0,0
8,0,443.094,1,F,1,1,2192,0,0,36.7462,0,1,0,1,0,0,1,1,1,0,0,0,1698,0,1,26.1595,0,1,0,1,0,0,1,1,1,0,0,0
9,0,956.161,1,F,1,1,6074,0,0,33.4837,0,1,0,1,0,0,1,1,3,0,0,0,4122,0,1,27.8505,0,1,0,1,0,0,1,1,0,0,0,0
10,0,805.455,1,F,1,1,6936,0,0,38.3336,0,1,0,1,0,0,1,1,1,0,0,0,14475,0,1,32.5183,0,1,0,1,0,0,1,1,0,0,0,0
11,0,907.694,1,F,1,1,8852,0,0,42.3068,0,1,0,1,0,0,1,1,0,0,0,0,1389,0,1,20.5005,0,1,0,1,0,0,1,1,3,0,0,0
12,0,753.557,1,F,1,1,11080,0,0,30.2898,0,1,0,1,0,0,1,1,3,0,0,0,16182,0,1,28.7744,0,1,0,1,0,0,1,1,0,0,0,0
13,0,210.128,1,F,1,1,11290,0,0,18.619,0,1,0,1,0,0,1,1,1,0,0,0,430,0,1,16.2098,0,1,0,1,0,0,1,1,3,0,0,0
14,0,438.44,1,F,1,1,16702,0,0,34.4249,0,1,0,1,0,0,1,1,1,0,0,0,16991,0,1,34.6675,0,1,0,1,0,0,1,1,1,0,0,0
15,1,315.262,0,F,1,1,15727,1,0,24.7755,0,1,1,0,0,0,1,1,1,0,0,0,13982,1,1,23.7329,0,1,1,0,0,0,1,1,1,0,0,0
16,1,261.642,0,F,1,1,3738,0,0,30.9857,0,1,1,0,0,0,1,1,1,0,0,0,14329,0,1,22.1219,0,1,1,0,0,0,1,1,0,0,0,0
17,1,451.473,0,F,1,1,7926,1,0,24.63,0,1,1,0,0,0,1,1,0,0,0,0,1652,1,1,19.1438,0,1,1,0,0,0,1,1,1,0,0,0
18,1,193.285,0,F,1,1,10770,1,0,16.9815,0,1,1,0,0,0,1,1,1,0,0,0,10941,1,1,18.8514,0,1,1,0,0,0,1,1,0,0,0,0
19,1,405.258,0,F,1,1,11689,1,0,16.1559,0,1,1,0,0,0,1,1,0,0,0,0,16504,1,1,18.2701,0,1,1,0,0,0,1,1,1,0,0,0
20,1,490.414,1,F,1,1,5363,0,0,88.4148,0,1,0,1,0,0,1,1,1,0,0,0,3101,0,1,49.8364,0,1,0,1,0,0,1,1,3,0,0,0
21,1,1099.47,1,F,1,1,2831,1,0,24.9112,0,1,0,1,0,0,1,1,0,0,0,0,133,1,1,23.9188,0,1,0,1,0,0,1,1,0,0,0,0
