Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,554.998,0,F,1,1,2098,0,0,32.8247,0,1,1,0,0,0,1,1,0,0,0,0,12773,0,1,34.3551,0,1,1,0,0,0,1,1,0,0,0,0
2,0,139.232,0,F,1,1,7023,0,0,28.7801,0,1,1,0,0,0,1,1,1,0,0,0,15898,0,1,29.5006,0,1,1,0,0,0,1,1,0,0,0,0
3,0,428.675,0,F,1,1,10715,0,0,23.3751,0,1,1,0,0,0,1,1,3,0,0,0,8349,0,1,19.0812,0,1,1,0,0,0,1,1,0,0,0,0
4,0,1131.88,1,F,1,1,829,0,0,41.1341,0,1,0,1,0,0,1,1,0,0,0,0,7969,0,1,30.6175,0,1,0,1,0,0,1,1,0,0,0,0
5,0,557.051,1,F,1,1,7158,0,0,20.9598,0,1,0,1,0,0,1,1,0,0,0,0,2751,0,1,18.0455,0,1,0,1,0,0,1,1,0,0,0,0
6,0,545.494,1,F,1,1,10361,0,0,29.7217,0,1,0,1,0,0,1,1,0,0,0,0,2468,0,1,20.1156,0,1,0,1,0,0,1,1,0,0,0,0
7,0,791.179,1,F,1,1,14414,0,0,28.5694,0,1,0,1,0,0,1,1,0,0,0,0,8995,0,1,20.926,0,1,0,1,0,0,1,1,0,0,0,0
8,0,555.266,1,F,1,1,14775,0,0,16.5367,0,1,0,1,0,0,1,1,0,0,0,0,4966,0,1,19.9784,0,1,0,1,0,0,1,1,0,0,0,0
9,0,500.423,3,F,1,1,1096,0,0,47.1333,0,1,0,0,0,1,1,1,0,0,0,0,2299,0,1,14.3585,0,1,0,0,0,1,1,1,1,0,0,0
10,0,216.117,3,F,1,1,1487,0,0,35.8128,0,1,0,0,0,1,1,1,1,0,0,0,8993,0,1,19.2111,0,1,0,0,0,1,1,1,7,0,0,0
11,1,863.933,0,F,1,1,7173,0,0,39.2822,0,1,1,0,0,0,1,1,1,0,0,0,15367,0,1,25.8748,0,1,1,0,0,0,1,1,0,0,0,0
12,1,100.265,0,F,1,1,2811,0,0,25.6156,0,1,1,0,0,0,1,1,0,0,0,0,6115,1,1,15.2681,0,1,1,0,0,0,1,1,0,0,0,0
13,1,174.346,0,F,1,1,8357,0,0,21.4295,0,1,1,0,0,0,1,1,0,0,0,0,14410,1,1,18.0594,0,1,1,0,0,0,1,1,0,0,0,0
14,1,210.138,0,F,1,1,8583,0,0,27.9171,0,1,1,0,0,0,1,1,1,0,0,0,8145,1,1,16.3922,0,1,1,0,0,0,1,1,0,0,0,0
15,1,33.4391,0,F,1,1,10279,0,0,28.5592,0,1,1,0,0,0,1,1,0,0,0,0,8988,1,1,21.0483,0,1,1,0,0,0,1,1,1,0,0,0
16,1,213.861,0,F,1,1,10588,1,0,19.1193,0,1,1,0,0,0,1,1,1,0,0,0,11814,1,1,21.3688,0,1,1,0,0,0,1,1,0,0,0,0
17,1,130.13,0,F,1,1,12399,1,0,24.8718,0,1,1,0,0,0,1,1,0,0,0,0,14556,1,1,16.941,0,1,1,0,0,0,1,1,0,0,0,0
18,1,697.729,0,F,1,1,15356,1,0,24.9644,0,1,1,0,0,0,1,1,3,0,0,0,7859,1,1,16.0966,0,1,1,0,0,0,1,1,0,0,0,0
19,1,226.864,0,F,1,1,15701,1,0,19.3892,0,1,1,0,0,0,1,1,0,0,0,0,8672,0,1,14.5226,0,1,1,0,0,0,1,1,0,0,0,0
20,1,938.989,1,F,1,1,1413,0,0,33.4935,0,1,0,1,0,0,1,1,3,0,0,0,15411,1,1,19.9156,0,1,0,1,0,0,1,1,0,0,0,0
21,1,722.56,1,F,1,1,1586,1,0,24.9745,0,1,0,1,0,0,1,1,0,0,0,0,8298,1,1,20.8207,0,1,0,1,0,0,1,1,0,0,0,0
22,1,409.339,1,F,1,1,7113,1,0,22.0313,0,1,0,1,0,0,1,1,1,0,0,0,12664,0,1,17.5561,0,1,0,1,0,0,1,1,0,0,0,0
23,1,1569.19,1,F,1,1,7484,0,0,39.6197,0,1,0,1,0,0,1,1,0,0,0,0,12837,1,1,22.3179,0,1,0,1,0,0,1,1,0,0,0,0
24,1,980.456,1,F,1,1,10900,1,0,21.1716,0,1,0,1,0,0,1,1,3,0,0,0,2088,1,1,16.5035,0,1,0,1,0,0,1,1,0,0,0,0
25,1,759.265,1,F,1,1,13709,1,0,24.3021,0,1,0,1,0,0,1,1,1,0,0,0,672,0,1,22.5733,0,1,0,1,0,0,1,1,0,0,0,0
26,1,283.922,1,F,1,1,16084,1,0,20.3893,0,1,0,1,0,0,1,1,1,0,0,0,14417,1,1,24.8045,0,1,0,1,0,0,1,1,0,0,0,0
27,1,216.482,3,F,1,1,11735,0,0,86.8711,0,1,0,0,0,1,1,1,0,0,0,0,9885,0,1,73.0446,0,1,0,0,0,1,1,1,0,0,0,0
28,1,507.194,3,F,1,1,13540,0,0,63.8342,0,1,0,0,0,1,1,1,1,0,0,0,9141,0,1,53.3757,0,1,0,0,0,1,1,1,0,0,0,0
29,1,1896.98,3,F,1,1,13801,0,0,14.473,0,1,0,0,0,1,1,1,0,0,0,0,3039,0,1,14.9195,0,1,0,0,0,1,1,1,0,0,0,0
30,1,390.438,3,F,1,1,14109,0,0,54.6626,0,1,0,0,0,1,1,1,0,0,0,0,10759,0,1,39.7159,0,1,0,0,0,1,1,1,0,0,0,0
31,1,828.134,3,F,1,1,15925,0,0,61.7183,0,1,0,0,0,1,1,1,0,0,0,0,13301,0,1,37.6041,0,1,0,0,0,1,1,1,3,0,0,0
32,1,307.774,3,F,1,1,16290,0,0,56.6542,0,1,0,0,0,1,1,1,0,0,0,0,12238,0,1,14.6797,0,1,0,0,0,1,1,1,0,0,0,0
