Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,4949.6,2,F,1,1,13857,0,0,57.3205,0,1,0,0,1,0,1,1,8,0,0,0,8474,0,1,48.7522,0,1,0,0,1,0,1,1,8,0,0,0
2,0,497.146,3,F,1,1,3116,0,0,16.3071,0,1,0,0,0,1,1,1,8,0,0,0,5529,0,1,39.1228,0,1,0,0,0,1,1,1,0,0,0,0
3,0,643.806,3,F,1,1,3287,0,0,27.235,0,1,0,0,0,1,1,1,12,0,0,0,6962,0,1,22.7231,0,1,0,0,0,1,1,1,8,0,0,0
4,0,204.469,3,F,1,1,5394,0,0,48.1753,0,1,0,0,0,1,1,1,8,0,0,0,16766,0,1,19.695,0,1,0,0,0,1,1,1,8,0,0,0
5,1,1180.18,3,F,1,1,9479,0,0,25.336,0,1,0,0,0,1,1,1,8,0,0,0,8310,0,1,29.3634,0,1,0,0,0,1,1,1,8,0,0,0
6,1,8.88761,3,F,1,1,11684,1,0,18.1926,0,1,0,0,0,1,1,1,8,0,0,0,5406,1,1,17.834,0,1,0,0,0,1,1,1,0,0,0,0
7,1,388.798,3,F,1,1,14536,0,0,42.7942,0,1,0,0,0,1,1,1,0,0,0,0,6121,1,1,20.1085,0,1,0,0,0,1,1,1,0,0,0,0
8,1,165.052,3,F,1,1,15781,0,0,45.7239,0,1,0,0,0,1,1,1,0,0,0,0,8951,1,1,19.7753,0,1,0,0,0,1,1,1,12,0,0,0
9,1,388.264,3,F,1,1,4671,0,0,48.0844,0,1,0,0,0,1,1,1,8,0,0,0,10687,0,1,27.1713,0,1,0,0,0,1,1,1,8,0,0,0
10,1,419.285,3,F,1,1,6702,0,0,53.3888,0,1,0,0,0,1,1,1,0,0,0,0,6479,0,1,41.044,0,1,0,0,0,1,1,1,0,0,0,0
11,1,174.575,3,F,1,1,8037,0,0,52.0162,0,1,0,0,0,1,1,1,12,0,0,0,11055,0,1,18.7555,0,1,0,0,0,1,1,1,8,0,0,0
12,1,483.422,3,F,1,1,9411,0,0,53.2692,0,1,0,0,0,1,1,1,12,0,0,0,11063,1,1,17.9864,0,1,0,0,0,1,1,1,12,0,0,0
13,1,303.503,3,F,1,1,11442,0,0,47.506,0,1,0,0,0,1,1,1,0,0,0,0,13510,0,1,25.8317,0,1,0,0,0,1,1,1,12,0,0,0
14,2,264.26,3,F,1,1,14103,0,0,50.0063,0,1,0,0,0,1,1,1,8,0,0,0,9414,0,1,41.4294,0,1,0,0,0,1,1,1,12,0,0,0
