Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,554.998,0,F,1,1,2098,0,0,32.8247,0,1,1,0,0,0,1,1,0,0,0,0,15898,0,1,29.5006,0,1,1,0,0,0,1,1,0,0,0,0
2,0,139.232,0,F,1,1,7023,0,0,28.7801,0,1,1,0,0,0,1,1,8,0,0,0,13150,0,1,23.049,0,1,1,0,0,0,1,1,0,0,0,0
3,0,428.675,0,F,1,1,10717,0,0,26.664,0,1,1,0,0,0,1,1,8,0,0,0,8151,0,1,21.775,0,1,1,0,0,0,1,1,0,0,0,0
4,0,706.993,0,F,1,1,11360,0,0,24.553,0,1,1,0,0,0,1,1,0,0,0,0,6115,0,1,15.2654,0,1,1,0,0,0,1,1,0,0,0,0
5,0,216.89,0,F,1,1,12342,0,0,22.9757,0,1,1,0,0,0,1,1,15,0,0,0,8190,0,1,15.3479,0,1,1,0,0,0,1,1,0,0,0,0
6,0,545.494,1,F,1,1,829,0,0,41.1341,0,1,0,1,0,0,1,1,0,0,0,0,14865,0,1,40.2057,0,1,0,1,0,0,1,1,12,0,0,0
7,0,791.179,1,F,1,1,13543,0,0,22.4816,0,1,0,1,0,0,1,1,12,0,0,0,2751,0,1,18.0455,0,1,0,1,0,0,1,1,0,0,0,0
8,0,555.266,1,F,1,1,14559,0,0,33.7044,0,1,0,1,0,0,1,1,12,0,0,0,3086,0,1,26.9627,0,1,0,1,0,0,1,1,0,0,0,0
9,0,919.929,1,F,1,1,14777,0,0,20.7188,0,1,0,1,0,0,1,1,0,0,0,0,10231,0,1,17.4963,0,1,0,1,0,0,1,1,8,0,0,0
10,0,216.117,3,F,1,1,1096,0,0,47.1333,0,1,0,0,0,1,1,1,0,0,0,0,2299,0,1,14.3585,0,1,0,0,0,1,1,1,8,0,0,0
11,0,359.99,3,F,1,1,1487,0,0,35.8128,0,1,0,0,0,1,1,1,8,0,0,0,9045,0,1,27.9081,0,1,0,0,0,1,1,1,0,0,0,0
12,0,583.379,3,F,1,1,11736,0,0,52.5422,0,1,0,0,0,1,1,1,0,0,0,0,8995,0,1,20.926,0,1,0,0,0,1,1,1,0,0,0,0
13,1,373.455,0,F,1,1,1850,0,0,36.5203,0,1,1,0,0,0,1,1,8,0,0,0,794,0,1,31.7706,0,1,1,0,0,0,1,1,8,0,0,0
14,1,863.933,0,F,1,1,2788,0,0,25.722,0,1,1,0,0,0,1,1,0,0,0,0,10271,1,1,19.514,0,1,1,0,0,0,1,1,12,0,0,0
15,1,100.265,0,F,1,1,8344,0,0,23.6608,0,1,1,0,0,0,1,1,0,0,0,0,13681,1,1,16.7805,0,1,1,0,0,0,1,1,0,0,0,0
16,1,174.346,0,F,1,1,9948,0,0,28.6717,0,1,1,0,0,0,1,1,0,0,0,0,355,1,1,22.1753,0,1,1,0,0,0,1,1,0,0,0,0
17,1,210.138,0,F,1,1,10576,1,0,15.7171,0,1,1,0,0,0,1,1,0,0,0,0,9877,1,1,16.4069,0,1,1,0,0,0,1,1,0,0,0,0
18,1,33.4391,0,F,1,1,14981,0,0,36.902,0,1,1,0,0,0,1,1,8,0,0,0,6221,1,1,23.1818,0,1,1,0,0,0,1,1,0,0,0,0
19,1,551.82,1,F,1,1,7175,0,0,47.6703,0,1,0,1,0,0,1,1,12,0,0,0,12396,0,1,49.7208,0,1,0,1,0,0,1,1,8,0,0,0
20,1,409.1,1,F,1,1,16345,0,0,51.802,0,1,0,1,0,0,1,1,0,0,0,0,7974,0,1,44.4152,0,1,0,1,0,0,1,1,0,0,0,0
21,1,1122.99,1,F,1,1,2083,1,0,24.2345,0,1,0,1,0,0,1,1,0,0,0,0,15739,1,1,16.1514,0,1,0,1,0,0,1,1,0,0,0,0
22,1,571.768,1,F,1,1,2967,0,0,43.4356,0,1,0,1,0,0,1,1,0,0,0,0,7464,0,1,35.202,0,1,0,1,0,0,1,1,0,0,0,0
23,1,938.989,1,F,1,1,8573,0,0,34.543,0,1,0,1,0,0,1,1,0,0,0,0,4966,1,1,19.9812,0,1,0,1,0,0,1,1,0,0,0,0
24,1,722.56,1,F,1,1,10891,0,0,28.4688,0,1,0,1,0,0,1,1,0,0,0,0,1705,1,1,21.6848,0,1,0,1,0,0,1,1,0,0,0,0
25,1,409.339,1,F,1,1,13709,1,0,24.3021,0,1,0,1,0,0,1,1,8,0,0,0,10885,1,1,19.0698,0,1,0,1,0,0,1,1,0,0,0,0
26,1,1569.19,1,F,1,1,15363,0,0,33.6576,0,1,0,1,0,0,1,1,0,0,0,0,9135,1,1,16.8423,0,1,0,1,0,0,1,1,0,0,0,0
27,1,980.456,1,F,1,1,16090,1,0,23.4549,0,1,0,1,0,0,1,1,8,0,0,0,15411,1,1,19.9156,0,1,0,1,0,0,1,1,0,0,0,0
28,1,363.618,3,F,1,1,13801,0,0,14.473,0,1,0,0,0,1,1,1,0,0,0,0,2088,1,1,16.5035,0,1,0,0,0,1,1,1,0,0,0,0
29,1,71.1225,3,F,1,1,14111,0,0,68.675,0,1,0,0,0,1,1,1,0,0,0,0,10753,0,1,43.2841,0,1,0,0,0,1,1,1,12,0,0,0
30,1,216.482,3,F,1,1,15001,0,0,35.4252,0,1,0,0,0,1,1,1,0,0,0,0,13301,0,1,37.6041,0,1,0,0,0,1,1,1,12,0,0,0
31,1,507.194,3,F,1,1,7095,1,0,19.4262,0,1,0,0,0,1,1,1,12,0,0,0,2560,1,1,17.0935,0,1,0,0,0,1,1,1,0,0,0,0
32,1,1896.98,3,F,1,1,7569,0,0,41.9195,0,1,0,0,0,1,1,1,0,0,0,0,10888,1,1,17.8067,0,1,0,0,0,1,1,1,0,0,0,0
33,1,390.438,3,F,1,1,12660,0,0,50.6405,0,1,0,0,0,1,1,1,0,0,0,0,14228,1,1,18.052,0,1,0,0,0,1,1,1,0,0,0,0
34,2,788.071,0,F,1,1,15371,0,0,46.9649,0,1,1,0,0,0,1,1,0,0,0,0,10510,0,1,25.4072,0,1,1,0,0,0,1,1,0,0,0,0
35,2,247.638,0,F,1,1,1546,1,0,24.8139,0,1,1,0,0,0,1,1,0,0,0,0,15704,1,1,21.35,0,1,1,0,0,0,1,1,8,0,0,0
36,2,129.406,0,F,1,1,3289,0,0,32.4456,0,1,1,0,0,0,1,1,0,0,0,0,1084,0,1,25.2627,0,1,1,0,0,0,1,1,8,0,0,0
37,2,823.99,0,F,1,1,6921,1,0,23.952,0,1,1,0,0,0,1,1,14,0,0,0,14410,1,1,18.0622,0,1,1,0,0,0,1,1,0,0,0,0
38,2,138.237,0,F,1,1,7463,1,0,18.1443,0,1,1,0,0,0,1,1,14,0,0,0,17227,0,1,20.3633,0,1,1,0,0,0,1,1,12,0,0,0
39,2,920.067,0,F,1,1,8615,1,0,24.8469,0,1,1,0,0,0,1,1,0,0,0,0,11032,1,1,18.0071,0,1,1,0,0,0,1,1,0,0,0,0
40,2,515.043,1,F,1,1,12774,0,0,70.4414,0,1,0,1,0,0,1,1,8,0,0,0,10364,0,1,55.1362,0,1,0,1,0,0,1,1,12,0,0,0
41,2,167.879,1,F,1,1,327,0,0,35.6842,0,1,0,1,0,0,1,1,0,0,0,0,5795,0,1,38.2998,0,1,0,1,0,0,1,1,0,0,0,0
42,2,544.078,1,F,1,1,749,0,0,42.3885,0,1,0,1,0,0,1,1,0,0,0,0,15387,0,1,29.2197,0,1,0,1,0,0,1,1,0,0,0,0
43,2,740.136,1,F,1,1,3041,1,0,23.2857,0,1,0,1,0,0,1,1,0,0,0,0,661,1,1,22.3879,0,1,0,1,0,0,1,1,0,0,0,0
44,2,36.4647,1,F,1,1,3065,1,0,19.3976,0,1,0,1,0,0,1,1,8,0,0,0,8276,1,1,22.1598,0,1,0,1,0,0,1,1,8,0,0,0
45,2,973.418,1,F,1,1,4304,0,0,33.9209,0,1,0,1,0,0,1,1,0,0,0,0,1556,0,1,29.966,0,1,0,1,0,0,1,1,0,0,0,0
46,2,875.232,1,F,1,1,7383,1,0,20.962,0,1,0,1,0,0,1,1,8,0,0,0,9081,1,1,19.8224,0,1,0,1,0,0,1,1,0,0,0,0
47,2,214.893,1,F,1,1,13471,0,0,34.2645,0,1,0,1,0,0,1,1,0,0,0,0,14886,0,1,31.0318,0,1,0,1,0,0,1,1,8,0,0,0
48,2,720.629,1,F,1,1,16872,0,0,37.8299,0,1,0,1,0,0,1,1,0,0,0,0,10313,0,1,37.0477,0,1,0,1,0,0,1,1,8,0,0,0
49,2,69.139,3,F,1,1,15925,0,0,61.7211,0,1,0,0,0,1,1,1,0,0,0,0,8614,0,1,14.5497,0,1,0,0,0,1,1,1,0,0,0,0
50,2,117.068,3,F,1,1,16290,0,0,56.6569,0,1,0,0,0,1,1,1,0,0,0,0,1666,0,1,37.4679,0,1,0,0,0,1,1,1,0,0,0,0
51,2,805.93,3,F,1,1,2673,0,0,64.6243,0,1,0,0,0,1,1,1,8,0,0,0,5809,1,1,23.1848,0,1,0,0,0,1,1,1,8,0,0,0
