Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,VectorPopulationNumDied,InfectiousNumDied,InfectedNumDied,AdultNumDied,MaleNumDied,VectorPopulationAvgAgeAtDeath,InfectiousAvgAgeAtDeath,InfectedAvgAgeAtDeath,AdultAvgAgeAtDeath,MaleAvgAgeAtDeath
0,1,X1:X1,4000,0,0,4000,0,0,0,130950,444,0,0,444,0,3.01126,0,0,3.01126,0
0,1,X1:X2,1965,0,0,1965,0,0,0,65700,258,0,0,258,0,2.98837,0,0,2.98837,0
0,1,X1:Y1,0,0,0,0,3586,0,0,120850,0,0,0,0,414,0,0,0,0,2.96377
0,1,X1:Y2,0,0,0,0,2374,0,0,75800,0,0,0,0,292,0,0,0,0,2.97945
0,1,X2:X1,1986,0,0,1986,0,0,0,65050,236,0,0,236,0,3.04237,0,0,3.04237,0
0,1,X2:X2,1000,0,0,1000,0,0,0,31700,111,0,0,111,0,3,0,0,3,0
0,1,X2:Y1,0,0,0,0,1795,0,0,57350,0,0,0,0,205,0,0,0,0,3.00976
0,1,X2:Y2,0,0,0,0,1177,0,0,39400,0,0,0,0,156,0,0,0,0,3.00641
1,1,X1:X1,3589,0,0,3589,0,0,130950,119650,411,0,0,411,0,3.96594,0,0,3.96594,0
1,1,X1:X2,1738,0,0,1738,0,0,65700,58900,227,0,0,227,0,3.99559,0,0,3.99559,0
1,1,X1:Y1,0,0,0,0,3157,0,120850,103900,0,0,0,0,429,0,0,0,0,3.95804
1,1,X1:Y2,0,0,0,0,2120,0,75800,74650,0,0,0,0,254,0,0,0,0,4.05512
1,1,X2:X1,1801,0,0,1801,0,0,65050,59850,185,0,0,185,0,4.06486,0,0,4.06486,0
1,1,X2:X2,894,0,0,894,0,0,31700,30200,106,0,0,106,0,4.01887,0,0,4.01887,0
1,1,X2:Y1,0,0,0,0,1614,0,57350,54200,0,0,0,0,181,0,0,0,0,3.8453
1,1,X2:Y2,0,0,0,0,1040,0,39400,35850,0,0,0,0,137,0,0,0,0,3.9854
2,1,X1:X1,3201,0,0,3201,0,0,238014,107600,388,0,0,388,0,5.01289,0,0,5.01289,0
2,1,X1:X2,1549,0,0,1549,0,0,118328,54300,189,0,0,189,0,5.05291,0,0,5.05291,0
2,1,X1:Y1,0,0,0,0,2811,0,213164,97250,0,0,0,0,346,0,0,0,0,5.0578
2,1,X1:Y2,0,0,0,0,1893,0,143182,64650,0,0,0,0,227,0,0,0,0,5.06608
2,1,X2:X1,1598,0,0,1598,0,0,118804,55000,203,0,0,203,0,5.02956,0,0,5.02956,0
2,1,X2:X2,784,0,0,784,0,0,58830,25000,110,0,0,110,0,4.93636,0,0,4.93636,0
2,1,X2:Y1,0,0,0,0,1453,0,106229,47850,0,0,0,0,161,0,0,0,0,5.01863
2,1,X2:Y2,0,0,0,0,927,0,71548,32150,0,0,0,0,113,0,0,0,0,5.0708
3,1,X1:X1,2840,0,0,2840,0,0,322997,92100,361,0,0,361,0,6.06094,0,0,6.06094,0
3,1,X1:X2,1367,0,0,1367,0,0,161263,45200,182,0,0,182,0,6.03846,0,0,6.03846,0
3,1,X1:Y1,0,0,0,0,2513,0,290154,84100,0,0,0,0,298,0,0,0,0,6.01678
3,1,X1:Y2,0,0,0,0,1659,0,194112,53200,0,0,0,0,234,0,0,0,0,6.03846
3,1,X2:X1,1428,0,0,1428,0,0,162521,46300,170,0,0,170,0,6.05294,0,0,6.05294,0
3,1,X2:X2,696,0,0,696,0,0,78287,20500,88,0,0,88,0,6.11364,0,0,6.11364,0
3,1,X2:Y1,0,0,0,0,1289,0,144049,39400,0,0,0,0,164,0,0,0,0,5.92683
3,1,X2:Y2,0,0,0,0,813,0,96987,27400,0,0,0,0,114,0,0,0,0,6.05263
4,1,X1:X1,2524,0,0,2524,0,0,384288,84700,316,0,0,316,0,6.92405,0,0,6.92405,0
4,1,X1:X2,1211,0,0,1211,0,0,191072,41050,156,0,0,156,0,6.97436,0,0,6.97436,0
4,1,X1:Y1,0,0,0,0,2240,0,346670,73050,0,0,0,0,273,0,0,0,0,7.07326
4,1,X1:Y2,0,0,0,0,1489,0,228698,52700,0,0,0,0,170,0,0,0,0,6.84706
4,1,X2:X1,1263,0,0,1263,0,0,193126,41900,165,0,0,165,0,7.06667,0,0,7.06667,0
4,1,X2:X2,610,0,0,610,0,0,91485,21050,86,0,0,86,0,6.97674,0,0,6.97674,0
4,1,X2:Y1,0,0,0,0,1131,0,169940,37750,0,0,0,0,158,0,0,0,0,7.05696
4,1,X2:Y2,0,0,0,0,718,0,115044,25200,0,0,0,0,95,0,0,0,0,7.06316
5,1,X1:X1,2231,0,0,2231,0,0,432309,77250,293,0,0,293,0,8.09556,0,0,8.09556,0
5,1,X1:X2,1099,0,0,1099,0,0,214015,37750,112,0,0,112,0,8.04464,0,0,8.04464,0
5,1,X1:Y1,0,0,0,0,1974,0,386913,69000,0,0,0,0,266,0,0,0,0,7.98872
5,1,X1:Y2,0,0,0,0,1307,0,259723,46000,0,0,0,0,182,0,0,0,0,7.98901
5,1,X2:X1,1121,0,0,1121,0,0,216574,39650,142,0,0,142,0,7.93662,0,0,7.93662,0
5,1,X2:X2,545,0,0,545,0,0,103784,17350,65,0,0,65,0,8,0,0,8,0
5,1,X2:Y1,0,0,0,0,985,0,191371,34500,0,0,0,0,146,0,0,0,0,8.0137
5,1,X2:Y2,0,0,0,0,630,0,129151,22500,0,0,0,0,88,0,0,0,0,8.10227
6,1,X1:X1,1947,0,0,1947,0,0,468289,61600,284,0,0,284,0,8.96479,0,0,8.96479,0
6,1,X1:X2,955,0,0,955,0,0,231466,31800,144,0,0,144,0,8.9375,0,0,8.9375,0
6,1,X1:Y1,0,0,0,0,1755,0,419126,56950,0,0,0,0,219,0,0,0,0,9.0411
6,1,X1:Y2,0,0,0,0,1140,0,280659,36450,0,0,0,0,167,0,0,0,0,9.01198
6,1,X2:X1,977,0,0,977,0,0,235655,30800,144,0,0,144,0,8.98611,0,0,8.98611,0
6,1,X2:X2,478,0,0,478,0,0,111217,13900,67,0,0,67,0,9.08955,0,0,9.08955,0
6,1,X2:Y1,0,0,0,0,857,0,207706,27050,0,0,0,0,128,0,0,0,0,9.01562
6,1,X2:Y2,0,0,0,0,552,0,139217,17650,0,0,0,0,78,0,0,0,0,9.05128
7,1,X1:X1,1710,0,0,1710,0,0,485234,57750,237,0,0,237,0,9.97468,0,0,9.97468,0
7,1,X1:X2,831,0,0,831,0,0,241223,28600,124,0,0,124,0,9.92742,0,0,9.92742,0
7,1,X1:Y1,0,0,0,0,1526,0,436258,50250,0,0,0,0,229,0,0,0,0,10.0655
7,1,X1:Y2,0,0,0,0,999,0,290263,36100,0,0,0,0,141,0,0,0,0,10.0213
7,1,X2:X1,865,0,0,865,0,0,243952,28350,112,0,0,112,0,9.98214,0,0,9.98214,0
7,1,X2:X2,409,0,0,409,0,0,114425,15000,69,0,0,69,0,9.95652,0,0,9.95652,0
7,1,X2:Y1,0,0,0,0,726,0,215047,27050,0,0,0,0,131,0,0,0,0,10.0687
7,1,X2:Y2,0,0,0,0,479,0,143680,16300,0,0,0,0,73,0,0,0,0,10.137
8,1,X1:X1,1494,0,0,1494,0,0,496706,51550,216,0,0,216,0,10.9583,0,0,10.9583,0
8,1,X1:X2,723,0,0,723,0,0,246950,24450,108,0,0,108,0,10.9444,0,0,10.9444,0
8,1,X1:Y1,0,0,0,0,1292,0,444896,46350,0,0,0,0,234,0,0,0,0,11.0171
8,1,X1:Y2,0,0,0,0,881,0,298813,29650,0,0,0,0,118,0,0,0,0,10.9237
