Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
0,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
0,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
0,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
0,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
0,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
1,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
1,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
1,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
1,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
1,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
1,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
2,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
2,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
2,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
2,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
2,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
2,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
3,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
3,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
3,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
3,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
3,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
3,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
4,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
4,340461476,X-a0:Y-a0,0,0,0,0,9094,0,0,0
4,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
4,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
4,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
4,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
5,340461476,X-a0:X-a0,3971,1927,0,2044,0,0,0,0
5,340461476,X-a0:Y-a0,0,0,0,0,8256,0,0,0
5,340461476,X-a0:X-a1,0,0,0,0,0,0,0,452600
5,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,452600
5,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
5,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
6,340461476,X-a0:X-a0,3568,1725,0,1843,0,0,0,0
6,340461476,X-a0:Y-a0,0,0,0,0,7459,0,0,0
6,340461476,X-a0:X-a1,0,0,0,0,0,0,27499,0
6,340461476,X-a0:Y-a1,0,0,0,0,0,0,27431,0
6,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
6,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
7,340461476,X-a0:X-a0,3244,1562,0,1682,0,0,0,0
7,340461476,X-a0:Y-a0,0,0,0,0,6743,0,0,0
7,340461476,X-a0:X-a1,0,0,0,0,0,0,24918,0
7,340461476,X-a0:Y-a1,0,0,0,0,0,0,24761,0
7,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
7,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
8,340461476,X-a0:X-a0,2552,1190,0,1362,0,0,0,0
8,340461476,X-a0:Y-a0,0,0,0,0,6113,0,0,0
8,340461476,X-a0:X-a1,0,0,0,0,0,0,22530,291300
8,340461476,X-a0:Y-a1,0,0,0,0,0,0,22395,291300
8,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
8,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
9,340461476,X-a0:X-a0,2311,1071,0,1240,0,0,0,0
9,340461476,X-a0:Y-a0,0,0,0,0,5556,0,0,0
9,340461476,X-a0:X-a1,0,0,0,0,0,0,31384,0
