Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor, VECTOR_WOLBACHIA_FREE, VECTOR_WOLBACHIA_A, VECTOR_WOLBACHIA_B, VECTOR_WOLBACHIA_AB,AvailableHabitat,EggCrowdingCorrection
0,340461476,arabiensis,1000,8802,0,0,8802,9081,0,0,607200,303600,1423,0,1460,0,0,0,937,124,137,8802,0,0,0,106144,1
0,340461476,funestus,1000,8729,0,0,8729,9044,0,0,591400,295700,2810,0,0,0,0,0,961,310,0,8729,0,0,0,5877.02,1
0,340461476,gambiae,1000,8777,0,0,8777,8973,0,0,606200,303100,2873,0,0,0,0,0,940,283,0,8777,0,0,0,117938,1
1,340461476,arabiensis,1000,7679,0,0,7679,8216,0,106105,548600,274300,1281,0,1343,0,0,0,843,132,148,7679,0,0,0,47005.7,0.174809
1,340461476,funestus,1000,7615,0,0,7615,8195,0,5818,548800,274400,2615,0,0,0,0,0,866,248,0,7615,0,0,0,2953.53,0.00993747
1,340461476,gambiae,1000,7670,0,0,7670,8136,0,118424,542800,271400,2560,0,0,0,0,0,821,286,0,7670,0,0,0,51699,0.194553
2,340461476,arabiensis,1000,6700,0,0,6700,7420,0,142860,488800,244400,1140,0,1166,0,0,0,750,104,125,6700,0,0,0,53330.5,0.0856831
2,340461476,funestus,1000,6680,0,0,6680,7444,0,8091,495000,247500,2336,0,0,0,0,0,716,219,0,6680,0,0,0,3546.09,0.0053818
2,340461476,gambiae,1000,6681,0,0,6681,7382,0,158376,494400,247200,2347,0,0,0,0,0,758,231,0,6681,0,0,0,59613.5,0.0952451
3,340461476,arabiensis,1000,5829,0,0,5829,6721,0,182477,409000,204500,1003,0,957,0,0,0,665,105,101,5829,0,0,0,54196.4,0.109105
3,340461476,funestus,1000,5866,0,0,5866,6748,0,10850,389600,194800,1859,0,0,0,0,0,625,189,0,5866,0,0,0,3624,0.00716382
3,340461476,gambiae,1000,5826,0,0,5826,6703,0,203080,407600,203800,1924,0,0,0,0,0,652,203,0,5826,0,0,0,59890.4,0.120577
4,340461476,arabiensis,1000,5104,0,0,5104,6094,0,219745,364600,182300,843,0,885,0,0,0,537,87,101,5104,0,0,0,54076.4,0.132509
4,340461476,funestus,1000,5110,0,0,5110,6104,0,13359,367400,183700,1735,0,0,0,0,0,553,203,0,5110,0,0,0,3923.54,0.00930184
4,340461476,gambiae,1000,5092,0,0,5092,6079,0,243909,355800,177900,1709,0,0,0,0,0,559,175,0,5092,0,0,0,60337,0.146934
5,340461476,arabiensis,1000,4434,0,0,4434,5455,0,252899,323400,161700,784,0,774,0,0,0,506,75,89,4434,0,0,0,54755.6,0.148317
5,340461476,funestus,1000,4444,0,0,4444,5535,0,15878,338800,169400,1616,0,0,0,0,0,506,160,0,4444,0,0,0,4184.99,0.0106792
5,340461476,gambiae,1000,4442,0,0,4442,5453,0,281188,330200,165100,1558,0,0,0,0,0,486,164,0,4442,0,0,0,60650.5,0.169581
6,340461476,arabiensis,1000,3883,0,0,3883,4917,0,283305,275600,137800,659,0,647,0,0,0,441,53,57,3883,0,0,0,56743.7,0.169312
6,340461476,funestus,1000,3898,0,0,3898,5017,0,18558,256200,128100,1224,0,0,0,0,0,429,117,0,3898,0,0,0,4257.64,0.0123524
6,340461476,gambiae,1000,3881,0,0,3881,4927,0,315519,271800,135900,1278,0,0,0,0,0,427,134,0,3881,0,0,0,62312.8,0.183678
7,340461476,arabiensis,1000,3427,0,0,3427,4478,0,313232,238600,119300,556,0,563,0,0,0,352,54,50,3427,0,0,0,56202.7,0.205891
7,340461476,funestus,1000,3422,0,0,3422,4506,0,21098,242200,121100,1152,0,0,0,0,0,365,111,0,3422,0,0,0,4442.76,0.0166184
7,340461476,gambiae,1000,3402,0,0,3402,4494,0,347452,235800,117900,1116,0,0,0,0,0,369,110,0,3402,0,0,0,63031,0.22926
8,340461476,arabiensis,1000,3003,0,0,3003,4020,0,339573,217800,108900,518,0,511,0,0,0,320,59,45,3003,0,0,0,57955.9,0.235552
8,340461476,funestus,1000,3003,0,0,3003,4039,0,23414,229400,114700,1088,0,0,0,0,0,308,111,0,3003,0,0,0,4824.63,0.0183433
8,340461476,gambiae,1000,2968,0,0,2968,4099,0,377118,222200,111100,1051,0,0,0,0,0,320,114,0,2968,0,0,0,64580.8,0.267307
9,340461476,arabiensis,1000,2620,0,0,2620,3644,0,365119,186400,93200,458,0,428,0,0,0,285,50,48,2620,0,0,0,55839.7,0.266097
9,340461476,funestus,1000,2629,0,0,2629,3637,0,25953,172600,86300,820,0,0,0,0,0,291,83,0,2629,0,0,0,4956.52,0.0210315
9,340461476,gambiae,1000,2595,0,0,2595,3723,0,405805,183800,91900,873,0,0,0,0,0,299,74,0,2595,0,0,0,61926.9,0.290642
10,340461476,arabiensis,1000,2271,0,0,2271,3305,0,385715,159000,79500,384,0,379,0,0,0,274,38,37,2271,0,0,0,57426.6,0.299569
10,340461476,funestus,1000,2283,0,0,2283,3274,0,28210,161400,80700,770,0,0,0,0,0,269,77,0,2283,0,0,0,5343.7,0.0287168
10,340461476,gambiae,1000,2270,0,0,2270,3365,0,429266,153400,76700,725,0,0,0,0,0,255,70,0,2270,0,0,0,63113.5,0.336925
11,340461476,arabiensis,1000,2016,0,0,2016,3006,0,406445,146000,73000,341,0,357,0,0,0,197,29,29,2016,0,0,0,57526.5,0.361173
11,340461476,funestus,1000,2005,0,0,2005,2980,0,30922,153600,76800,732,0,0,0,0,0,209,69,0,2005,0,0,0,5249.45,0.0331084
11,340461476,gambiae,1000,1993,0,0,1993,3066,0,451807,145400,72700,689,0,0,0,0,0,220,57,0,1993,0,0,0,63716.9,0.411431
12,340461476,arabiensis,1000,1775,0,0,1775,2681,0,425251,123800,61900,278,0,300,0,0,0,178,29,34,1775,0,0,0,58228.3,0.394017
12,340461476,funestus,1000,1779,0,0,1779,2680,0,33179,115200,57600,548,0,0,0,0,0,180,46,0,1779,0,0,0,5584.01,0.0341761
12,340461476,gambiae,1000,1755,0,0,1755,2767,0,472138,123800,61900,594,0,0,0,0,0,192,46,0,1755,0,0,0,65061.2,0.438218
13,340461476,arabiensis,1000,1567,0,0,1567,2418,0,442487,109600,54800,261,0,261,0,0,0,167,21,20,1567,0,0,0,58849.5,0.470342
13,340461476,funestus,1000,1554,0,0,1554,2457,0,35702,111400,55700,529,0,0,0,0,0,162,63,0,1554,0,0,0,5626.66,0.0484723
13,340461476,gambiae,1000,1524,0,0,1524,2509,0,492552,101400,50700,484,0,0,0,0,0,190,41,0,1524,0,0,0,64488.6,0.525535
14,340461476,arabiensis,1000,1360,0,0,1360,2191,0,459489,100400,50200,237,0,246,0,0,0,157,21,29,1360,0,0,0,57692.8,0.536948
