Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0-b0:X-a0-b0,284,0,0,284,0,0,8724
0,1,X-a0-b0:X-a1-b0,187,0,0,187,0,0,5727
0,1,X-a0-b0:X-a0-b1,666,0,0,666,0,0,21686
0,1,X-a0-b0:X-a1-b1,441,0,0,441,0,0,13690
0,1,X-a1-b0:X-a0-b0,185,0,0,185,0,0,6212
0,1,X-a1-b0:X-a1-b0,121,0,0,121,0,0,4089
0,1,X-a1-b0:X-a0-b1,429,0,0,429,0,0,14726
0,1,X-a1-b0:X-a1-b1,293,0,0,293,0,0,9149
0,1,X-a0-b1:X-a0-b0,648,0,0,648,0,0,21988
0,1,X-a0-b1:X-a1-b0,432,0,0,432,0,0,14960
0,1,X-a0-b1:X-a0-b1,1545,0,0,1545,0,0,51650
0,1,X-a0-b1:X-a1-b1,1024,0,0,1024,0,0,33325
0,1,X-a1-b1:X-a0-b0,450,0,0,450,0,0,14830
0,1,X-a1-b1:X-a1-b0,303,0,0,303,0,0,9777
0,1,X-a1-b1:X-a0-b1,1033,0,0,1033,0,0,34186
0,1,X-a1-b1:X-a1-b1,688,0,0,688,0,0,22987
1,1,X-a0-b0:X-a0-b0,244,0,0,244,0,5814,8911
1,1,X-a0-b0:X-a1-b0,163,0,0,163,0,3722,6567
1,1,X-a0-b0:X-a0-b1,570,0,0,570,0,14290,20677
1,1,X-a0-b0:X-a1-b1,382,0,0,382,0,9009,14024
1,1,X-a1-b0:X-a0-b0,161,0,0,161,0,4081,5697
1,1,X-a1-b0:X-a1-b0,109,0,0,109,0,2715,3974
1,1,X-a1-b0:X-a0-b1,380,0,0,380,0,9786,13407
1,1,X-a1-b0:X-a1-b1,254,0,0,254,0,6069,9088
1,1,X-a0-b1:X-a0-b0,561,0,0,561,0,14545,19888
1,1,X-a0-b1:X-a1-b0,370,0,0,370,0,9887,13591
1,1,X-a0-b1:X-a0-b1,1332,0,0,1332,0,34004,48947
1,1,X-a0-b1:X-a1-b1,889,0,0,889,0,21997,32054
1,1,X-a1-b1:X-a0-b0,401,0,0,401,0,9728,12698
1,1,X-a1-b1:X-a1-b0,268,0,0,268,0,6554,9023
1,1,X-a1-b1:X-a0-b1,882,0,0,882,0,22509,31711
1,1,X-a1-b1:X-a1-b1,586,0,0,586,0,15155,20434
2,1,X-a0-b0:X-a0-b0,214,0,0,214,0,8052,8557
2,1,X-a0-b0:X-a1-b0,136,0,0,136,0,5328,5120
2,1,X-a0-b0:X-a0-b1,480,0,0,480,0,19108,18269
2,1,X-a0-b0:X-a1-b1,324,0,0,324,0,12391,11881
2,1,X-a1-b0:X-a0-b0,136,0,0,136,0,5477,5680
2,1,X-a1-b0:X-a1-b0,94,0,0,94,0,3593,3646
2,1,X-a1-b0:X-a0-b1,326,0,0,326,0,12889,12666
2,1,X-a1-b0:X-a1-b1,215,0,0,215,0,8292,8433
2,1,X-a0-b1:X-a0-b0,472,0,0,472,0,19296,18492
2,1,X-a0-b1:X-a1-b0,317,0,0,317,0,13093,12503
2,1,X-a0-b1:X-a0-b1,1175,0,0,1175,0,45810,42180
2,1,X-a0-b1:X-a1-b1,775,0,0,775,0,29877,29342
2,1,X-a1-b1:X-a0-b0,345,0,0,345,0,12628,12116
2,1,X-a1-b1:X-a1-b0,227,0,0,227,0,8684,8286
2,1,X-a1-b1:X-a0-b1,775,0,0,775,0,29994,29632
2,1,X-a1-b1:X-a1-b1,504,0,0,504,0,19910,20298
3,1,X-a0-b0:X-a0-b0,175,0,0,175,0,10547,5365
3,1,X-a0-b0:X-a1-b0,118,0,0,118,0,6733,3563
3,1,X-a0-b0:X-a0-b1,407,0,0,407,0,24281,13412
3,1,X-a0-b0:X-a1-b1,280,0,0,280,0,15826,8489
3,1,X-a1-b0:X-a0-b0,125,0,0,125,0,7118,4049
3,1,X-a1-b0:X-a1-b0,84,0,0,84,0,4671,2647
3,1,X-a1-b0:X-a0-b1,290,0,0,290,0,16482,9322
3,1,X-a1-b0:X-a1-b1,187,0,0,187,0,10684,5600
3,1,X-a0-b1:X-a0-b0,411,0,0,411,0,24599,14438
3,1,X-a0-b1:X-a1-b0,265,0,0,265,0,16742,9638
3,1,X-a0-b1:X-a0-b1,1023,0,0,1023,0,57367,33463
3,1,X-a0-b1:X-a1-b1,652,0,0,652,0,38054,21436
3,1,X-a1-b1:X-a0-b0,295,0,0,295,0,16004,9526
3,1,X-a1-b1:X-a1-b0,187,0,0,187,0,11027,6126
3,1,X-a1-b1:X-a0-b1,667,0,0,667,0,38207,22021
3,1,X-a1-b1:X-a1-b1,425,0,0,425,0,25766,14001
4,1,X-a0-b0:X-a0-b0,149,0,0,149,0,12136,5577
4,1,X-a0-b0:X-a1-b0,102,0,0,102,0,7884,4610
4,1,X-a0-b0:X-a0-b1,353,0,0,353,0,28922,12694
4,1,X-a0-b0:X-a1-b1,244,0,0,244,0,18535,9269
4,1,X-a1-b0:X-a0-b0,104,0,0,104,0,8427,3783
4,1,X-a1-b0:X-a1-b0,77,0,0,77,0,5547,2680
4,1,X-a1-b0:X-a0-b1,250,0,0,250,0,19664,8246
4,1,X-a1-b0:X-a1-b1,155,0,0,155,0,12571,5795
4,1,X-a0-b1:X-a0-b0,349,0,0,349,0,29629,13054
4,1,X-a0-b1:X-a1-b0,221,0,0,221,0,20008,8710
4,1,X-a0-b1:X-a0-b1,872,0,0,872,0,68677,31872
4,1,X-a0-b1:X-a1-b1,561,0,0,561,0,45379,20071
4,1,X-a1-b1:X-a0-b0,251,0,0,251,0,19347,8054
4,1,X-a1-b1:X-a1-b0,165,0,0,165,0,13080,5486
4,1,X-a1-b1:X-a0-b1,572,0,0,572,0,45785,19723
4,1,X-a1-b1:X-a1-b1,369,0,0,369,0,30503,12895
5,1,X-a0-b0:X-a0-b0,131,0,0,131,0,14013,5570
5,1,X-a0-b0:X-a1-b0,92,0,0,92,0,9634,3290
5,1,X-a0-b0:X-a0-b1,298,0,0,298,0,33073,11570
