Time,NodeID,Genome,VectorPopulation
0,1,X-a0:X-a0,8709
0,1,X-a0:X-a1,0
0,1,X-a1:X-a0,0
0,1,X-a1:X-a1,0
1,1,X-a0:X-a0,7549
1,1,X-a0:X-a1,0
1,1,X-a1:X-a0,0
1,1,X-a1:X-a1,0
2,1,X-a0:X-a0,6518
2,1,X-a0:X-a1,0
2,1,X-a1:X-a0,0
2,1,X-a1:X-a1,0
3,1,X-a0:X-a0,5633
3,1,X-a0:X-a1,0
3,1,X-a1:X-a0,0
3,1,X-a1:X-a1,0
4,1,X-a0:X-a0,4802
4,1,X-a0:X-a1,0
4,1,X-a1:X-a0,0
4,1,X-a1:X-a1,0
5,1,X-a0:X-a0,4102
5,1,X-a0:X-a1,0
5,1,X-a1:X-a0,0
5,1,X-a1:X-a1,0
6,1,X-a0:X-a0,3501
6,1,X-a0:X-a1,0
6,1,X-a1:X-a0,0
6,1,X-a1:X-a1,0
7,1,X-a0:X-a0,2962
7,1,X-a0:X-a1,0
7,1,X-a1:X-a0,0
7,1,X-a1:X-a1,0
8,1,X-a0:X-a0,2467
8,1,X-a0:X-a1,0
8,1,X-a1:X-a0,0
8,1,X-a1:X-a1,0
9,1,X-a0:X-a0,2048
9,1,X-a0:X-a1,0
9,1,X-a1:X-a0,0
9,1,X-a1:X-a1,0
10,1,X-a0:X-a0,1683
10,1,X-a0:X-a1,0
10,1,X-a1:X-a0,0
10,1,X-a1:X-a1,0
11,1,X-a0:X-a0,1369
11,1,X-a0:X-a1,0
11,1,X-a1:X-a0,0
11,1,X-a1:X-a1,0
12,1,X-a0:X-a0,1125
12,1,X-a0:X-a1,0
12,1,X-a1:X-a0,0
12,1,X-a1:X-a1,0
13,1,X-a0:X-a0,910
13,1,X-a0:X-a1,0
13,1,X-a1:X-a0,0
13,1,X-a1:X-a1,0
14,1,X-a0:X-a0,738
14,1,X-a0:X-a1,0
14,1,X-a1:X-a0,0
14,1,X-a1:X-a1,0
15,1,X-a0:X-a0,605
15,1,X-a0:X-a1,0
15,1,X-a1:X-a0,0
15,1,X-a1:X-a1,0
16,1,X-a0:X-a0,483
16,1,X-a0:X-a1,0
16,1,X-a1:X-a0,0
16,1,X-a1:X-a1,0
17,1,X-a0:X-a0,373
17,1,X-a0:X-a1,0
17,1,X-a1:X-a0,0
17,1,X-a1:X-a1,0
18,1,X-a0:X-a0,307
18,1,X-a0:X-a1,0
18,1,X-a1:X-a0,0
18,1,X-a1:X-a1,0
19,1,X-a0:X-a0,244
19,1,X-a0:X-a1,0
19,1,X-a1:X-a0,0
19,1,X-a1:X-a1,0
20,1,X-a0:X-a0,196
20,1,X-a0:X-a1,0
20,1,X-a1:X-a0,0
20,1,X-a1:X-a1,0
21,1,X-a0:X-a0,152
21,1,X-a0:X-a1,0
21,1,X-a1:X-a0,0
21,1,X-a1:X-a1,0
22,1,X-a0:X-a0,23389
22,1,X-a0:X-a1,0
22,1,X-a1:X-a0,0
22,1,X-a1:X-a1,0
23,1,X-a0:X-a0,29081
23,1,X-a0:X-a1,0
23,1,X-a1:X-a0,0
23,1,X-a1:X-a1,0
24,1,X-a0:X-a0,36751
24,1,X-a0:X-a1,0
