Time,NodeID,Genome,STATE_MALE
0,1,X-a0:Y-a0,8957
0,1,X-a0:Y-a1,0
0,1,X-a1:Y-a0,0
0,1,X-a1:Y-a1,0
1,1,X-a0:Y-a0,8023
1,1,X-a0:Y-a1,0
1,1,X-a1:Y-a0,0
1,1,X-a1:Y-a1,0
2,1,X-a0:Y-a0,7137
2,1,X-a0:Y-a1,0
2,1,X-a1:Y-a0,0
2,1,X-a1:Y-a1,0
3,1,X-a0:Y-a0,6345
3,1,X-a0:Y-a1,0
3,1,X-a1:Y-a0,0
3,1,X-a1:Y-a1,0
4,1,X-a0:Y-a0,5630
4,1,X-a0:Y-a1,0
4,1,X-a1:Y-a0,0
4,1,X-a1:Y-a1,0
5,1,X-a0:Y-a0,4950
5,1,X-a0:Y-a1,0
5,1,X-a1:Y-a0,0
5,1,X-a1:Y-a1,0
6,1,X-a0:Y-a0,4369
6,1,X-a0:Y-a1,0
6,1,X-a1:Y-a0,0
6,1,X-a1:Y-a1,0
7,1,X-a0:Y-a0,3832
7,1,X-a0:Y-a1,0
7,1,X-a1:Y-a0,0
7,1,X-a1:Y-a1,0
8,1,X-a0:Y-a0,3345
8,1,X-a0:Y-a1,0
8,1,X-a1:Y-a0,0
8,1,X-a1:Y-a1,0
9,1,X-a0:Y-a0,2841
9,1,X-a0:Y-a1,0
9,1,X-a1:Y-a0,0
9,1,X-a1:Y-a1,0
10,1,X-a0:Y-a0,2439
10,1,X-a0:Y-a1,0
10,1,X-a1:Y-a0,0
10,1,X-a1:Y-a1,0
11,1,X-a0:Y-a0,2071
11,1,X-a0:Y-a1,0
11,1,X-a1:Y-a0,0
11,1,X-a1:Y-a1,0
12,1,X-a0:Y-a0,1730
12,1,X-a0:Y-a1,0
12,1,X-a1:Y-a0,0
12,1,X-a1:Y-a1,0
13,1,X-a0:Y-a0,1433
13,1,X-a0:Y-a1,0
13,1,X-a1:Y-a0,0
13,1,X-a1:Y-a1,0
14,1,X-a0:Y-a0,1189
14,1,X-a0:Y-a1,0
14,1,X-a1:Y-a0,0
14,1,X-a1:Y-a1,0
15,1,X-a0:Y-a0,1002
15,1,X-a0:Y-a1,0
15,1,X-a1:Y-a0,0
15,1,X-a1:Y-a1,0
16,1,X-a0:Y-a0,824
16,1,X-a0:Y-a1,0
16,1,X-a1:Y-a0,0
16,1,X-a1:Y-a1,0
17,1,X-a0:Y-a0,675
17,1,X-a0:Y-a1,0
17,1,X-a1:Y-a0,0
17,1,X-a1:Y-a1,0
18,1,X-a0:Y-a0,545
18,1,X-a0:Y-a1,0
18,1,X-a1:Y-a0,0
18,1,X-a1:Y-a1,0
19,1,X-a0:Y-a0,449
19,1,X-a0:Y-a1,0
19,1,X-a1:Y-a0,0
19,1,X-a1:Y-a1,0
20,1,X-a0:Y-a0,357
