Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
1000,26,X-a0-b0:X-a0-b0,0,0,0,0,0,0,0
1000,26,X-a0-b0:X-a1-b0,0,0,0,0,0,0,0
1000,26,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
1000,26,X-a0-b0:X-a1-b1,0,0,0,0,0,0,0
1000,26,X-a1-b0:X-a0-b0,0,0,0,0,0,0,0
1000,26,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0
1000,26,X-a1-b0:X-a0-b1,0,0,0,0,0,0,0
1000,26,X-a1-b0:X-a1-b1,0,0,0,0,0,0,0
1000,26,X-a0-b1:X-a0-b0,0,0,0,0,0,0,0
1000,26,X-a0-b1:X-a1-b0,0,0,0,0,0,0,0
1000,26,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0
1000,26,X-a0-b1:X-a1-b1,0,0,0,0,0,0,0
1000,26,X-a1-b1:X-a0-b0,0,0,0,0,0,0,0
1000,26,X-a1-b1:X-a1-b0,0,0,0,0,0,0,0
1000,26,X-a1-b1:X-a0-b1,0,0,0,0,0,0,0
1000,26,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0
1000,25,X-a0-b0:X-a0-b0,0,0,0,0,0,0,0
1000,25,X-a0-b0:X-a1-b0,0,0,0,0,0,3,0
1000,25,X-a0-b0:X-a0-b1,0,0,0,0,0,3,113
1000,25,X-a0-b0:X-a1-b1,1,0,0,1,1,33,1687
1000,25,X-a1-b0:X-a0-b0,0,0,0,0,0,2,150
1000,25,X-a1-b0:X-a1-b0,8,0,0,8,4,33,450
1000,25,X-a1-b0:X-a0-b1,4,0,0,4,7,45,1163
1000,25,X-a1-b0:X-a1-b1,60,0,0,60,38,700,18238
1000,25,X-a0-b1:X-a0-b0,0,0,0,0,0,2,0
1000,25,X-a0-b1:X-a1-b0,8,0,1,7,6,40,1800
1000,25,X-a0-b1:X-a0-b1,6,0,0,6,5,41,1913
1000,25,X-a0-b1:X-a1-b1,52,0,0,52,35,486,21287
1000,25,X-a1-b1:X-a0-b0,9,0,1,8,5,46,550
1000,25,X-a1-b1:X-a1-b0,95,0,0,95,82,797,29850
1000,25,X-a1-b1:X-a0-b1,88,0,0,88,50,733,25763
1000,25,X-a1-b1:X-a1-b1,1074,0,0,1074,826,11543,382637
1000,24,X-a0-b0:X-a0-b0,0,0,0,0,0,0,0
1000,24,X-a0-b0:X-a1-b0,0,0,0,0,0,1,225
1000,24,X-a0-b0:X-a0-b1,0,0,0,0,0,0,0
1000,24,X-a0-b0:X-a1-b1,5,0,1,4,2,33,1125
1000,24,X-a1-b0:X-a0-b0,0,0,0,0,0,5,150
1000,24,X-a1-b0:X-a1-b0,6,0,0,6,3,39,1775
1000,24,X-a1-b0:X-a0-b1,8,0,0,8,5,61,1350
1000,24,X-a1-b0:X-a1-b1,69,0,0,69,57,643,25275
1000,24,X-a0-b1:X-a0-b0,0,0,0,0,1,0,0
1000,24,X-a0-b1:X-a1-b0,5,0,1,4,6,44,1725
1000,24,X-a0-b1:X-a0-b1,2,0,0,2,7,30,1200
1000,24,X-a0-b1:X-a1-b1,67,0,0,67,55,545,19825
1000,24,X-a1-b1:X-a0-b0,11,0,0,11,7,71,950
1000,24,X-a1-b1:X-a1-b0,109,0,0,109,84,888,24675
1000,24,X-a1-b1:X-a0-b1,62,0,0,62,47,798,27350
1000,24,X-a1-b1:X-a1-b1,1021,0,0,1021,766,11254,352575
1000,23,X-a0-b0:X-a0-b0,0,0,0,0,0,0,0
1000,23,X-a0-b0:X-a1-b0,0,0,0,0,0,1,0
1000,23,X-a0-b0:X-a0-b1,0,0,0,0,0,1,225
1000,23,X-a0-b0:X-a1-b1,5,0,2,3,0,30,1440
1000,23,X-a1-b0:X-a0-b0,0,0,0,0,1,3,0
1000,23,X-a1-b0:X-a1-b0,6,0,0,6,4,70,1500
1000,23,X-a1-b0:X-a0-b1,5,0,3,2,3,56,1725
1000,23,X-a1-b0:X-a1-b1,64,0,0,64,43,674,18839
1000,23,X-a0-b1:X-a0-b0,0,0,0,0,0,11,300
1000,23,X-a0-b1:X-a1-b0,3,0,0,3,7,51,2100
1000,23,X-a0-b1:X-a0-b1,2,0,0,2,1,57,1426
1000,23,X-a0-b1:X-a1-b1,58,0,0,58,37,582,18039
1000,23,X-a1-b1:X-a0-b0,7,0,0,7,14,70,1500
1000,23,X-a1-b1:X-a1-b0,86,0,0,86,51,815,28000
1000,23,X-a1-b1:X-a0-b1,92,0,0,92,84,778,31326
1000,23,X-a1-b1:X-a1-b1,1061,0,0,1061,853,11186,328240
1000,22,X-a0-b0:X-a0-b0,0,0,0,0,0,0,56
1000,22,X-a0-b0:X-a1-b0,0,0,0,0,0,4,168
1000,22,X-a0-b0:X-a0-b1,0,0,0,0,1,3,56
