Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0:X-a0,8736,0,0,8736,0,0,288000
0,1,X-a0:X-a1,0,0,0,0,0,0,0
0,1,X-a1:X-a0,0,0,0,0,0,0,0
0,1,X-a1:X-a1,0,0,0,0,0,0,0
1,1,X-a0:X-a0,7539,0,0,7539,0,189821,271000
1,1,X-a0:X-a1,0,0,0,0,0,0,0
1,1,X-a1:X-a0,0,0,0,0,0,0,0
1,1,X-a1:X-a1,0,0,0,0,0,0,0
2,1,X-a0:X-a0,6520,0,0,6520,0,255027,247800
2,1,X-a0:X-a1,0,0,0,0,0,0,0
2,1,X-a1:X-a0,0,0,0,0,0,0,0
2,1,X-a1:X-a1,0,0,0,0,0,0,0
3,1,X-a0:X-a0,5637,0,0,5637,0,324244,179300
3,1,X-a0:X-a1,0,0,0,0,0,0,0
3,1,X-a1:X-a0,0,0,0,0,0,0,0
3,1,X-a1:X-a1,0,0,0,0,0,0,0
4,1,X-a0:X-a0,4796,0,0,4796,0,386830,170900
4,1,X-a0:X-a1,0,0,0,0,0,0,0
4,1,X-a1:X-a0,0,0,0,0,0,0,0
4,1,X-a1:X-a1,0,0,0,0,0,0,0
5,1,X-a0:X-a0,4114,0,0,4114,0,443334,160900
5,1,X-a0:X-a1,0,0,0,0,0,0,0
5,1,X-a1:X-a0,0,0,0,0,0,0,0
5,1,X-a1:X-a1,0,0,0,0,0,0,0
6,1,X-a0:X-a0,3528,0,0,3528,0,495192,112300
6,1,X-a0:X-a1,0,0,0,0,0,0,0
6,1,X-a1:X-a0,0,0,0,0,0,0,0
6,1,X-a1:X-a1,0,0,0,0,0,0,0
7,1,X-a0:X-a0,2975,0,0,2975,0,542707,106800
7,1,X-a0:X-a1,0,0,0,0,0,0,0
7,1,X-a1:X-a0,0,0,0,0,0,0,0
7,1,X-a1:X-a1,0,0,0,0,0,0,0
8,1,X-a0:X-a0,2474,0,0,2474,0,586066,100200
8,1,X-a0:X-a1,0,0,0,0,0,0,0
8,1,X-a1:X-a0,0,0,0,0,0,0,0
8,1,X-a1:X-a1,0,0,0,0,0,0,0
9,1,X-a0:X-a0,2068,0,0,2068,0,625863,63000
9,1,X-a0:X-a1,0,0,0,0,0,0,0
9,1,X-a1:X-a0,0,0,0,0,0,0,0
9,1,X-a1:X-a1,0,0,0,0,0,0,0
10,1,X-a0:X-a0,1751,0,0,1751,0,628909,61900
10,1,X-a0:X-a1,0,0,0,0,0,0,0
10,1,X-a1:X-a0,0,0,0,0,0,0,0
10,1,X-a1:X-a1,0,0,0,0,0,0,0
11,1,X-a0:X-a0,1410,0,0,1410,0,631093,61000
11,1,X-a0:X-a1,0,0,0,0,0,0,0
11,1,X-a1:X-a0,0,0,0,0,0,0,0
11,1,X-a1:X-a1,0,0,0,0,0,0,0
12,1,X-a0:X-a0,1191,0,0,1191,0,632460,33500
12,1,X-a0:X-a1,0,0,0,0,0,0,0
12,1,X-a1:X-a0,0,0,0,0,0,0,0
12,1,X-a1:X-a1,0,0,0,0,0,0,0
13,1,X-a0:X-a0,990,0,0,990,0,605804,36000
13,1,X-a0:X-a1,0,0,0,0,0,0,0
13,1,X-a1:X-a0,0,0,0,0,0,0,0
13,1,X-a1:X-a1,0,0,0,0,0,0,0
14,1,X-a0:X-a0,788,0,0,788,0,584620,35300
14,1,X-a0:X-a1,0,0,0,0,0,0,0
14,1,X-a1:X-a0,0,0,0,0,0,0,0
14,1,X-a1:X-a1,0,0,0,0,0,0,0
15,1,X-a0:X-a0,640,0,0,640,0,564426,18000
15,1,X-a0:X-a1,0,0,0,0,0,0,0
15,1,X-a1:X-a0,0,0,0,0,0,0,0
15,1,X-a1:X-a1,0,0,0,0,0,0,0
16,1,X-a0:X-a0,495,0,0,495,0,528831,17800
16,1,X-a0:X-a1,0,0,0,0,0,0,0
16,1,X-a1:X-a0,0,0,0,0,0,0,0
16,1,X-a1:X-a1,0,0,0,0,0,0,0
17,1,X-a0:X-a0,415,0,0,415,0,496352,16400
17,1,X-a0:X-a1,0,0,0,0,0,0,0
17,1,X-a1:X-a0,0,0,0,0,0,0,0
17,1,X-a1:X-a1,0,0,0,0,0,0,0
