Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0:X-a0,8709,0,0,8709,0,0,292400
0,1,X-a0:X-a1,0,0,0,0,0,0,0
0,1,X-a1:X-a0,0,0,0,0,0,0,0
0,1,X-a1:X-a1,0,0,0,0,0,0,0
1,1,X-a0:X-a0,7549,0,0,7549,0,94886,270100
1,1,X-a0:X-a1,0,0,0,0,0,0,0
1,1,X-a1:X-a0,0,0,0,0,0,0,0
1,1,X-a1:X-a1,0,0,0,0,0,0,0
2,1,X-a0:X-a0,6518,0,0,6518,0,126872,244900
2,1,X-a0:X-a1,0,0,0,0,0,0,0
2,1,X-a1:X-a0,0,0,0,0,0,0,0
2,1,X-a1:X-a1,0,0,0,0,0,0,0
3,1,X-a0:X-a0,5621,0,0,5621,0,161919,188400
3,1,X-a0:X-a1,0,0,0,0,0,0,0
3,1,X-a1:X-a0,0,0,0,0,0,0,0
3,1,X-a1:X-a1,0,0,0,0,0,0,0
4,1,X-a0:X-a0,4791,0,0,4791,0,193251,173100
4,1,X-a0:X-a1,0,0,0,0,0,0,0
4,1,X-a1:X-a0,0,0,0,0,0,0,0
4,1,X-a1:X-a1,0,0,0,0,0,0,0
5,1,X-a0:X-a0,4094,0,0,4094,0,221802,155800
5,1,X-a0:X-a1,0,0,0,0,0,0,0
5,1,X-a1:X-a0,0,0,0,0,0,0,0
5,1,X-a1:X-a1,0,0,0,0,0,0,0
6,1,X-a0:X-a0,3500,0,0,3500,0,247930,115300
6,1,X-a0:X-a1,0,0,0,0,0,0,0
6,1,X-a1:X-a0,0,0,0,0,0,0,0
6,1,X-a1:X-a1,0,0,0,0,0,0,0
7,1,X-a0:X-a0,2962,0,0,2962,0,271472,104700
7,1,X-a0:X-a1,0,0,0,0,0,0,0
7,1,X-a1:X-a0,0,0,0,0,0,0,0
7,1,X-a1:X-a1,0,0,0,0,0,0,0
8,1,X-a0:X-a0,2467,0,0,2467,0,292768,98400
8,1,X-a0:X-a1,0,0,0,0,0,0,0
8,1,X-a1:X-a0,0,0,0,0,0,0,0
8,1,X-a1:X-a1,0,0,0,0,0,0,0
9,1,X-a0:X-a0,2058,0,0,2058,0,312565,66700
9,1,X-a0:X-a1,0,0,0,0,0,0,0
9,1,X-a1:X-a0,0,0,0,0,0,0,0
9,1,X-a1:X-a1,0,0,0,0,0,0,0
10,1,X-a0:X-a0,1696,0,0,1696,0,331007,58500
10,1,X-a0:X-a1,0,0,0,0,0,0,0
10,1,X-a1:X-a0,0,0,0,0,0,0,0
10,1,X-a1:X-a1,0,0,0,0,0,0,0
11,1,X-a0:X-a0,1389,0,0,1389,0,347206,55500
11,1,X-a0:X-a1,0,0,0,0,0,0,0
11,1,X-a1:X-a0,0,0,0,0,0,0,0
11,1,X-a1:X-a1,0,0,0,0,0,0,0
12,1,X-a0:X-a0,1146,0,0,1146,0,362738,36100
12,1,X-a0:X-a1,0,0,0,0,0,0,0
12,1,X-a1:X-a0,0,0,0,0,0,0,0
12,1,X-a1:X-a1,0,0,0,0,0,0,0
13,1,X-a0:X-a0,926,0,0,926,0,364092,34100
13,1,X-a0:X-a1,0,0,0,0,0,0,0
13,1,X-a1:X-a0,0,0,0,0,0,0,0
13,1,X-a1:X-a1,0,0,0,0,0,0,0
14,1,X-a0:X-a0,740,0,0,740,0,363533,28700
14,1,X-a0:X-a1,0,0,0,0,0,0,0
14,1,X-a1:X-a0,0,0,0,0,0,0,0
14,1,X-a1:X-a1,0,0,0,0,0,0,0
15,1,X-a0:X-a0,600,0,0,600,0,357662,19500
15,1,X-a0:X-a1,0,0,0,0,0,0,0
15,1,X-a1:X-a0,0,0,0,0,0,0,0
15,1,X-a1:X-a1,0,0,0,0,0,0,0
16,1,X-a0:X-a0,489,0,0,489,0,343233,17000
16,1,X-a0:X-a1,0,0,0,0,0,0,0
