Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,2147,0,0,2147,0,0,74825
0,340461476,X-a0:X-a1,2210,0,0,2210,0,0,74075
0,340461476,X-a1:X-a0,2204,0,0,2204,0,0,75825
0,340461476,X-a1:X-a1,2188,0,0,2188,0,0,75175
1,340461476,X-a0:X-a0,1870,0,0,1870,0,2605,68200
1,340461476,X-a0:X-a1,1915,0,0,1915,0,2539,66750
1,340461476,X-a1:X-a0,1935,0,0,1935,0,2611,69050
1,340461476,X-a1:X-a1,1930,0,0,1930,0,2592,67000
2,340461476,X-a0:X-a0,1640,0,0,1640,0,3454,62100
2,340461476,X-a0:X-a1,1677,0,0,1677,0,3393,61350
2,340461476,X-a1:X-a0,1704,0,0,1704,0,3479,62850
2,340461476,X-a1:X-a1,1669,0,0,1669,0,3384,61700
3,340461476,X-a0:X-a0,1444,0,0,1444,0,4301,50600
3,340461476,X-a0:X-a1,1455,0,0,1455,0,4248,50000
3,340461476,X-a1:X-a0,1504,0,0,1504,0,4338,51550
3,340461476,X-a1:X-a1,1464,0,0,1464,0,4200,51150
4,340461476,X-a0:X-a0,1245,0,0,1245,0,5116,44375
4,340461476,X-a0:X-a1,1267,0,0,1267,0,5027,43775
4,340461476,X-a1:X-a0,1308,0,0,1308,0,5123,45225
4,340461476,X-a1:X-a1,1280,0,0,1280,0,5011,45025
5,340461476,X-a0:X-a0,1089,0,0,1089,0,5761,41275
5,340461476,X-a0:X-a1,1120,0,0,1120,0,5661,43125
5,340461476,X-a1:X-a0,1156,0,0,1156,0,5775,41625
5,340461476,X-a1:X-a1,1117,0,0,1117,0,5668,41075
6,340461476,X-a0:X-a0,940,0,0,940,0,6317,34625
6,340461476,X-a0:X-a1,966,0,0,966,0,6215,32925
6,340461476,X-a1:X-a0,1007,0,0,1007,0,6396,35775
6,340461476,X-a1:X-a1,979,0,0,979,0,6224,34175
7,340461476,X-a0:X-a0,831,0,0,831,0,6790,29875
7,340461476,X-a0:X-a1,854,0,0,854,0,6709,29775
7,340461476,X-a1:X-a0,882,0,0,882,0,6935,30775
7,340461476,X-a1:X-a1,863,0,0,863,0,6714,30175
8,340461476,X-a0:X-a0,740,0,0,740,0,7273,26675
8,340461476,X-a0:X-a1,730,0,0,730,0,7143,28475
8,340461476,X-a1:X-a0,772,0,0,772,0,7497,27425
8,340461476,X-a1:X-a1,769,0,0,769,0,7169,28225
9,340461476,X-a0:X-a0,642,0,0,642,0,7673,22800
9,340461476,X-a0:X-a1,626,0,0,626,0,7599,21450
9,340461476,X-a1:X-a0,667,0,0,667,0,7925,23000
