Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0:X-a0,2147,0,0,2147,0,0,74825
0,1,X-a0:X-a1,2210,0,0,2210,0,0,74075
0,1,X-a1:X-a0,2204,0,0,2204,0,0,75825
0,1,X-a1:X-a1,2188,0,0,2188,0,0,75175
0,2,X-a0:X-a0,2178,0,0,2178,0,0,73950
0,2,X-a0:X-a1,2207,0,0,2207,0,0,74900
0,2,X-a1:X-a0,2168,0,0,2168,0,0,75350
0,2,X-a1:X-a1,2218,0,0,2218,0,0,77800
1,1,X-a0:X-a0,1867,0,0,1867,0,2564,68175
1,1,X-a0:X-a1,1920,0,0,1920,0,2542,67025
1,1,X-a1:X-a0,1948,0,0,1948,0,2598,67275
1,1,X-a1:X-a1,1911,0,0,1911,0,2570,67225
1,2,X-a0:X-a0,1881,0,0,1881,0,2584,66575
1,2,X-a0:X-a1,1960,0,0,1960,0,2539,67575
1,2,X-a1:X-a0,1881,0,0,1881,0,2533,67975
1,2,X-a1:X-a1,1950,0,0,1950,0,2675,69975
2,1,X-a0:X-a0,1620,0,0,1620,0,3384,61650
2,1,X-a0:X-a1,1687,0,0,1687,0,3409,62350
2,1,X-a1:X-a0,1692,0,0,1692,0,3387,62950
2,1,X-a1:X-a1,1678,0,0,1678,0,3423,64050
2,2,X-a0:X-a0,1661,0,0,1661,0,3411,64100
2,2,X-a0:X-a1,1694,0,0,1694,0,3370,61000
2,2,X-a1:X-a0,1654,0,0,1654,0,3377,63050
2,2,X-a1:X-a1,1716,0,0,1716,0,3548,58850
3,1,X-a0:X-a0,1393,0,0,1393,0,4213,50025
3,1,X-a0:X-a1,1492,0,0,1492,0,4308,50025
3,1,X-a1:X-a0,1499,0,0,1499,0,4242,51175
3,1,X-a1:X-a1,1486,0,0,1486,0,4302,50675
3,2,X-a0:X-a0,1442,0,0,1442,0,4342,48850
3,2,X-a0:X-a1,1501,0,0,1501,0,4262,49800
3,2,X-a1:X-a0,1450,0,0,1450,0,4269,51300
3,2,X-a1:X-a1,1521,0,0,1521,0,4364,51650
4,1,X-a0:X-a0,1207,0,0,1207,0,4945,44725
4,1,X-a0:X-a1,1316,0,0,1316,0,5073,44725
4,1,X-a1:X-a0,1287,0,0,1287,0,5007,46375
4,1,X-a1:X-a1,1305,0,0,1305,0,5038,45275
4,2,X-a0:X-a0,1255,0,0,1255,0,4978,45575
4,2,X-a0:X-a1,1322,0,0,1322,0,4993,44425
4,2,X-a1:X-a0,1262,0,0,1262,0,4942,47775
4,2,X-a1:X-a1,1330,0,0,1330,0,5079,48325
5,1,X-a0:X-a0,1039,0,0,1039,0,5628,39600
5,1,X-a0:X-a1,1146,0,0,1146,0,5728,40400
5,1,X-a1:X-a0,1110,0,0,1110,0,5692,40550
5,1,X-a1:X-a1,1133,0,0,1133,0,5653,43450
5,2,X-a0:X-a0,1083,0,0,1083,0,5703,41950
5,2,X-a0:X-a1,1164,0,0,1164,0,5636,41900
5,2,X-a1:X-a0,1096,0,0,1096,0,5700,42600
5,2,X-a1:X-a1,1171,0,0,1171,0,5736,40050
6,1,X-a0:X-a0,929,0,0,929,0,6190,32900
6,1,X-a0:X-a1,1010,0,0,1010,0,6312,33650
6,1,X-a1:X-a0,977,0,0,977,0,6247,35450
6,1,X-a1:X-a1,1001,0,0,1001,0,6304,33900
6,2,X-a0:X-a0,943,0,0,943,0,6274,32250
6,2,X-a0:X-a1,1011,0,0,1011,0,6227,33000
6,2,X-a1:X-a0,967,0,0,967,0,6330,34200
6,2,X-a1:X-a1,1005,0,0,1005,0,6257,34250
7,1,X-a0:X-a0,816,0,0,816,0,6691,29075
7,1,X-a0:X-a1,873,0,0,873,0,6755,30025
7,1,X-a1:X-a0,859,0,0,859,0,6811,29925
7,1,X-a1:X-a1,883,0,0,883,0,6804,30375
7,2,X-a0:X-a0,825,0,0,825,0,6768,31400
7,2,X-a0:X-a1,893,0,0,893,0,6692,29100
7,2,X-a1:X-a0,857,0,0,857,0,6900,32350
7,2,X-a1:X-a1,897,0,0,897,0,6826,33050
8,1,X-a0:X-a0,704,0,0,704,0,7131,25300
