Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,AvailableHabitat,EggCrowdingCorrection
0,340461476,pyrethroid_resistant,1000,8751,0,0,8751,9072,0,0,600800,300400,1466,0,1372,0,0,0,966,147,136,46694.9,1
0,340461476,carbamate_resistant,1000,8740,0,0,8740,9096,0,0,601200,300600,1440,0,1419,0,0,0,982,131,147,46694.9,1
0,340461476,organochlorines_resistant,1000,8775,0,0,8775,9055,0,0,589200,294600,1355,0,1433,0,0,0,970,136,119,46694.9,1
1,340461476,pyrethroid_resistant,1000,7696,0,0,7696,8133,0,46518,552800,276400,1321,0,1299,0,0,0,806,127,122,19491,0.0777211
1,340461476,carbamate_resistant,1000,7703,0,0,7703,8233,0,46962,554600,277300,1317,0,1320,0,0,0,813,107,117,19047,0.0776694
1,340461476,organochlorines_resistant,1000,7697,0,0,7697,8213,0,46919,549000,274500,1296,0,1304,0,0,0,821,138,119,19090,0.0792513
2,340461476,pyrethroid_resistant,1000,6775,0,0,6775,7351,0,61708,486800,243400,1141,0,1180,0,0,0,709,107,105,21343.5,0.0352587
2,340461476,carbamate_resistant,1000,6773,0,0,6773,7455,0,61776,492000,246000,1178,0,1139,0,0,0,719,116,95,21275.5,0.0343437
2,340461476,organochlorines_resistant,1000,6734,0,0,6734,7421,0,61308,500800,250400,1150,0,1237,0,0,0,719,112,132,21743.5,0.0347723
3,340461476,pyrethroid_resistant,1000,5915,0,0,5915,6640,0,77277,407600,203800,969,0,970,0,0,0,688,91,81,20812.4,0.0438444
3,340461476,carbamate_resistant,1000,5926,0,0,5926,6746,0,77326,403200,201600,944,0,984,0,0,0,662,93,92,20763.4,0.0432428
3,340461476,organochlorines_resistant,1000,5855,0,0,5855,6702,0,77329,402800,201400,968,0,951,0,0,0,679,95,105,20760.4,0.0434174
