Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,AvailableHabitat,EggCrowdingCorrection
0,340461476,pyrethroid_resistant,1000,8751,0,0,8751,9072,0,0,600800,300400,1466,0,1372,0,0,0,966,147,136,46694.9,1
0,340461476,carbamate_resistant,1000,8740,0,0,8740,9096,0,0,601200,300600,1440,0,1419,0,0,0,982,131,147,46694.9,1
0,340461476,organochlorines_resistant,1000,8775,0,0,8775,9055,0,0,589200,294600,1355,0,1433,0,0,0,970,136,119,46694.9,1
1,340461476,pyrethroid_resistant,1000,7693,0,0,7693,8215,0,46727,552800,276400,1337,0,1298,0,0,0,800,129,129,19282,0.0777211
1,340461476,carbamate_resistant,1000,7618,0,0,7618,8208,0,46759,548400,274200,1280,0,1303,0,0,0,860,124,138,19250,0.0776694
1,340461476,organochlorines_resistant,1000,7649,0,0,7649,8145,0,46827,544000,272000,1269,0,1314,0,0,0,869,134,123,19182,0.0792513
2,340461476,pyrethroid_resistant,999,6684,0,0,6684,7475,0,61359,494400,247200,1170,0,1187,0,0,0,753,134,122,21692.5,0.0348806
2,340461476,carbamate_resistant,999,6646,0,0,6646,7394,0,61777,485200,242600,1147,0,1149,0,0,0,720,144,108,21274.5,0.0351021
2,340461476,organochlorines_resistant,999,6692,0,0,6692,7352,0,61480,500400,250200,1192,0,1179,0,0,0,727,120,110,21571.5,0.035261
3,340461476,pyrethroid_resistant,999,5794,0,0,5794,6766,0,77027,392400,196200,920,0,935,0,0,0,705,101,84,21062.4,0.0438763
3,340461476,carbamate_resistant,999,5826,0,0,5826,6716,0,77114,402600,201300,944,0,946,0,0,0,632,95,93,20975.4,0.0438468
3,340461476,organochlorines_resistant,999,5859,0,0,5859,6671,0,77179,397600,198800,948,0,939,0,0,0,644,108,81,20910.4,0.0431084
