Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,2241,0,0,2241,0,0,74275
0,340461476,X-a0:X-a1,2272,0,0,2272,0,0,74975
0,340461476,X-a1:X-a0,2223,0,0,2223,0,0,76675
0,340461476,X-a1:X-a1,2257,0,0,2257,0,0,76975
1,340461476,X-a0:X-a0,2012,0,0,2012,0,23037,68725
1,340461476,X-a0:X-a1,2066,0,0,2066,0,23060,66775
1,340461476,X-a1:X-a0,2039,0,0,2039,0,23672,67925
1,340461476,X-a1:X-a1,2025,0,0,2025,0,23730,66275
2,340461476,X-a0:X-a0,1818,0,0,1818,0,30809,61125
2,340461476,X-a0:X-a1,1851,0,0,1851,0,30394,63225
2,340461476,X-a1:X-a0,1842,0,0,1842,0,31195,60625
2,340461476,X-a1:X-a1,1827,0,0,1827,0,30948,62225
3,340461476,X-a0:X-a0,1634,0,0,1634,0,38519,54500
3,340461476,X-a0:X-a1,1662,0,0,1662,0,38327,56750
3,340461476,X-a1:X-a0,1651,0,0,1651,0,38871,55700
3,340461476,X-a1:X-a1,1628,0,0,1628,0,38739,57550
4,340461476,X-a0:X-a0,1479,0,0,1479,0,45070,50225
4,340461476,X-a0:X-a1,1519,0,0,1519,0,45267,48625
4,340461476,X-a1:X-a0,1483,0,0,1483,0,45571,48625
4,340461476,X-a1:X-a1,1457,0,0,1457,0,45914,47725
5,340461476,X-a0:X-a0,1328,0,0,1328,0,51495,43250
5,340461476,X-a0:X-a1,1391,0,0,1391,0,51228,46050
5,340461476,X-a1:X-a0,1335,0,0,1335,0,51396,44650
5,340461476,X-a1:X-a1,1313,0,0,1313,0,51624,45250
6,340461476,X-a0:X-a0,1178,0,0,1178,0,56225,40950
6,340461476,X-a0:X-a1,1247,0,0,1247,0,56748,42050
6,340461476,X-a1:X-a0,1229,0,0,1229,0,56795,41150
6,340461476,X-a1:X-a1,1194,0,0,1194,0,57028,42850
7,340461476,X-a0:X-a0,1072,0,0,1072,0,60743,37500
7,340461476,X-a0:X-a1,1131,0,0,1131,0,61552,36000
7,340461476,X-a1:X-a0,1116,0,0,1116,0,61149,36400
7,340461476,X-a1:X-a1,1091,0,0,1091,0,61714,35700
8,340461476,X-a0:X-a0,962,0,0,962,0,65276,31650
8,340461476,X-a0:X-a1,1031,0,0,1031,0,65505,33250
8,340461476,X-a1:X-a0,1005,0,0,1005,0,65376,32100
8,340461476,X-a1:X-a1,968,0,0,968,0,65734,33100
9,340461476,X-a0:X-a0,882,0,0,882,0,68583,30425
9,340461476,X-a0:X-a1,923,0,0,923,0,69296,30275
9,340461476,X-a1:X-a0,923,0,0,923,0,68695,31175
9,340461476,X-a1:X-a1,868,0,0,868,0,69318,31825
10,340461476,X-a0:X-a0,789,0,0,789,0,71807,27975
10,340461476,X-a0:X-a1,834,0,0,834,0,72233,27425
10,340461476,X-a1:X-a0,836,0,0,836,0,72124,27375
10,340461476,X-a1:X-a1,789,0,0,789,0,73138,26725
11,340461476,X-a0:X-a0,703,0,0,703,0,74807,24200
11,340461476,X-a0:X-a1,766,0,0,766,0,75016,24850
11,340461476,X-a1:X-a0,759,0,0,759,0,74765,23950
11,340461476,X-a1:X-a1,710,0,0,710,0,75363,25300
12,340461476,X-a0:X-a0,634,0,0,634,7705,69373,22175
12,340461476,X-a0:X-a1,689,0,0,689,7721,70057,22875
12,340461476,X-a1:X-a0,681,0,0,681,7855,69216,22425
12,340461476,X-a1:X-a1,641,0,0,641,7849,70321,23425
13,340461476,X-a0:X-a0,567,0,0,567,10337,76196,19250
13,340461476,X-a0:X-a1,625,0,0,625,10133,77805,19150
13,340461476,X-a1:X-a0,619,0,0,619,10321,76413,19700
13,340461476,X-a1:X-a1,592,0,0,592,10179,78476,18700
14,340461476,X-a0:X-a0,514,0,0,514,12860,77604,18425
14,340461476,X-a0:X-a1,567,0,0,567,12835,78943,18475
14,340461476,X-a1:X-a0,569,0,0,569,12957,77889,18275
14,340461476,X-a1:X-a1,541,0,0,541,12773,79163,19325
15,340461476,X-a0:X-a0,464,0,0,464,15065,79533,16475
15,340461476,X-a0:X-a1,513,0,0,513,15133,80532,16475
15,340461476,X-a1:X-a0,510,0,0,510,15232,79554,17175
15,340461476,X-a1:X-a1,489,0,0,489,15163,81369,17875
16,340461476,X-a0:X-a0,5622,0,0,5622,12033,80601,14325
16,340461476,X-a0:X-a1,5662,0,0,5662,11956,81845,14625
16,340461476,X-a1:X-a0,5750,0,0,5750,11873,81329,14425
16,340461476,X-a1:X-a1,5686,0,0,5686,11811,83656,13325
17,340461476,X-a0:X-a0,7292,0,0,7292,11911,82354,14100
17,340461476,X-a0:X-a1,7234,0,0,7234,12168,83611,13700
17,340461476,X-a1:X-a0,7369,0,0,7369,11850,82829,13800
17,340461476,X-a1:X-a1,7204,0,0,7204,11922,84099,14600
18,340461476,X-a0:X-a0,8993,0,0,8993,11686,83741,11750
