Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,2250,0,0,2250,0,0,74625
0,340461476,X-a0:X-a1,2260,0,0,2260,0,0,74725
0,340461476,X-a1:X-a0,2251,0,0,2251,0,0,75575
0,340461476,X-a1:X-a1,2237,0,0,2237,0,0,76075
1,340461476,X-a0:X-a0,2028,0,0,2028,0,23061,68800
1,340461476,X-a0:X-a1,2019,0,0,2019,0,23243,67300
1,340461476,X-a1:X-a0,2031,0,0,2031,0,23615,68500
1,340461476,X-a1:X-a1,2033,0,0,2033,0,23607,65700
2,340461476,X-a0:X-a0,1829,0,0,1829,0,30566,62150
2,340461476,X-a0:X-a1,1807,0,0,1807,0,30754,61750
2,340461476,X-a1:X-a0,1821,0,0,1821,0,31216,62100
2,340461476,X-a1:X-a1,1847,0,0,1847,0,30599,62500
3,340461476,X-a0:X-a0,1643,0,0,1643,0,38444,53775
3,340461476,X-a0:X-a1,1630,0,0,1630,0,38636,54075
3,340461476,X-a1:X-a0,1640,0,0,1640,0,38924,55075
3,340461476,X-a1:X-a1,1672,0,0,1672,0,38401,54875
4,340461476,X-a0:X-a0,1470,0,0,1470,0,45193,50050
4,340461476,X-a0:X-a1,1481,0,0,1481,0,45362,48100
4,340461476,X-a1:X-a0,1491,0,0,1491,0,45899,50300
4,340461476,X-a1:X-a1,1494,0,0,1494,0,45303,48050
5,340461476,X-a0:X-a0,1324,0,0,1324,0,51376,47050
5,340461476,X-a0:X-a1,1337,0,0,1337,0,51050,45650
5,340461476,X-a1:X-a0,1355,0,0,1355,0,52112,46900
5,340461476,X-a1:X-a1,1342,0,0,1342,0,50921,45200
6,340461476,X-a0:X-a0,1203,0,0,1203,0,56944,39325
6,340461476,X-a0:X-a1,1221,0,0,1221,0,56328,39075
6,340461476,X-a1:X-a0,1228,0,0,1228,0,57737,40425
6,340461476,X-a1:X-a1,1215,0,0,1215,0,56151,40375
7,340461476,X-a0:X-a0,1084,0,0,1084,0,61476,37175
7,340461476,X-a0:X-a1,1098,0,0,1098,0,60696,36825
7,340461476,X-a1:X-a0,1110,0,0,1110,0,62213,37025
7,340461476,X-a1:X-a1,1084,0,0,1084,0,61318,35775
8,340461476,X-a0:X-a0,973,0,0,973,0,65695,33900
8,340461476,X-a0:X-a1,993,0,0,993,0,64839,33300
8,340461476,X-a1:X-a0,992,0,0,992,0,66048,34250
8,340461476,X-a1:X-a1,968,0,0,968,0,65195,33250
