Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,2185,0,0,2185,0,0,74650
0,340461476,X-a0:X-a1,2201,0,0,2201,0,0,76000
0,340461476,X-a1:X-a0,2186,0,0,2186,0,0,75600
0,340461476,X-a1:X-a1,2178,0,0,2178,0,0,76750
1,340461476,X-a0:X-a0,1948,0,0,1948,0,22788,69275
1,340461476,X-a0:X-a1,1958,0,0,1958,0,23346,66875
1,340461476,X-a1:X-a0,1923,0,0,1923,0,23074,70175
1,340461476,X-a1:X-a1,1934,0,0,1934,0,23712,66075
2,340461476,X-a0:X-a0,1680,0,0,1680,0,30475,62825
2,340461476,X-a0:X-a1,1706,0,0,1706,0,30682,64275
2,340461476,X-a1:X-a0,1684,0,0,1684,0,30787,61475
2,340461476,X-a1:X-a1,1695,0,0,1695,0,30819,62025
3,340461476,X-a0:X-a0,1490,0,0,1490,0,38537,49775
3,340461476,X-a0:X-a1,1478,0,0,1478,0,38854,50475
3,340461476,X-a1:X-a0,1493,0,0,1493,0,38402,50825
3,340461476,X-a1:X-a1,1484,0,0,1484,0,38525,50825
4,340461476,X-a0:X-a0,1294,0,0,1294,0,45081,47050
4,340461476,X-a0:X-a1,1293,0,0,1293,0,45463,44700
4,340461476,X-a1:X-a0,1294,0,0,1294,0,45058,47200
4,340461476,X-a1:X-a1,1295,0,0,1295,0,45390,44450
5,340461476,X-a0:X-a0,1129,0,0,1129,0,51598,41850
5,340461476,X-a0:X-a1,1125,0,0,1125,0,51229,43050
5,340461476,X-a1:X-a0,1131,0,0,1131,0,51595,41050
5,340461476,X-a1:X-a1,1118,0,0,1118,0,51110,42750
6,340461476,X-a0:X-a0,971,0,0,971,0,56841,33075
6,340461476,X-a0:X-a1,985,0,0,985,0,56904,33225
6,340461476,X-a1:X-a0,995,0,0,995,0,56675,32275
6,340461476,X-a1:X-a1,982,0,0,982,0,56626,33625
