Time,NodeID,Alleles,VectorPopulation
0,1,X,8986
0,1,Y,0
1,1,X,8039
1,1,Y,0
2,1,X,7167
2,1,Y,0
3,1,X,6350
3,1,Y,0
4,1,X,5655
4,1,Y,0
5,1,X,5008
5,1,Y,0
6,1,X,4420
6,1,Y,0
7,1,X,3857
7,1,Y,0
8,1,X,3332
8,1,Y,0
9,1,X,2874
9,1,Y,0
10,1,X,2461
10,1,Y,0
11,1,X,2094
11,1,Y,0
12,1,X,1775
12,1,Y,0
13,1,X,1462
13,1,Y,0
14,1,X,1227
14,1,Y,0
15,1,X,1017
15,1,Y,0
16,1,X,854
16,1,Y,0
17,1,X,693
17,1,Y,0
18,1,X,572
18,1,Y,0
19,1,X,468
19,1,Y,0
20,1,X,397
20,1,Y,0
21,1,X,328
21,1,Y,0
22,1,X,35734
22,1,Y,0
23,1,X,65250
23,1,Y,0
24,1,X,87941
24,1,Y,0
25,1,X,79936
25,1,Y,0
26,1,X,74022
26,1,Y,0
27,1,X,68859
27,1,Y,0
28,1,X,63950
28,1,Y,0
29,1,X,58880
29,1,Y,0
30,1,X,54170
30,1,Y,0
31,1,X,49659
31,1,Y,0
32,1,X,45041
32,1,Y,0
33,1,X,40380
33,1,Y,0
34,1,X,36299
34,1,Y,0
35,1,X,32528
35,1,Y,0
36,1,X,28581
36,1,Y,0
37,1,X,25250
37,1,Y,0
38,1,X,22280
38,1,Y,0
39,1,X,19461
39,1,Y,0
40,1,X,17018
40,1,Y,0
41,1,X,14734
41,1,Y,0
42,1,X,12730
42,1,Y,0
43,1,X,10971
43,1,Y,0
44,1,X,9367
44,1,Y,0
45,1,X,7974
45,1,Y,0
46,1,X,6802
46,1,Y,0
47,1,X,5709
47,1,Y,0
48,1,X,18734
48,1,Y,0
49,1,X,40886
49,1,Y,0
50,1,X,69219
50,1,Y,0
51,1,X,90491
51,1,Y,0
52,1,X,107219
52,1,Y,0
53,1,X,104859
53,1,Y,0
54,1,X,103791
54,1,Y,0
55,1,X,102683
55,1,Y,0
56,1,X,101582
56,1,Y,0
57,1,X,100435
57,1,Y,0
58,1,X,99457
58,1,Y,0
59,1,X,98382
59,1,Y,0
60,1,X,97138
60,1,Y,0
61,1,X,95926
61,1,Y,0
62,1,X,93620
62,1,Y,0
63,1,X,90039
63,1,Y,0
