Time,NodeID,Genome,VectorPopulation
0,1,X-Be:X-Be,0
0,1,X-Be:X-Bw,0
0,1,X-Bw:X-Bw,8986
1,1,X-Be:X-Be,0
1,1,X-Be:X-Bw,0
1,1,X-Bw:X-Bw,8039
2,1,X-Be:X-Be,0
2,1,X-Be:X-Bw,0
2,1,X-Bw:X-Bw,7167
3,1,X-Be:X-Be,0
3,1,X-Be:X-Bw,0
3,1,X-Bw:X-Bw,6350
4,1,X-Be:X-Be,0
4,1,X-Be:X-Bw,0
4,1,X-Bw:X-Bw,5655
5,1,X-Be:X-Be,0
5,1,X-Be:X-Bw,0
5,1,X-Bw:X-Bw,5008
6,1,X-Be:X-Be,0
6,1,X-Be:X-Bw,0
6,1,X-Bw:X-Bw,4420
7,1,X-Be:X-Be,0
7,1,X-Be:X-Bw,0
7,1,X-Bw:X-Bw,3857
8,1,X-Be:X-Be,0
8,1,X-Be:X-Bw,0
8,1,X-Bw:X-Bw,3332
9,1,X-Be:X-Be,0
9,1,X-Be:X-Bw,0
9,1,X-Bw:X-Bw,2874
10,1,X-Be:X-Be,0
10,1,X-Be:X-Bw,0
10,1,X-Bw:X-Bw,2461
11,1,X-Be:X-Be,0
11,1,X-Be:X-Bw,0
11,1,X-Bw:X-Bw,2094
12,1,X-Be:X-Be,0
12,1,X-Be:X-Bw,0
12,1,X-Bw:X-Bw,1775
13,1,X-Be:X-Be,0
13,1,X-Be:X-Bw,0
13,1,X-Bw:X-Bw,1462
14,1,X-Be:X-Be,0
14,1,X-Be:X-Bw,0
14,1,X-Bw:X-Bw,1227
15,1,X-Be:X-Be,0
15,1,X-Be:X-Bw,0
15,1,X-Bw:X-Bw,1017
16,1,X-Be:X-Be,0
16,1,X-Be:X-Bw,0
16,1,X-Bw:X-Bw,854
17,1,X-Be:X-Be,0
17,1,X-Be:X-Bw,0
17,1,X-Bw:X-Bw,693
18,1,X-Be:X-Be,0
18,1,X-Be:X-Bw,0
18,1,X-Bw:X-Bw,572
19,1,X-Be:X-Be,0
19,1,X-Be:X-Bw,0
19,1,X-Bw:X-Bw,468
20,1,X-Be:X-Be,0
20,1,X-Be:X-Bw,0
20,1,X-Bw:X-Bw,397
21,1,X-Be:X-Be,0
21,1,X-Be:X-Bw,0
21,1,X-Bw:X-Bw,328
22,1,X-Be:X-Be,0
22,1,X-Be:X-Bw,0
22,1,X-Bw:X-Bw,35734
23,1,X-Be:X-Be,0
23,1,X-Be:X-Bw,0
23,1,X-Bw:X-Bw,65250
24,1,X-Be:X-Be,0
24,1,X-Be:X-Bw,0
24,1,X-Bw:X-Bw,87941
25,1,X-Be:X-Be,0
25,1,X-Be:X-Bw,0
25,1,X-Bw:X-Bw,79936
26,1,X-Be:X-Be,0
26,1,X-Be:X-Bw,0
26,1,X-Bw:X-Bw,74022
27,1,X-Be:X-Be,0
27,1,X-Be:X-Bw,0
27,1,X-Bw:X-Bw,68859
28,1,X-Be:X-Be,0
28,1,X-Be:X-Bw,0
28,1,X-Bw:X-Bw,63950
29,1,X-Be:X-Be,0
29,1,X-Be:X-Bw,0
29,1,X-Bw:X-Bw,58880
30,1,X-Be:X-Be,0
30,1,X-Be:X-Bw,0
30,1,X-Bw:X-Bw,54170
31,1,X-Be:X-Be,0
31,1,X-Be:X-Bw,0
31,1,X-Bw:X-Bw,49659
32,1,X-Be:X-Be,0
32,1,X-Be:X-Bw,0
32,1,X-Bw:X-Bw,45041
33,1,X-Be:X-Be,0
33,1,X-Be:X-Bw,0
33,1,X-Bw:X-Bw,40380
34,1,X-Be:X-Be,0
34,1,X-Be:X-Bw,0
34,1,X-Bw:X-Bw,36299
35,1,X-Be:X-Be,0
35,1,X-Be:X-Bw,0
35,1,X-Bw:X-Bw,32528
36,1,X-Be:X-Be,0
36,1,X-Be:X-Bw,0
36,1,X-Bw:X-Bw,28581
37,1,X-Be:X-Be,0
37,1,X-Be:X-Bw,0
37,1,X-Bw:X-Bw,25250
38,1,X-Be:X-Be,0
38,1,X-Be:X-Bw,0
38,1,X-Bw:X-Bw,22280
39,1,X-Be:X-Be,0
39,1,X-Be:X-Bw,0
39,1,X-Bw:X-Bw,19461
40,1,X-Be:X-Be,0
40,1,X-Be:X-Bw,0
40,1,X-Bw:X-Bw,17018
41,1,X-Be:X-Be,0
41,1,X-Be:X-Bw,0
41,1,X-Bw:X-Bw,14734
42,1,X-Be:X-Be,0
42,1,X-Be:X-Bw,0
42,1,X-Bw:X-Bw,12730
43,1,X-Be:X-Be,0
43,1,X-Be:X-Bw,0
43,1,X-Bw:X-Bw,10971
44,1,X-Be:X-Be,0
44,1,X-Be:X-Bw,0
44,1,X-Bw:X-Bw,9367
45,1,X-Be:X-Be,0
45,1,X-Be:X-Bw,0
45,1,X-Bw:X-Bw,7974
46,1,X-Be:X-Be,0
46,1,X-Be:X-Bw,0
46,1,X-Bw:X-Bw,6802
47,1,X-Be:X-Be,0
47,1,X-Be:X-Bw,0
47,1,X-Bw:X-Bw,5709
48,1,X-Be:X-Be,0
48,1,X-Be:X-Bw,0
48,1,X-Bw:X-Bw,18734
49,1,X-Be:X-Be,0
49,1,X-Be:X-Bw,0
49,1,X-Bw:X-Bw,40886
50,1,X-Be:X-Be,0
50,1,X-Be:X-Bw,0
50,1,X-Bw:X-Bw,69219
51,1,X-Be:X-Be,0
51,1,X-Be:X-Bw,0
51,1,X-Bw:X-Bw,90491
52,1,X-Be:X-Be,0
52,1,X-Be:X-Bw,0
52,1,X-Bw:X-Bw,107219
53,1,X-Be:X-Be,0
53,1,X-Be:X-Bw,0
53,1,X-Bw:X-Bw,104859
54,1,X-Be:X-Be,0
54,1,X-Be:X-Bw,0
54,1,X-Bw:X-Bw,103791
55,1,X-Be:X-Be,0
55,1,X-Be:X-Bw,0
55,1,X-Bw:X-Bw,102683
56,1,X-Be:X-Be,0
56,1,X-Be:X-Bw,0
56,1,X-Bw:X-Bw,101582
57,1,X-Be:X-Be,0
57,1,X-Be:X-Bw,0
57,1,X-Bw:X-Bw,100435
58,1,X-Be:X-Be,0
58,1,X-Be:X-Bw,0
58,1,X-Bw:X-Bw,99457
59,1,X-Be:X-Be,0
59,1,X-Be:X-Bw,0
59,1,X-Bw:X-Bw,98382
60,1,X-Be:X-Be,0
60,1,X-Be:X-Bw,0
60,1,X-Bw:X-Bw,97138
61,1,X-Be:X-Be,0
61,1,X-Be:X-Bw,0
61,1,X-Bw:X-Bw,95926
62,1,X-Be:X-Be,0
62,1,X-Be:X-Bw,0
62,1,X-Bw:X-Bw,93620
63,1,X-Be:X-Be,0
63,1,X-Be:X-Bw,0
63,1,X-Bw:X-Bw,90039
64,1,X-Be:X-Be,0
64,1,X-Be:X-Bw,0
64,1,X-Bw:X-Bw,85866
65,1,X-Be:X-Be,0
65,1,X-Be:X-Bw,0
65,1,X-Bw:X-Bw,80663
66,1,X-Be:X-Be,0
66,1,X-Be:X-Bw,0
66,1,X-Bw:X-Bw,75636
67,1,X-Be:X-Be,0
67,1,X-Be:X-Bw,0
67,1,X-Bw:X-Bw,70954
68,1,X-Be:X-Be,0
68,1,X-Be:X-Bw,0
68,1,X-Bw:X-Bw,65271
69,1,X-Be:X-Be,0
69,1,X-Be:X-Bw,0
69,1,X-Bw:X-Bw,59946
70,1,X-Be:X-Be,0
70,1,X-Be:X-Bw,0
70,1,X-Bw:X-Bw,54860
71,1,X-Be:X-Be,0
71,1,X-Be:X-Bw,0
71,1,X-Bw:X-Bw,49779
72,1,X-Be:X-Be,0
72,1,X-Be:X-Bw,0
72,1,X-Bw:X-Bw,44948
73,1,X-Be:X-Be,0
73,1,X-Be:X-Bw,0
73,1,X-Bw:X-Bw,40445
74,1,X-Be:X-Be,0
74,1,X-Be:X-Bw,0
74,1,X-Bw:X-Bw,42159
75,1,X-Be:X-Be,0
75,1,X-Be:X-Bw,0
75,1,X-Bw:X-Bw,51429
76,1,X-Be:X-Be,0
76,1,X-Be:X-Bw,0
76,1,X-Bw:X-Bw,70591
77,1,X-Be:X-Be,0
77,1,X-Be:X-Bw,0
77,1,X-Bw:X-Bw,95986
78,1,X-Be:X-Be,0
78,1,X-Be:X-Bw,0
78,1,X-Bw:X-Bw,107167
79,1,X-Be:X-Be,0
79,1,X-Be:X-Bw,0
79,1,X-Bw:X-Bw,105915
80,1,X-Be:X-Be,0
80,1,X-Be:X-Bw,0
80,1,X-Bw:X-Bw,105689
81,1,X-Be:X-Be,0
81,1,X-Be:X-Bw,0
81,1,X-Bw:X-Bw,104934
82,1,X-Be:X-Be,0
82,1,X-Be:X-Bw,0
82,1,X-Bw:X-Bw,103974
83,1,X-Be:X-Be,0
83,1,X-Be:X-Bw,0
83,1,X-Bw:X-Bw,103191
84,1,X-Be:X-Be,0
84,1,X-Be:X-Bw,0
84,1,X-Bw:X-Bw,102512
85,1,X-Be:X-Be,0
85,1,X-Be:X-Bw,0
85,1,X-Bw:X-Bw,101457
86,1,X-Be:X-Be,0
86,1,X-Be:X-Bw,0
86,1,X-Bw:X-Bw,100470
87,1,X-Be:X-Be,0
87,1,X-Be:X-Bw,0
87,1,X-Bw:X-Bw,99142
88,1,X-Be:X-Be,0
88,1,X-Be:X-Bw,0
88,1,X-Bw:X-Bw,98171
89,1,X-Be:X-Be,0
89,1,X-Be:X-Bw,0
89,1,X-Bw:X-Bw,96832
90,1,X-Be:X-Be,0
90,1,X-Be:X-Bw,0
90,1,X-Bw:X-Bw,95614
91,1,X-Be:X-Be,0
91,1,X-Be:X-Bw,0
91,1,X-Bw:X-Bw,94244
92,1,X-Be:X-Be,0
92,1,X-Be:X-Bw,0
92,1,X-Bw:X-Bw,94415
93,1,X-Be:X-Be,0
93,1,X-Be:X-Bw,0
93,1,X-Bw:X-Bw,95908
94,1,X-Be:X-Be,0
94,1,X-Be:X-Bw,0
94,1,X-Bw:X-Bw,98828
95,1,X-Be:X-Be,0
95,1,X-Be:X-Bw,0
95,1,X-Bw:X-Bw,102492
96,1,X-Be:X-Be,0
96,1,X-Be:X-Bw,0
96,1,X-Bw:X-Bw,103706
97,1,X-Be:X-Be,0
97,1,X-Be:X-Bw,0
97,1,X-Bw:X-Bw,102956
98,1,X-Be:X-Be,0
98,1,X-Be:X-Bw,0
98,1,X-Bw:X-Bw,102894
99,1,X-Be:X-Be,0
99,1,X-Be:X-Bw,0
99,1,X-Bw:X-Bw,102719
100,1,X-Be:X-Be,0
100,1,X-Be:X-Bw,0
100,1,X-Bw:X-Bw,102200
101,1,X-Be:X-Be,0
101,1,X-Be:X-Bw,0
101,1,X-Bw:X-Bw,101894
102,1,X-Be:X-Be,0
102,1,X-Be:X-Bw,0
102,1,X-Bw:X-Bw,101641
103,1,X-Be:X-Be,0
103,1,X-Be:X-Bw,0
103,1,X-Bw:X-Bw,101179
104,1,X-Be:X-Be,0
104,1,X-Be:X-Bw,0
104,1,X-Bw:X-Bw,100976
105,1,X-Be:X-Be,0
105,1,X-Be:X-Bw,0
105,1,X-Bw:X-Bw,100775
106,1,X-Be:X-Be,0
106,1,X-Be:X-Bw,0
106,1,X-Bw:X-Bw,100710
107,1,X-Be:X-Be,0
107,1,X-Be:X-Bw,0
107,1,X-Bw:X-Bw,100556
108,1,X-Be:X-Be,0
108,1,X-Be:X-Bw,0
108,1,X-Bw:X-Bw,100274
109,1,X-Be:X-Be,0
109,1,X-Be:X-Bw,0
109,1,X-Bw:X-Bw,99983
110,1,X-Be:X-Be,0
110,1,X-Be:X-Bw,0
110,1,X-Bw:X-Bw,100271
111,1,X-Be:X-Be,0
111,1,X-Be:X-Bw,0
111,1,X-Bw:X-Bw,100511
112,1,X-Be:X-Be,0
112,1,X-Be:X-Bw,0
112,1,X-Bw:X-Bw,100933
113,1,X-Be:X-Be,0
113,1,X-Be:X-Bw,0
113,1,X-Bw:X-Bw,101389
114,1,X-Be:X-Be,0
114,1,X-Be:X-Bw,0
114,1,X-Bw:X-Bw,101516
115,1,X-Be:X-Be,0
115,1,X-Be:X-Bw,0
115,1,X-Bw:X-Bw,101432
116,1,X-Be:X-Be,0
116,1,X-Be:X-Bw,0
116,1,X-Bw:X-Bw,101457
117,1,X-Be:X-Be,0
117,1,X-Be:X-Bw,0
117,1,X-Bw:X-Bw,101363
118,1,X-Be:X-Be,0
118,1,X-Be:X-Bw,0
118,1,X-Bw:X-Bw,101289
119,1,X-Be:X-Be,0
119,1,X-Be:X-Bw,0
119,1,X-Bw:X-Bw,101256
120,1,X-Be:X-Be,0
120,1,X-Be:X-Bw,0
120,1,X-Bw:X-Bw,101124
121,1,X-Be:X-Be,0
121,1,X-Be:X-Bw,0
121,1,X-Bw:X-Bw,100947
122,1,X-Be:X-Be,0
122,1,X-Be:X-Bw,0
122,1,X-Bw:X-Bw,100957
123,1,X-Be:X-Be,0
123,1,X-Be:X-Bw,0
