Time,NodeID,Alleles,STATE_MALE
0,1,Be,0
0,1,Bw,8954
0,1,X,8954
0,1,Y,8954
1,1,Be,0
1,1,Bw,7990
1,1,X,7990
1,1,Y,7990
2,1,Be,0
2,1,Bw,7096
2,1,X,7096
2,1,Y,7096
3,1,Be,0
3,1,Bw,6324
3,1,X,6324
3,1,Y,6324
4,1,Be,0
4,1,Bw,5617
4,1,X,5617
4,1,Y,5617
5,1,Be,0
5,1,Bw,4974
5,1,X,4974
5,1,Y,4974
6,1,Be,0
6,1,Bw,4383
6,1,X,4383
6,1,Y,4383
7,1,Be,0
7,1,Bw,3849
7,1,X,3849
7,1,Y,3849
8,1,Be,0
8,1,Bw,3336
8,1,X,3336
8,1,Y,3336
9,1,Be,0
9,1,Bw,2883
9,1,X,2883
9,1,Y,2883
10,1,Be,0
10,1,Bw,2505
10,1,X,2505
10,1,Y,2505
11,1,Be,0
11,1,Bw,2154
11,1,X,2154
11,1,Y,2154
12,1,Be,0
12,1,Bw,1819
12,1,X,1819
12,1,Y,1819
13,1,Be,0
13,1,Bw,1530
13,1,X,1530
13,1,Y,1530
14,1,Be,0
14,1,Bw,1286
14,1,X,1286
14,1,Y,1286
15,1,Be,0
15,1,Bw,1087
15,1,X,1087
15,1,Y,1087
16,1,Be,0
16,1,Bw,886
16,1,X,886
16,1,Y,886
17,1,Be,0
17,1,Bw,724
17,1,X,724
17,1,Y,724
18,1,Be,0
18,1,Bw,607
18,1,X,607
18,1,Y,607
19,1,Be,0
19,1,Bw,484
19,1,X,484
19,1,Y,484
20,1,Be,0
20,1,Bw,365
20,1,X,365
20,1,Y,365
21,1,Be,0
21,1,Bw,294
21,1,X,294
21,1,Y,294
22,1,Be,0
22,1,Bw,35742
22,1,X,35742
22,1,Y,35742
23,1,Be,0
23,1,Bw,65341
23,1,X,65341
23,1,Y,65341
24,1,Be,0
24,1,Bw,88654
24,1,X,88654
24,1,Y,88654
25,1,Be,0
25,1,Bw,80686
25,1,X,80686
25,1,Y,80686
26,1,Be,0
26,1,Bw,74655
26,1,X,74655
26,1,Y,74655
27,1,Be,0
27,1,Bw,69489
27,1,X,69489
27,1,Y,69489
28,1,Be,0
28,1,Bw,64580
28,1,X,64580
28,1,Y,64580
29,1,Be,0
29,1,Bw,59434
29,1,X,59434
29,1,Y,59434
30,1,Be,0
30,1,Bw,54834
30,1,X,54834
30,1,Y,54834
31,1,Be,0
31,1,Bw,50366
31,1,X,50366
31,1,Y,50366
32,1,Be,0
32,1,Bw,45723
32,1,X,45723
32,1,Y,45723
33,1,Be,0
33,1,Bw,41006
33,1,X,41006
33,1,Y,41006
34,1,Be,0
34,1,Bw,36834
34,1,X,36834
34,1,Y,36834
35,1,Be,0
35,1,Bw,32848
35,1,X,32848
35,1,Y,32848
36,1,Be,0
36,1,Bw,29079
36,1,X,29079
36,1,Y,29079
37,1,Be,0
37,1,Bw,25703
37,1,X,25703
37,1,Y,25703
38,1,Be,0
38,1,Bw,22595
38,1,X,22595
38,1,Y,22595
39,1,Be,0
39,1,Bw,19717
39,1,X,19717
39,1,Y,19717
40,1,Be,0
40,1,Bw,17138
40,1,X,17138
40,1,Y,17138
41,1,Be,0
41,1,Bw,14833
41,1,X,14833
41,1,Y,14833
42,1,Be,0
42,1,Bw,12810
42,1,X,12810
42,1,Y,12810
43,1,Be,0
43,1,Bw,10973
43,1,X,10973
43,1,Y,10973
44,1,Be,0
44,1,Bw,9402
44,1,X,9402
44,1,Y,9402
45,1,Be,0
45,1,Bw,7984
45,1,X,7984
45,1,Y,7984
46,1,Be,0
46,1,Bw,6724
46,1,X,6724
46,1,Y,6724
47,1,Be,0
47,1,Bw,5747
47,1,X,5747
47,1,Y,5747
48,1,Be,0
48,1,Bw,19069
48,1,X,19069
48,1,Y,19069
49,1,Be,0
49,1,Bw,40892
49,1,X,40892
49,1,Y,40892
50,1,Be,0
50,1,Bw,69387
50,1,X,69387
50,1,Y,69387
51,1,Be,0
51,1,Bw,90797
51,1,X,90797
51,1,Y,90797
52,1,Be,0
52,1,Bw,107173
52,1,X,107173
52,1,Y,107173
53,1,Be,0
53,1,Bw,105073
53,1,X,105073
53,1,Y,105073
54,1,Be,0
54,1,Bw,104146
54,1,X,104146
54,1,Y,104146
55,1,Be,0
55,1,Bw,103312
55,1,X,103312
55,1,Y,103312
56,1,Be,0
56,1,Bw,102082
56,1,X,102082
56,1,Y,102082
57,1,Be,0
57,1,Bw,100732
57,1,X,100732
57,1,Y,100732
58,1,Be,0
58,1,Bw,99702
58,1,X,99702
58,1,Y,99702
59,1,Be,0
59,1,Bw,98542
59,1,X,98542
59,1,Y,98542
60,1,Be,0
60,1,Bw,97349
60,1,X,97349
60,1,Y,97349
61,1,Be,0
61,1,Bw,95841
61,1,X,95841
61,1,Y,95841
62,1,Be,0
62,1,Bw,93642
62,1,X,93642
62,1,Y,93642
63,1,Be,0
63,1,Bw,89839
63,1,X,89839
63,1,Y,89839
64,1,Be,0
64,1,Bw,85641
64,1,X,85641
64,1,Y,85641
65,1,Be,0
65,1,Bw,80477
65,1,X,80477
65,1,Y,80477
66,1,Be,0
66,1,Bw,75251
66,1,X,75251
66,1,Y,75251
67,1,Be,0
67,1,Bw,70509
67,1,X,70509
67,1,Y,70509
68,1,Be,0
68,1,Bw,65034
68,1,X,65034
68,1,Y,65034
69,1,Be,0
69,1,Bw,59565
69,1,X,59565
69,1,Y,59565
70,1,Be,0
70,1,Bw,54539
70,1,X,54539
70,1,Y,54539
71,1,Be,0
71,1,Bw,49413
71,1,X,49413
71,1,Y,49413
72,1,Be,0
72,1,Bw,44646
72,1,X,44646
72,1,Y,44646
73,1,Be,0
73,1,Bw,39960
73,1,X,39960
73,1,Y,39960
74,1,Be,0
74,1,Bw,41663
74,1,X,41663
74,1,Y,41663
75,1,Be,0
75,1,Bw,50951
75,1,X,50951
75,1,Y,50951
76,1,Be,0
76,1,Bw,70274
76,1,X,70274
76,1,Y,70274
77,1,Be,0
77,1,Bw,95391
77,1,X,95391
77,1,Y,95391
78,1,Be,0
78,1,Bw,106531
78,1,X,106531
78,1,Y,106531
79,1,Be,0
79,1,Bw,105402
79,1,X,105402
79,1,Y,105402
80,1,Be,0
80,1,Bw,105147
80,1,X,105147
80,1,Y,105147
81,1,Be,0
81,1,Bw,104721
81,1,X,104721
81,1,Y,104721
82,1,Be,0
82,1,Bw,104001
82,1,X,104001
82,1,Y,104001
83,1,Be,0
83,1,Bw,103097
83,1,X,103097
83,1,Y,103097
84,1,Be,0
84,1,Bw,101970
84,1,X,101970
84,1,Y,101970
85,1,Be,0
85,1,Bw,101306
85,1,X,101306
85,1,Y,101306
86,1,Be,0
86,1,Bw,100153
86,1,X,100153
86,1,Y,100153
87,1,Be,0
87,1,Bw,99244
87,1,X,99244
87,1,Y,99244
88,1,Be,0
88,1,Bw,98048
88,1,X,98048
88,1,Y,98048
89,1,Be,0
