Time,NodeID,Genome,VectorPopulation
0,1,X-Ad-Be:X-Ad-Be,0
0,1,X-Ad-Be:X-Aw-Be,0
0,1,X-Ad-Be:X-Ad-Bw,0
0,1,X-Ad-Be:X-Aw-Bw,0
0,1,X-Aw-Be:X-Aw-Be,0
0,1,X-Aw-Be:X-Aw-Bw,0
0,1,X-Ad-Bw:X-Ad-Bw,0
0,1,X-Ad-Bw:X-Aw-Bw,0
0,1,X-Aw-Bw:X-Aw-Bw,8986
1,1,X-Ad-Be:X-Ad-Be,0
1,1,X-Ad-Be:X-Aw-Be,0
1,1,X-Ad-Be:X-Ad-Bw,0
1,1,X-Ad-Be:X-Aw-Bw,0
1,1,X-Aw-Be:X-Aw-Be,0
1,1,X-Aw-Be:X-Aw-Bw,0
1,1,X-Ad-Bw:X-Ad-Bw,0
1,1,X-Ad-Bw:X-Aw-Bw,0
1,1,X-Aw-Bw:X-Aw-Bw,8039
2,1,X-Ad-Be:X-Ad-Be,0
2,1,X-Ad-Be:X-Aw-Be,0
2,1,X-Ad-Be:X-Ad-Bw,0
2,1,X-Ad-Be:X-Aw-Bw,0
2,1,X-Aw-Be:X-Aw-Be,0
2,1,X-Aw-Be:X-Aw-Bw,0
2,1,X-Ad-Bw:X-Ad-Bw,0
2,1,X-Ad-Bw:X-Aw-Bw,0
2,1,X-Aw-Bw:X-Aw-Bw,7167
3,1,X-Ad-Be:X-Ad-Be,0
3,1,X-Ad-Be:X-Aw-Be,0
3,1,X-Ad-Be:X-Ad-Bw,0
3,1,X-Ad-Be:X-Aw-Bw,0
3,1,X-Aw-Be:X-Aw-Be,0
3,1,X-Aw-Be:X-Aw-Bw,0
3,1,X-Ad-Bw:X-Ad-Bw,0
3,1,X-Ad-Bw:X-Aw-Bw,0
3,1,X-Aw-Bw:X-Aw-Bw,6350
4,1,X-Ad-Be:X-Ad-Be,0
4,1,X-Ad-Be:X-Aw-Be,0
4,1,X-Ad-Be:X-Ad-Bw,0
4,1,X-Ad-Be:X-Aw-Bw,0
