Time,NodeID,Genome,VectorPopulation
0,1,X-Ad-Be:X-Ad-Be,0
0,1,X-Ad-Be:X-Ar-Be,0
0,1,X-Ad-Be:X-Aw-Be,0
0,1,X-Ad-Be:X-Ad-Bw,0
0,1,X-Ad-Be:X-Ar-Bw,0
0,1,X-Ad-Be:X-Aw-Bw,0
0,1,X-Ar-Be:X-Ar-Be,0
0,1,X-Ar-Be:X-Aw-Be,0
0,1,X-Ar-Be:X-Ar-Bw,0
0,1,X-Ar-Be:X-Aw-Bw,0
0,1,X-Aw-Be:X-Aw-Be,0
0,1,X-Aw-Be:X-Aw-Bw,0
0,1,X-Ad-Bw:X-Ad-Bw,0
0,1,X-Ad-Bw:X-Ar-Bw,0
0,1,X-Ad-Bw:X-Aw-Bw,0
0,1,X-Ar-Bw:X-Ar-Bw,564
0,1,X-Ar-Bw:X-Aw-Bw,3353
0,1,X-Aw-Bw:X-Aw-Bw,5101
1,1,X-Ad-Be:X-Ad-Be,0
1,1,X-Ad-Be:X-Ar-Be,0
1,1,X-Ad-Be:X-Aw-Be,0
1,1,X-Ad-Be:X-Ad-Bw,0
1,1,X-Ad-Be:X-Ar-Bw,0
1,1,X-Ad-Be:X-Aw-Bw,0
1,1,X-Ar-Be:X-Ar-Be,0
1,1,X-Ar-Be:X-Aw-Be,0
1,1,X-Ar-Be:X-Ar-Bw,0
1,1,X-Ar-Be:X-Aw-Bw,0
1,1,X-Aw-Be:X-Aw-Be,0
1,1,X-Aw-Be:X-Aw-Bw,0
1,1,X-Ad-Bw:X-Ad-Bw,0
1,1,X-Ad-Bw:X-Ar-Bw,0
1,1,X-Ad-Bw:X-Aw-Bw,0
1,1,X-Ar-Bw:X-Ar-Bw,506
1,1,X-Ar-Bw:X-Aw-Bw,2985
1,1,X-Aw-Bw:X-Aw-Bw,4549
2,1,X-Ad-Be:X-Ad-Be,0
2,1,X-Ad-Be:X-Ar-Be,0
2,1,X-Ad-Be:X-Aw-Be,0
2,1,X-Ad-Be:X-Ad-Bw,0
2,1,X-Ad-Be:X-Ar-Bw,0
2,1,X-Ad-Be:X-Aw-Bw,0
2,1,X-Ar-Be:X-Ar-Be,0
2,1,X-Ar-Be:X-Aw-Be,0
2,1,X-Ar-Be:X-Ar-Bw,0
2,1,X-Ar-Be:X-Aw-Bw,0
2,1,X-Aw-Be:X-Aw-Be,0
2,1,X-Aw-Be:X-Aw-Bw,0
2,1,X-Ad-Bw:X-Ad-Bw,0
2,1,X-Ad-Bw:X-Ar-Bw,0
2,1,X-Ad-Bw:X-Aw-Bw,0
2,1,X-Ar-Bw:X-Ar-Bw,447
2,1,X-Ar-Bw:X-Aw-Bw,2638
2,1,X-Aw-Bw:X-Aw-Bw,4054
3,1,X-Ad-Be:X-Ad-Be,0
3,1,X-Ad-Be:X-Ar-Be,0
3,1,X-Ad-Be:X-Aw-Be,0
3,1,X-Ad-Be:X-Ad-Bw,0
3,1,X-Ad-Be:X-Ar-Bw,0
3,1,X-Ad-Be:X-Aw-Bw,0
3,1,X-Ar-Be:X-Ar-Be,0
3,1,X-Ar-Be:X-Aw-Be,0
3,1,X-Ar-Be:X-Ar-Bw,0
3,1,X-Ar-Be:X-Aw-Bw,0
3,1,X-Aw-Be:X-Aw-Be,0
3,1,X-Aw-Be:X-Aw-Bw,0
3,1,X-Ad-Bw:X-Ad-Bw,0
3,1,X-Ad-Bw:X-Ar-Bw,0
3,1,X-Ad-Bw:X-Aw-Bw,0
3,1,X-Ar-Bw:X-Ar-Bw,392
3,1,X-Ar-Bw:X-Aw-Bw,2323
3,1,X-Aw-Bw:X-Aw-Bw,3607
4,1,X-Ad-Be:X-Ad-Be,0
4,1,X-Ad-Be:X-Ar-Be,0
4,1,X-Ad-Be:X-Aw-Be,0
4,1,X-Ad-Be:X-Ad-Bw,0
4,1,X-Ad-Be:X-Ar-Bw,0
4,1,X-Ad-Be:X-Aw-Bw,0
4,1,X-Ar-Be:X-Ar-Be,0
4,1,X-Ar-Be:X-Aw-Be,0
4,1,X-Ar-Be:X-Ar-Bw,0
4,1,X-Ar-Be:X-Aw-Bw,0
4,1,X-Aw-Be:X-Aw-Be,0
4,1,X-Aw-Be:X-Aw-Bw,0
4,1,X-Ad-Bw:X-Ad-Bw,0
4,1,X-Ad-Bw:X-Ar-Bw,0
4,1,X-Ad-Bw:X-Aw-Bw,0
4,1,X-Ar-Bw:X-Ar-Bw,350
4,1,X-Ar-Bw:X-Aw-Bw,2051
4,1,X-Aw-Bw:X-Aw-Bw,3240
5,1,X-Ad-Be:X-Ad-Be,0
5,1,X-Ad-Be:X-Ar-Be,0
5,1,X-Ad-Be:X-Aw-Be,0
5,1,X-Ad-Be:X-Ad-Bw,0
5,1,X-Ad-Be:X-Ar-Bw,0
5,1,X-Ad-Be:X-Aw-Bw,0
5,1,X-Ar-Be:X-Ar-Be,0
5,1,X-Ar-Be:X-Aw-Be,0
5,1,X-Ar-Be:X-Ar-Bw,0
5,1,X-Ar-Be:X-Aw-Bw,0
5,1,X-Aw-Be:X-Aw-Be,0
5,1,X-Aw-Be:X-Aw-Bw,0
5,1,X-Ad-Bw:X-Ad-Bw,0
5,1,X-Ad-Bw:X-Ar-Bw,0
5,1,X-Ad-Bw:X-Aw-Bw,0
5,1,X-Ar-Bw:X-Ar-Bw,309
5,1,X-Ar-Bw:X-Aw-Bw,1824
5,1,X-Aw-Bw:X-Aw-Bw,2836
6,1,X-Ad-Be:X-Ad-Be,0
6,1,X-Ad-Be:X-Ar-Be,0
6,1,X-Ad-Be:X-Aw-Be,0
6,1,X-Ad-Be:X-Ad-Bw,0
6,1,X-Ad-Be:X-Ar-Bw,0
6,1,X-Ad-Be:X-Aw-Bw,0
6,1,X-Ar-Be:X-Ar-Be,0
6,1,X-Ar-Be:X-Aw-Be,0
6,1,X-Ar-Be:X-Ar-Bw,0
6,1,X-Ar-Be:X-Aw-Bw,0
